순위,종목코드,종목명,시장,업종,등락률(%),종가(원),거래대금(원),거래량,시가총액(원),상한가
732,081180,쎄크,KOSDAQ,기계·장비,0.36,5610,208411800,36755,49511251350,
733,117670,알파칩스,KOSDAQ,IT H/W,0.36,8440,45134580,5492,56225102480,
734,035200,프럼파스트,KOSDAQ,제조,0.35,2860,70153860,24843,26369145660,
735,378850,화승알앤에이,KOSPI,운수장비,0.35,2880,26407250,9271,54701634240,
736,040420,정상제이엘에스,KOSDAQ,기타서비스,0.35,5770,502313680,87375,90459475040,
737,155650,와이엠씨,KOSDAQ,IT H/W,0.35,2890,33138297,11691,54835894620,
738,012700,리드코프,KOSDAQ,유통,0.34,2945,132296820,44396,77143839140,
739,365270,큐라클,KOSDAQ,기타서비스,0.34,8850,548930125,62728,196089379200,
740,097955,CJ제일제당 우,KOSPI,음식료품,0.34,119300,487328600,4106,158362756900,
741,005870,휴니드,KOSPI,"전기,전자",0.34,4490,147828962,33048,63380907350,
742,008775,호텔신라우,KOSPI,유통업,0.33,30000,55927100,1867,22556370000,
743,053160,프리엠스,KOSDAQ,일반전기전자,0.33,9130,310548820,34238,54780000000,
744,439260,대한조선,KOSPI,운수장비,0.33,45750,3611805875,79412,1742559397500,
745,073560,우리손에프앤지,KOSDAQ,음식료·담배,0.33,1542,354867818,229064,106764445506,
746,057540,옴니시스템,KOSDAQ,의료·정밀기기,0.32,938,374693457,399195,55711823384,
747,052220,iMBC,KOSDAQ,IT S/W & SVC,0.32,1894,35569604,19057,43562000000,
748,213420,덕산네오룩스,KOSDAQ,IT H/W,0.32,31750,4839934550,154342,788389933250,
749,025540,한국단자,KOSPI,"전기,전자",0.31,64100,1679304850,26515,648371500000,
750,007280,한국특강,KOSPI,제조업,0.31,1940,29679675,15335,55574287600,
751,005180,빙그레,KOSPI,음식료품,0.31,64700,1167410600,18000,599706305700,
752,005830,DB손해보험,KOSPI,금융업,0.31,163000,35832904200,219846,10676556887000,
753,036120,서울평가정보,KOSDAQ,기타서비스,0.31,1642,167803879,102773,57708090000,
754,111110,호전실업,KOSPI,"섬유,의복",0.30,6650,29864970,4506,60288900000,
755,043610,KT지니뮤직,KOSDAQ,IT S/W & SVC,0.29,1379,30539988,22288,80141189002,
756,331920,셀레믹스,KOSDAQ,제약,0.29,10350,299900310,29157,115729094250,
757,027050,코리아나,KOSDAQ,제조,0.29,1380,62293967,45091,55200000000,
758,001680,대상,KOSPI,음식료품,0.29,17260,778186420,45074,598024911500,
759,377450,리파인,KOSDAQ,기타서비스,0.29,10470,210104960,20071,181445100000,
760,002920,유성기업,KOSPI,운수장비,0.29,1746,13749691,7861,45304335000,
761,004910,조광페인트,KOSPI,제조업,0.29,3505,59360135,17060,44864000000,
762,265560,영화테크,KOSDAQ,운송장비·부품,0.29,7030,79408670,11383,75151965400,
763,092130,이크레더블,KOSDAQ,기타서비스,0.28,14170,40450000,2863,170657812000,
764,025530,SJM홀딩스,KOSPI,유통업,0.28,3550,70661080,19987,53015728400,
765,053060,세동,KOSDAQ,운송장비·부품,0.28,1444,86722527,59792,25497313036,
766,001120,LX인터내셔널,KOSPI,유통업,0.27,36800,2517325675,68543,1426368000000,
767,005610,삼립,KOSPI,음식료품,0.27,37250,65278300,1753,321430585250,
768,053270,구영테크,KOSDAQ,운송장비·부품,0.27,1865,96702406,52241,51120405325,
769,028100,동아지질,KOSPI,건설업,0.27,14950,189606750,12828,200173054900,
770,033920,무학,KOSPI,음식료품,0.27,7480,251702170,33558,213180000000,
771,131180,딜리,KOSDAQ,IT H/W,0.27,3775,16337870,4336,22159250000,
772,145270,케이탑리츠,KOSPI,서비스업,0.26,757,4368527,5786,36382005918,
773,014280,금강공업,KOSPI,제조업,0.26,3900,86596585,22220,114384492300,
774,096760,JW홀딩스,KOSPI,금융업,0.26,3905,273938777,69679,288676898510,
775,037070,파세코,KOSDAQ,일반전기전자,0.25,8030,93158204100,10837431,160600000000,
776,0054V0,엔에이치스팩32호,KOSDAQ,금융,0.25,2010,13414770,6689,12495165000,
777,489480,키움제11호스팩,KOSDAQ,금융,0.25,2015,2993005,1485,13299000000,
778,493790,유안타제17호스팩,KOSDAQ,금융,0.25,2015,5462460,2713,10699650000,
779,011370,서한,KOSDAQ,건설,0.25,807,59926498,74566,81422156055,
780,487720,키움제10호스팩,KOSDAQ,금융,0.25,2020,1264210,629,8544600000,
781,477340,에이치엠씨제7호스팩,KOSDAQ,금융,0.25,2040,32060868,15723,15320400000,
782,478390,KB제29호스팩,KOSDAQ,금융,0.25,2045,3137015,1538,12719900000,
783,478440,미래에셋비전스팩6호,KOSDAQ,금융,0.25,2045,234605,115,14171850000,
784,474660,신한제12호스팩,KOSDAQ,금융,0.24,2055,717195,349,11343600000,
785,023600,삼보판지,KOSDAQ,제조,0.24,8250,17991930,2185,132068475000,
