순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
167,153710,옵티팜,KOSDAQ,1.38,4765,34276935,7411,69902349870,
168,003300,한일홀딩스,KOSPI,1.37,17010,237583380,14058,524442862440,
169,109860,동일금속,KOSDAQ,1.37,7390,8101720,1125,67249000000,
170,123750,알톤,KOSDAQ,1.37,2220,76328909,34927,30678754980,
171,026890,스틱인베스트먼트,KOSPI,1.30,8540,988235630,114875,331102947980,
172,117580,대성에너지,KOSPI,1.28,7100,1324474600,187158,195250000000,
173,068100,케이웨더,KOSDAQ,1.28,2370,61362480,26728,28268260320,
174,331520,밸로프,KOSDAQ,1.27,1994,32852393,16753,20284718732,
175,228760,지노믹트리,KOSDAQ,1.27,11960,1724178380,140405,297316055920,
176,079160,CJCGV,KOSPI,1.26,4430,2301271498,518081,733530519300,
177,268280,미원에스씨,KOSPI,1.25,113600,247866000,2190,568000000000,
178,012160,영흥,KOSPI,1.25,2425,1765872559,667519,37880204775,
179,010950,S-Oil,KOSPI,1.24,146700,89527307450,606814,16515895586400,
180,005800,신영와코루,KOSPI,1.22,13290,27091640,2069,119610000000,
181,227610,아우딘퓨쳐스,KOSDAQ,1.19,1355,285844445,197845,26252543705,
182,293940,신한알파리츠,KOSPI,1.16,5230,1184048160,228205,632516843290,
183,093380,풍강,KOSDAQ,1.16,2620,19202665,7515,25883800060,
184,000440,중앙에너비스,KOSDAQ,1.15,14110,2203218880,155559,87864804300,
185,222040,코스맥스엔비티,KOSDAQ,1.15,7920,1463701740,187637,163373760000,
186,009450,경동나비엔,KOSPI,1.13,62700,1677554450,26813,913450718400,
187,000545,흥국화재우,KOSPI,1.13,5350,7707500,1439,4108800000,
188,472850,폰드그룹,KOSDAQ,1.08,3755,352116204,95100,216181553260,
189,395400,SK리츠,KOSPI,1.06,5710,1069961040,190025,1718810610200,
190,314140,알피바이오,KOSDAQ,1.06,5730,243265090,43060,49658248530,
191,238200,비피도,KOSDAQ,1.03,2445,7718385,3192,20000100000,
192,417180,핑거스토리,KOSDAQ,1.02,3960,30888495,7906,13898507040,
193,001940,KISCO홀딩스,KOSPI,1.00,25350,157818225,6238,359371233000,
194,030190,NICE평가정보,KOSPI,1.00,14080,1251710865,88624,829474300160,
195,328380,솔트웨어,KOSDAQ,1.00,2515,44436257,17869,17234175825,
196,001070,대한방직,KOSPI,0.99,6140,24046700,3948,32542000000,
197,010400,우진아이엔에스,KOSPI,0.99,4075,38673580,9439,31059650000,
198,288620,에스프리즘,KOSDAQ,0.99,4070,47821095,11777,28405816120,
199,360350,코셈,KOSDAQ,0.99,7160,386564870,51436,38935865200,
200,021320,KCC건설,KOSDAQ,0.95,5340,76720530,14948,114276000000,
201,286750,나노실리칸첨단소재,KOSDAQ,0.94,1720,95794937,55738,55089634040,
202,014285,금강공업우,KOSPI,0.93,5430,38010,7,3203021250,
203,072990,에이치시티,KOSDAQ,0.87,3495,43778495,13152,50671229970,
