date,code,name,시장,신호,미달,cum2,gap240,top5,mcap,카드,ex_how,ex_bars,이단,fwd40
2000-07-10,009150,삼성전기,KOSPI,S2,2일누적,-0.10189228529839889,-0.1402644000487694,-0.3639175257731959,5221089350400.0,-0.06847649918962728,손절,7,-0.06847649918962728,-0.2876823338735819
2005-10-19,009150,삼성전기,KOSPI,S2,2일누적,-0.10033444816053516,0.02500595379852344,-0.7007786429365962,2207198716800.0,0.055762081784386686,목표,14,0.17315985130111533,0.3141263940520447
2018-10-24,009150,삼성전기,KOSPI,S2,"2일누적,5년고점",-0.11721611721611724,-0.01792991035044822,-0.27409638554216864,10382423744000.0,-0.05457261410788383,손절,1,-0.05457261410788383,-0.1410788381742739
2020-03-12,009150,삼성전기,KOSPI,S2,2일누적,-0.11673151750972766,0.038145363217488404,-0.3162650602409639,9411405696000.0,-0.08490657121879597,손절,1,-0.08490657121879597,0.07048458149779746
1998-04-02,005930,삼성전자,KOSPI,A,,-0.13561643835616444,-0.025068561937502398,-0.43153153153153145,7071654248000.0,-0.050000000000000044,손절,1,-0.050000000000000044,-0.2250396196513471
1998-04-03,005930,삼성전자,KOSPI,A,,-0.1329479768786127,-0.07284597653785241,-0.45945945945945943,7071654248000.0,0.07666666666666644,목표,1,0.14993333333333314,-0.25
1998-05-06,005930,삼성전자,KOSPI,A,,-0.12162162162162171,-0.006616190882519635,-0.4144144144144144,7168526224000.0,-0.05248461538461546,손절,9,-0.05248461538461546,-0.2815384615384615
2000-08-31,005930,삼성전자,KOSPI,A,,-0.12057877813504825,-0.03617288391932871,-0.3058375634517767,41352691563500.0,-0.06450182815356498,손절,3,-0.06450182815356498,-0.40402193784277873
2000-07-28,005930,삼성전자,KOSPI,S2,5년고점,-0.1251908396946565,0.04476251253532704,-0.27284263959390864,55682535051000.0,0.07155322862129143,목표,2,0.035776614310645716,-0.2914485165794066
2024-08-05,005930,삼성전자,KOSPI,S2,5년고점,-0.1407942238267148,-0.04847047848563757,-0.262396694214876,500864755945000.0,0.08193277310924363,목표,7,0.040966386554621814,-0.15546218487394958
1997-10-08,005935,삼성전자우,KOSPI,A,,-0.1238670694864048,-0.021207177814029254,-0.5797101449275361,778925720200.0,-0.050000000000000155,손절,1,-0.050000000000000155,-0.4862068965517241
2000-02-28,005935,삼성전자우,KOSPI,A,,-0.19047619047619047,-0.12072913392897222,-0.49877149877149873,3942415455000.0,0.11764705882352922,목표,2,0.22529411764705864,0.3627450980392155
2000-02-29,005935,삼성전자우,KOSPI,A,,-0.1416666666666666,-0.11431657808041007,-0.4938574938574938,2461022981000.0,0.08252427184466016,목표,1,0.20126213592233,0.44660194174757284
2000-03-13,005935,삼성전자우,KOSPI,A,,-0.13310580204778155,0.0621652419666785,-0.37592137592137587,2461022981000.0,0.07677165354330695,목표,5,0.2572834645669291,0.2637795275590551
2000-04-17,005935,삼성전자우,KOSPI,A,,-0.2058823529411764,0.029004263698222177,-0.3493975903614458,4061882590000.0,0.12962962962962954,목표,1,0.07977777777777773,0.125925925925926
2000-05-23,005935,삼성전자우,KOSPI,A,,-0.15000000000000013,-0.0404811704718665,-0.34457831325301214,3560120623000.0,-0.06397058823529411,손절,1,-0.06397058823529411,0.09558823529411775
2000-05-24,005935,삼성전자우,KOSPI,A,,-0.13058419243986263,-0.10966828105273807,-0.3903614457831326,3560120623000.0,-0.07130434782608686,트레일,3,-0.07130434782608686,0.19762845849802368
2024-08-05,005935,삼성전자우,KOSPI,A,,-0.1342592592592593,-0.08035927734708515,-0.3536866359447005,53405346830000.0,0.07754010695187175,목표,2,0.04622103386809273,-0.11051693404634577
1997-09-23,005935,삼성전자우,KOSPI,S2,2일누적,-0.10422535211267603,0.0729800784490151,-0.5391304347826087,800429804500.0,-0.07572327044025162,트레일,10,-0.07572327044025162,-0.42138364779874216
1998-02-05,005935,삼성전자우,KOSPI,S2,2일누적,-0.11594202898550732,-0.10322965957642305,-0.6463768115942029,652290557100.0,0.06557377049180313,목표,1,0.032786885245901565,-0.2909836065573771
2000-03-14,005935,삼성전자우,KOSPI,S2,2일누적,-0.10563380281690138,0.05891978369965312,-0.37592137592137587,2461022981000.0,0.059055118110236116,목표,1,0.029527559055118058,0.3228346456692912
2000-06-16,005935,삼성전자우,KOSPI,S2,"2일누적,5년고점",-0.10588235294117643,0.025153927649087304,-0.2674698795180722,3368973207000.0,0.05921052631578938,목표,2,0.03039473684210514,-0.11513157894736836
2000-07-20,005935,삼성전자우,KOSPI,S2,"2일누적,5년고점",-0.10240963855421692,-0.03938107774136368,-0.2819277108433734,3906575314500.0,-0.05318791946308743,손절,2,-0.05318791946308743,-0.3120805369127517
2000-07-25,005935,삼성전자우,KOSPI,S2,2일누적,-0.10231023102310233,-0.12378191189498267,-0.34457831325301214,3906575314500.0,0.05698529411764697,목표,1,0.028492647058823484,-0.3294117647058823
1999-12-27,004000,롯데정밀화학,KOSPI,A,,-0.14761904761904765,0.04382053867554325,-0.8607003891050584,406350000000.0,0.08659217877094982,목표,2,0.09759776536312859,0.3966480446927374
2000-04-03,004000,롯데정밀화학,KOSPI,A,,-0.1800947867298578,-0.1133036486529776,-0.8653696498054475,516000000000.0,0.10982658959537561,목표,4,0.0979190751445086,-0.10982658959537572
2007-11-23,004000,롯데정밀화학,KOSPI,A,,-0.16800000000000004,0.05290910433122753,-0.47540983606557374,1741500000000.0,0.10096153846153855,목표,3,0.07350961538461542,0.12740384615384626
2015-11-02,004000,롯데정밀화학,KOSPI,A,,-0.13636363636363635,-0.02233155418138333,-0.5943820224719101,968790000000.0,-0.06052631578947365,손절,7,-0.06052631578947365,-0.01939058171745156
2026-03-04,004000,롯데정밀화학,KOSPI,A,,-0.17906066536203524,-0.01488725703634497,-0.5866995073891625,1318380000000.0,0.10905840286054835,목표,3,0.10833134684147794,0.6972586412395709
