code,name,sector,mcap,adtv
336370,솔루스첨단소재,전자부품 제조업,798371201280,9538929700
006650,대한유화,기초 화학물질 제조업,792350000000,5474816850
025540,한국단자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",784924000000,2290213600
071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업",781565220000,2770284200
064960,SNT모티브,자동차 신품 부품 제조업,777629969600,2140373850
004490,세방전지,일차전지 및 이차전지 제조업,752598000000,4195821700
003850,보령,의약품 제조업,738627852270,1199034020
001510,SK증권,금융 지원 서비스업,737831321150,18838429518
009240,한샘,생활용품 도매업,735435250000,1542312775
079160,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업",728562494000,2657477180
285130,SK케미칼,합성고무 및 플라스틱 물질 제조업,723953357100,2658511850
100840,SNT에너지,일반 목적용 기계 제조업,723827405000,6970246175
005090,SGC에너지,전기업,721907583300,5935214150
002020,코오롱,기타 금융업,713794704000,5592512050
000370,한화손해보험,보험업,712107381500,3306205590
003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",710330000000,7988799275
00104K,CJ4우(전환),,691034712000,1532330350
178920,PI첨단소재,플라스틱제품 제조업,673957089900,6774021300
002350,넥센타이어,고무제품 제조업,664141563600,1532331200
317450,명인제약,의약품 제조업,663570000000,1182851400
005880,대한해운,해상 운송업,663245783700,10990582176
058650,세아홀딩스,1차 철강 제조업,661788816000,2478808800
069260,TKG휴켐스,기타 화학제품 제조업,661006767960,2098630240
001680,대상,기타 식품 제조업,657619514500,1678704410
114090,GKL,유원지 및 기타 오락관련 서비스업,657525772100,2768956505
005180,빙그레,동·식물성 유지 및 낙농제품 제조업,657174297900,2954880950
003620,KG모빌리티,자동차용 엔진 및 자동차 제조업,654682840320,3784323711
293940,신한알파리츠,부동산 임대 및 공급업,649448460510,1881101060
007700,F&F홀딩스,기타 금융업,647342773850,314979980
093050,LF,봉제의복 제조업,646204000000,1284066150
249420,일동제약,의약품 제조업,642256515600,4339825325
008060,대덕,기타 금융업,635128089400,3833127880
001570,금양,기초 화학물질 제조업,633275240400,0
002960,한국쉘석유,석유 정제품 제조업,632450000000,995295250
001060,JW중외제약,의약품 제조업,626391517000,1658905650
006380,카프로,기초 화학물질 제조업,618539985360,0
484870,엠앤씨솔루션,특수 목적용 기계 제조업,616972860000,3679635300
383800,LX홀딩스,기타 금융업,614822361400,2063988760
005389,현대차3우B,,614447328000,9163803000
001270,부국증권,금융 지원 서비스업,604564353800,671661100
000640,동아쏘시오홀딩스,기타 금융업,594482134100,1547285300
000400,롯데손해보험,보험업,591501025920,1364811944
014820,동원시스템즈,플라스틱제품 제조업,591422152800,1910016800
017940,E1,기타 전문 도매업,591332000000,1951979700
003030,세아제강지주,기타 금융업,586872796900,5825135700
001500,현대차증권,금융 지원 서비스업,579993952720,2716986290
002840,미원상사,기타 화학제품 제조업,562400000000,779083900
453340,현대그린푸드,종합 소매업,559810159880,1968355265
005810,풍산홀딩스,기타 금융업,557949200400,1901366925
039130,하나투어,여행사 및 기타 여행보조 서비스업,549892586000,2931584900
161000,애경케미칼,기초 화학물질 제조업,549730411700,3478699855
016380,KG스틸,1차 철강 제조업,547048666590,3655646580
452260,한화갤러리아,종합 소매업,535052523600,9105765482
005250,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업,533299901400,3785220250
003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업",522309054960,412073320
017900,광전자,반도체 제조업,515699490700,24698195720
003545,대신증권우,,515169590150,3062840600
002240,고려제강,1차 철강 제조업,512190000000,606066660
460860,동국제강,1차 철강 제조업,502033132040,3615790365
020000,한섬,봉제의복 제조업,501487809900,4017843725
268280,미원에스씨,기초 화학물질 제조업,500000000000,291885900
005420,코스모화학,기타 화학제품 제조업,498538799440,3221635355
284740,쿠쿠홈시스,개인 및 가정용품 임대업,496986859500,506236525
001530,DI동일,상품 중개업,496139122950,3503526000
031430,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업",496101480000,4192564965
094800,맵스리얼티,신탁업 및 집합투자업,492950297610,290299110
377740,바이오노트,의료용품 및 기타 의약 관련제품 제조업,485996448960,405684730
271940,일진하이솔루스,그외 기타 운송장비 제조업,484054822700,1256719390
019170,신풍제약,의약품 제조업,480153661520,2063652530
009410,태영건설,토목 건설업,477036895034,605689455
003280,흥아해운,해상 운송업,475320025323,18837671441
009900,명신산업,자동차 신품 부품 제조업,474330002320,3091443200
448730,삼성FN리츠,부동산 임대 및 공급업,471639000000,492797220
000157,두산2우B,,469737988000,1875624000
005945,NH투자증권우,,468000006400,1660081875
016610,DB증권,금융 지원 서비스업,466910279000,1611369685
014830,유니드,기초 화학물질 제조업,464934120000,2577711350
217590,티엠씨,절연선 및 케이블 제조업,456585563750,5682338935
003000,부광약품,의약품 제조업,453364163245,3331267095
001200,유진투자증권,금융 지원 서비스업,450913175790,3898457193
011930,신성이엔지,반도체 제조업,447719726250,13948099850
008730,율촌화학,플라스틱제품 제조업,446648000000,2704569610
145990,삼양사,기타 식품 제조업,444509651900,371405500
034310,NICE,회사 본부 및 경영 컨설팅 서비스업,439983169290,994000410
130660,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업",436188000000,3436973445
006405,삼성SDI우,,435214024000,5420576250
004690,삼천리,연료용 가스 제조 및 배관공급업,434850562300,1291271500
000070,삼양홀딩스,기타 금융업,433186057800,565131100
950210,프레스티지바이오파마,자연과학 및 공학 연구개발업,429086546700,1275187850
381970,케이카,자동차 판매업,423276752160,1678938555
072710,농심홀딩스,기타 금융업,422038890000,872372500
004700,조광피혁,"가죽, 가방 및 유사제품 제조업",412246556000,103451650
027410,BGF,기타 금융업,407274945705,1175680579
029530,신도리코,컴퓨터 및 주변장치 제조업,405145899300,482456400
060980,HL홀딩스,기타 금융업,404008691500,1880252150
015360,INVENI,회사 본부 및 경영 컨설팅 서비스업,401120000000,598701365
145720,덴티움,의료용 기기 제조업,395836596900,1909571175
417310,코람코더원리츠,부동산 임대 및 공급업,395112000000,1731592875
012030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",393898560814,2689404014
010820,퍼스텍,무기 및 총포탄 제조업,393101820280,13894018680
403550,쏘카,운송장비 임대업,392132309880,876756150
015860,일진홀딩스,기타 금융업,389845115700,2765608155
357120,코람코라이프인프라리츠,부동산 임대 및 공급업,387881385690,1225728014
306200,세아제강,1차 철강 제조업,387438580000,1576558750
002810,삼영무역,기타 전문 도매업,385959213200,418976875
0120G0,삼양바이오팜,의약품 제조업,385921653000,1806485000
017810,풀무원,기타 식품 제조업,385017474200,552868990
105840,우진,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",382543869800,7564977500
090435,아모레퍼시픽우,,380609771500,553472975
170900,동아에스티,의약품 제조업,375493813400,664458000
344820,KCC글라스,유리 및 유리제품 제조업,375307032000,1144041850
097520,엠씨넥스,영상 및 음향기기 제조업,374132250000,1837814500
092200,디아이씨,자동차 신품 부품 제조업,373330262400,24876721795
02826K,삼성물산우B,,369098885000,3993016750
286940,롯데이노베이트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",364617744700,4001339975
016590,신대양제지,"골판지, 종이 상자 및 종이용기 제조업",363486336400,262282730
005610,삼립,기타 식품 제조업,363281278900,231038550
089590,제주항공,항공 여객 운송업,362481227575,1714639018
006220,제주은행,은행 및 저축기관,357952334790,1898742700
092790,넥스틸,1차 철강 제조업,357787520000,3409656420
002030,아세아,회사 본부 및 경영 컨설팅 서비스업,357416707200,730301800
004710,한솔테크닉스,전자부품 제조업,357217168290,14432055995
002710,TCC스틸,1차 철강 제조업,356768416170,2298085615
126720,수산인더스트리,전기 및 통신 공사업,355721400000,1731108550
105630,한세실업,봉제의복 제조업,351200000000,756302820
010690,화신,자동차 신품 부품 제조업,349204100000,3822175370
200880,서연이화,자동차 신품 부품 제조업,347855984190,1301906320
183190,아세아시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업",347541194560,531056255
084690,대상홀딩스,기타 금융업,346916114040,1250271135
092230,KPX홀딩스,기초 화학물질 제조업,345153578200,532050200
058430,포스코스틸리온,1차 철강 제조업,338400000000,2767309025
029460,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",335575290750,1038011625
005950,이수화학,기초 화학물질 제조업,334461829680,8125157435
011760,현대코퍼레이션,상품 종합 도매업,334031391500,1249840750
192650,드림텍,전자부품 제조업,330731284205,1601218918
091810,트리니티항공,항공 여객 운송업,330375588000,1384903595
025860,남해화학,"비료, 농약 및 살균, 살충제 제조업",327880363800,3931126595
009290,광동제약,의약품 제조업,326188742400,1293295425
005720,넥센,고무제품 제조업,320518259700,216816630
018250,애경산업,기타 화학제품 제조업,320088412200,1082628040
009160,SIMPAC,1차 철강 제조업,319664033520,1188297921
126560,현대퓨처넷,전기 통신업,318867036800,220504450
016800,퍼시스,가구 제조업,315100000000,24801700
194370,제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업",314251489140,1348939900
000650,천일고속,육상 여객 운송업,310855350000,44849288300
001390,KG케미칼,기초 화학물질 제조업,302548635000,1860932857
078520,에이블씨엔씨,기타 화학제품 제조업,301504125990,1666152790
003720,삼영,플라스틱제품 제조업,300560000000,13518302010
000430,대원강업,자동차 신품 부품 제조업,300390000000,2920427129
104700,한국철강,1차 철강 제조업,299983500000,203679020
272450,진에어,항공 여객 운송업,297540000000,1637730985
024720,콜마홀딩스,기타 금융업,294261902220,728509840
007690,국도화학,기초 화학물질 제조업,294031416000,413911200
002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업",292715364200,1648612755
034830,한국토지신탁,신탁업 및 집합투자업,292635017570,1156909975
084010,대한제강,1차 철강 제조업,292158566000,539320820
026890,스틱인베스트먼트,신탁업 및 집합투자업,291944402610,720282425
108670,LX하우시스,플라스틱제품 제조업,291449275000,1136032550
001940,KISCO홀딩스,1차 철강 제조업,288489333000,287160125
033270,유나이티드제약,의약품 제조업,287985027500,482048390
017860,DS단석,기타 화학제품 제조업,284678998170,1894167275
001750,한양증권,금융 지원 서비스업,283846308200,496846350
017390,서울가스,연료용 가스 제조 및 배관공급업,281160000000,218526250
001340,PKC,기초 화학물질 제조업,275236277760,4950636365
001230,동국홀딩스,기타 금융업,274160101545,4154132581
900140,엘브이엠씨홀딩스,자동차 판매업,272082528256,1447517027
003920,남양유업,동·식물성 유지 및 낙농제품 제조업,271800000000,649952900
002900,TYM,특수 목적용 기계 제조업,271584000000,2523455195
