date,code,market,name,mcap,shares,sect
2026-08-21,002360,KOSPI,SH에너지화학,16892326960,11113373,
2026-08-21,009160,KOSPI,SIMPAC,318683469000,65370968,
2026-08-21,033530,KOSPI,SJG세종,181250403300,27052299,
2026-08-21,123700,KOSPI,SJM,52822579730,15604898,
2026-08-21,025530,KOSPI,SJM홀딩스,53762428800,14934008,
2026-08-21,034730,KOSPI,SK,42486583958000,72502703,
2026-08-21,011790,KOSPI,SKC,4136498053200,49598298,
2026-08-21,018670,KOSPI,SK가스,2164368474000,9269244,
2026-08-21,001740,KOSPI,SK네트웍스,1366044384090,200593889,
2026-08-21,006120,KOSPI,SK디스커버리,891584051200,17413751,
2026-08-21,006125,KOSPI,SK디스커버리우,48098080250,1231705,
2026-08-21,210980,KOSPI,SK디앤디,83778219000,18617382,
2026-08-21,395400,KOSPI,SK리츠,1709780081600,301017620,
2026-08-21,302440,KOSPI,SK바이오사이언스,2863664184500,78456553,
2026-08-21,326030,KOSPI,SK바이오팜,6554819025000,78313250,
2026-08-21,402340,KOSPI,SK스퀘어,148150649754000,131923998,
2026-08-21,361610,KOSPI,SK아이이테크놀로지,1140930045000,81787100,
2026-08-21,100090,KOSPI,SK오션플랜트,814090020870,62478129,
2026-08-21,03473K,KOSPI,SK우,214565165000,566135,
2026-08-21,096770,KOSPI,SK이노베이션,21097787942400,169052788,
2026-08-21,096775,KOSPI,SK이노베이션우,83894227200,1248426,
2026-08-21,475150,KOSPI,SK이터닉스,1747637305200,34067004,
2026-08-21,001510,KOSPI,SK증권,683476976175,231295085,
2026-08-21,001515,KOSPI,SK증권우,9800847570,1956257,
2026-08-21,285130,KOSPI,SK케미칼,858018793600,17298766,
2026-08-21,28513K,KOSPI,SK케미칼우,48126009750,2115429,
2026-08-21,017670,KOSPI,SK텔레콤,21951543416600,214790053,
2026-08-21,000660,KOSPI,SK하이닉스,1263751791450000,730492365,
2026-08-21,003570,KOSPI,SNT다이내믹스,977629291800,33252697,
2026-08-21,064960,KOSPI,SNT모티브,692701099200,26540272,
2026-08-21,100840,KOSPI,SNT에너지,535632279700,20680783,
2026-08-21,036530,KOSPI,SNT홀딩스,757315504700,16303886,
2026-08-21,000390,KOSPI,SP삼화,165125056830,27203469,
2026-08-21,011810,KOSPI,STX,109493282310,31017927,
2026-08-21,465770,KOSPI,STX그린로지스,26058351800,7218380,
2026-08-21,077970,KOSPI,STX엔진,941472077350,40148063,
2026-08-21,002820,KOSPI,SUN&L,16840232784,12063204,
2026-08-21,002170,KOSPI,SYTS,170700000000,3000000,
2026-08-21,084870,KOSPI,TBH글로벌,48895231840,20458256,
2026-08-21,002710,KOSPI,TCC스틸,258991326360,26213697,
2026-08-21,069260,KOSPI,TKG휴켐스,643020189240,40878588,
2026-08-21,007980,KOSPI,TP,83149001550,46897350,
