code,fiscal_year,revenue,cogs,assets
000590,2025,134870815287.0,99728393865.0,425396197381.0
000640,2015,704734520024.0,457320756508.0,1223518090100.0
000640,2016,726165504518.0,650166842342.0,1402215519614.0
000640,2017,690264581707.0,636890164173.0,1459445277379.0
000640,2018,707495924243.0,656947152446.0,1241932781639.0
000640,2019,769685605087.0,716862449257.0,1358576945107.0
000640,2020,783315662469.0,732705740312.0,1511106332704.0
000640,2021,881944084032.0,820379896002.0,1691388335986.0
000640,2022,1014860897959.0,977006070822.0,1731452067203.0
000640,2023,1132002860400.0,1055121137352.0,1957106350366.0
000640,2024,1333229636666.0,925164455016.0,2030483787016.0
000640,2025,1429766810735.0,973117954242.0,2079304723754.0
000650,2015,58862178057.0,47048096185.0,63067607908.0
000650,2016,58413360927.0,47934784176.0,52541980820.0
000650,2017,55245922217.0,48181106035.0,67842441665.0
000650,2018,55559197497.0,49835965440.0,80409026731.0
000650,2019,59633084814.0,51424487473.0,80044782325.0
000650,2020,31159428124.0,34875606064.0,67019917354.0
000650,2021,29342954504.0,33553709705.0,62706049934.0
000650,2022,37703179407.0,39239893100.0,54845658330.0
000650,2023,43998455771.0,42418835671.0,54742622180.0
000650,2024,44716883420.0,42510932271.0,53502532108.0
000650,2025,45550266479.0,43727300740.0,53534399171.0
000660,2015,18797998000000.0,10515353000000.0,29677906000000.0
000660,2016,17197975000000.0,10787139000000.0,32216026000000.0
000660,2017,30109434000000.0,12701843000000.0,45418464000000.0
000660,2018,40445066000000.0,15180838000000.0,63658335000000.0
000660,2019,26990733000000.0,18825275000000.0,64789494000000.0
000660,2020,31900418000000.0,21089789000000.0,71173853000000.0
000660,2021,42997792000000.0,24045600000000.0,96386474000000.0
000660,2022,44621568000000.0,28993713000000.0,103871512000000.0
000660,2023,32765719000000.0,33299167000000.0,100330165000000.0
000660,2024,66192960000000.0,34364814000000.0,119855209000000.0
000660,2025,97146675000000.0,38455885000000.0,176107659000000.0
000670,2015,2615383130227.0,2503809713376.0,3987888360796.0
000670,2016,2654083285428.0,2548135587544.0,4134902348882.0
000670,2017,3724854999008.0,3440151906344.0,4803738858844.0
000670,2018,2971432405324.0,2963560834279.0,4721553262766.0
000670,2019,3084133443662.0,2866483411159.0,4832690295550.0
000670,2020,3183432777257.0,3015724439896.0,5000855951482.0
000670,2021,3582074826364.0,3455635107973.0,5521001405617.0
000670,2022,4429488166601.0,4209702932895.0,5871933652466.0
000670,2023,3761732632263.0,3787681165939.0,5568116970055.0
000670,2024,2787414358375.0,2830020314859.0,5701707714763.0
000670,2025,2908974321148.0,3050789796704.0,6002694219498.0
000680,2015,810130160875.0,594926656534.0,1521083340346.0
000680,2016,487042508946.0,343336445285.0,1261322781828.0
000680,2017,443352649668.0,301751946658.0,1273488634193.0
000680,2018,445887878243.0,313286305031.0,1273639854605.0
000680,2019,402812772969.0,297230039791.0,1168087093967.0
000680,2020,334864620662.0,250863652353.0,1228401794045.0
000680,2021,390470563901.0,279937430625.0,1309373198056.0
000680,2022,362911031595.0,245353980387.0,1300442455061.0
000680,2023,379631754364.0,257109475140.0,1309219122467.0
000680,2024,1933813959649.0,1650128917846.0,9601505118160.0
000680,2025,2615245130367.0,2315505285520.0,11685359914888.0
000700,2015,516368007864.0,382242673459.0,464546228823.0
000700,2016,446966931972.0,332726690234.0,473581039781.0
000700,2017,433552428977.0,305616434289.0,520624313058.0
000700,2018,384328006605.0,275614447458.0,541149250545.0
000700,2019,366111471934.0,296568464768.0,521957790172.0
000700,2020,334813526535.0,279698770893.0,498245352576.0
000700,2021,503704317701.0,422656444379.0,501707092204.0
