date,value,yoy
2013-06-01,55.81,0.07285659361783936
2013-07-01,57.75,0.22611464968152872
2013-08-01,60.12,0.22919648333674103
2013-09-01,65.25,0.22122403144300962
2013-10-01,64.36,0.15257879656160456
2013-11-01,59.93,0.0823550659201735
2013-12-01,62.54,0.20246106517977314
2014-01-01,55.81,0.1588455149501662
2014-02-01,53.78,0.14939089549048945
2014-03-01,63.1,0.14477503628447042
2014-04-01,58.15,0.12172067901234551
2014-05-01,59.02,-0.004721753794266315
2014-06-01,62.14,0.11342053395448848
2014-07-01,58.35,0.010389610389610393
2014-08-01,63.25,0.052062541583499655
2014-09-01,70.47,0.08000000000000007
2014-10-01,72.02,0.11901802361715341
2014-11-01,69.84,0.16535958618388125
2014-12-01,70.29,0.12392069075791512
2015-01-01,63.62,0.139939079018097
2015-02-01,57.55,0.07010040907400517
2015-03-01,65.14,0.03232963549920753
2015-04-01,62.49,0.07463456577815997
2015-05-01,61.8,0.04710267705862403
2015-06-01,64.13,0.03202446089475375
2015-07-01,62.06,0.06358183376178239
2015-08-01,66.01,0.043636363636363695
2015-09-01,70.87,0.0056761742585498265
2015-10-01,66.58,-0.07553457372951955
2015-11-01,62.72,-0.10194730813287523
2015-12-01,57.89,-0.17641200739792295
2016-01-01,54.68,-0.14052184847532223
2016-02-01,50.08,-0.12980017376194608
2016-03-01,63.84,-0.019957015658581434
2016-04-01,54.94,-0.12081933109297494
2016-05-01,59.01,-0.0451456310679611
2016-06-01,63.75,-0.005925463901450101
2016-07-01,60.42,-0.026426039316790217
2016-08-01,67.51,0.022723829722769207
2016-09-01,69.13,-0.024551996613517812
2016-10-01,67.77,0.017873235205767557
2016-11-01,70.26,0.12021683673469408
2016-12-01,70.97,0.22594575919847992
2017-01-01,77.41,0.41569129480614486
2017-02-01,78.46,0.5666932907348241
2017-03-01,91.49,0.4331140350877192
2017-04-01,87.23,0.5877320713505645
2017-05-01,92.01,0.5592272496187087
2017-06-01,98.52,0.5454117647058823
2017-07-01,96.76,0.6014564713670971
2017-08-01,107.38,0.5905791734557841
2017-09-01,119.01,0.7215391291769133
2017-10-01,116.39,0.7174265899365502
2017-11-01,117.44,0.6715058354682606
2017-12-01,119.26,0.6804283500070454
2018-01-01,118.56,0.5315850665288724
2018-02-01,109.69,0.3980372164160082
2018-03-01,132.09,0.44376434583014546
2018-04-01,118.88,0.3628338874240513
2018-05-01,131.59,0.43017063362677965
2018-06-01,135.63,0.37667478684531064
2018-07-01,125.73,0.29940057875155013
2018-08-01,139.9,0.30284969268020134
2018-09-01,151.16,0.27014536593563565
2018-10-01,141.12,0.21247529856516878
2018-11-01,129.84,0.10558583106267028
2018-12-01,107.54,-0.09827268153613955
2019-01-01,90.17,-0.23945681511470984
2019-02-01,82.07,-0.2518005287628773
2019-03-01,109.82,-0.16859716859716867
2019-04-01,103.15,-0.13231830417227453
2019-05-01,91.56,-0.3042024469944524
2019-06-01,101.62,-0.2507557325075572
2019-07-01,91.23,-0.27439751849200666
2019-08-01,97.5,-0.3030736240171551
2019-09-01,103.4,-0.3159566022757343
2019-10-01,95.91,-0.3203656462585035
2019-11-01,89.91,-0.3075323475046211
2019-12-01,88.83,-0.17398177422354477
2020-01-01,87.72,-0.027170899412221394
2020-02-01,90.19,0.09893992932862195
2020-03-01,106.63,-0.029047532325623737
2020-04-01,87.15,-0.15511391177896272
2020-05-01,97.76,0.06771515945827877
2020-06-01,99.55,-0.020370005904349564
2020-07-01,95.12,0.042639482626328995
2020-08-01,99.13,0.01671794871794874
2020-09-01,114.42,0.10657640232108312
2020-10-01,104.44,0.08893754561568135
2020-11-01,103.85,0.15504393282171058
2020-12-01,114.04,0.28380051784307114
2021-01-01,105.35,0.2009803921568627
2021-02-01,100.83,0.11797316775695754
2021-03-01,114.2,0.07099315389665195
2021-04-01,112.38,0.28950086058519786
2021-05-01,121.33,0.24110065466448427
2021-06-01,135.08,0.35690607734806656
2021-07-01,132.47,0.3926619007569385
2021-08-01,140.58,0.41813779884999525
2021-09-01,146.28,0.2784478238070267
2021-10-01,134.34,0.28628877824588295
2021-11-01,144.45,0.39094848338950405
2021-12-01,153.17,0.34312521922132566
2022-01-01,129.3,0.22733744660654986
2022-02-01,124.55,0.23524744619656857
2022-03-01,157.41,0.378371278458844
2022-04-01,129.62,0.15340807972948922
2022-05-01,138.23,0.13928954092145385
2022-06-01,148.82,0.10171750074030195
2022-07-01,136.11,0.027477919528950068
2022-08-01,130.69,-0.07035140133731688
2022-09-01,138.8,-0.051134809953513716
2022-10-01,111.95,-0.16666666666666663
2022-11-01,102.06,-0.2934579439252336
2022-12-01,110.0,-0.2818437030750146
2023-01-01,72.63,-0.4382830626450117
2023-02-01,72.05,-0.42151746286631875
2023-03-01,103.48,-0.3426084746839464
2023-04-01,76.36,-0.4108933806511341
2023-05-01,88.88,-0.35701367286406716
2023-06-01,107.15,-0.2800026878107781
2023-07-01,90.23,-0.3370803026963486
2023-08-01,102.94,-0.21233453209885988
2023-09-01,119.69,-0.13768011527377533
2023-10-01,107.18,-0.04260830728003573
2023-11-01,114.38,0.12071330589849105
2023-12-01,132.53,0.2048181818181818
2024-01-01,112.93,0.5548671347927856
2024-02-01,119.04,0.6521859819569744
2024-03-01,140.11,0.35398144568998857
2024-04-01,118.1,0.5466212676794133
2024-05-01,136.15,0.5318406840684069
2024-06-01,161.06,0.5031264582361175
2024-07-01,133.37,0.4781114928516015
2024-08-01,140.55,0.36535846123955706
2024-09-01,162.45,0.35725624530035915
2024-10-01,149.11,0.3912110468370966
2024-11-01,148.5,0.29830389928309153
2024-12-01,173.14,0.3064211876556251
2025-01-01,120.33,0.06552731780749133
2025-02-01,114.25,-0.040238575268817245
2025-03-01,155.78,0.11184069659553209
2025-04-01,138.5,0.17273497036409835
2025-05-01,165.1,0.21263312522952615
2025-06-01,179.41,0.11393269588973043
2025-07-01,176.12,0.32053685236559937
2025-08-01,180.7,0.285663464959089
2025-09-01,199.15,0.22591566635887972
2025-10-01,188.28,0.2626919723693917
2025-11-01,206.7,0.3919191919191918
2025-12-01,250.13,0.4446690539447846
2026-01-01,247.58,1.0575085182415025
2026-02-01,303.84,1.6594310722100656
2026-03-01,397.63,1.5525099499293877
2026-04-01,385.98,1.7868592057761736
2026-05-01,450.34,1.727680193821926
