code,name,mkt,track,price,score,div,pbr,roe,mcap,stop,R,weight,qty,amount,rule,ma60_ok
251270,넷마블,KOSPI,가치,38000,5.921428571428571,2.35,0.56,4.143717273536646,3060256226850,22800.0,40.0,2.5,3,114000,재난 −40% · 익절 PBR≥1.0/+100%,False
001720,신영증권,KOSPI,가치,130900,5.906901408450704,3.09,0.71,5.975873584251568,2406816000000,78540.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
007070,GS리테일,KOSPI,가치,24500,5.883333333333333,2.55,0.6,1.3230542197796604,2131989082500,14700.0,40.0,2.5,5,122500,재난 −40% · 익절 PBR≥1.0/+100%,False
011780,금호석유화학,KOSPI,가치,112800,5.8478260869565215,1.5,0.46,4.624078764838996,3056614987500,67680.0,40.0,2.5,1,112800,재난 −40% · 익절 PBR≥1.0/+100%,False
071050,한국금융지주,KOSPI,가치,181300,5.799158878504673,3.93,1.07,16.819421686512666,11841773300000,108780.0,40.0,2.5,0,0,재난 −40% · 익절 PBR≥1.0/+100%,False
111770,영원무역,KOSPI,가치,88600,5.521578947368422,2.89,0.76,12.020300767518773,3846235422400,53160.0,40.0,2.5,1,88600,재난 −40% · 익절 PBR≥1.0/+100%,True
002790,아모레퍼시픽홀딩스,KOSPI,가치,25500,5.401428571428571,1.83,0.56,3.5080031961234117,1903808682000,15300.0,40.0,2.5,4,102000,재난 −40% · 익절 PBR≥1.0/+100%,True
047050,포스코인터내셔널,KOSPI,가치,50100,5.359999999999999,3.76,1.25,9.154428578687941,9271130927600,30060.0,40.0,2.5,2,100200,재난 −40% · 익절 PBR≥1.0/+100%,False
016360,삼성증권,KOSPI,가치,89800,5.3566666666666665,3.69,1.2,12.483950945233985,9055020000000,53880.0,40.0,2.5,1,89800,재난 −40% · 익절 PBR≥1.0/+100%,False
375500,DL이앤씨,KOSPI,가치,53800,5.31156862745098,1.39,0.51,6.938516461721539,2472522509700,32280.0,40.0,2.5,2,107600,재난 −40% · 익절 PBR≥1.0/+100%,False
103140,풍산,KOSPI,가치,60300,5.237402597402598,2.64,0.77,6.4038413539821955,1793553792000,36180.0,40.0,2.5,2,120600,재난 −40% · 익절 PBR≥1.0/+100%,False
055550,신한지주,KOSPI,가치,100500,5.2316455696202535,2.7,0.79,8.077847663582178,49838707905000,60300.0,40.0,2.5,1,100500,재난 −40% · 익절 PBR≥1.0/+100%,True
241560,두산밥캣,KOSPI,가치,57300,5.199024390243903,2.76,0.82,5.5849116875856835,6153959373000,34380.0,40.0,2.5,2,114600,재난 −40% · 익절 PBR≥1.0/+100%,False
005440,현대지에프홀딩스,KOSPI,가치,11170,5.125806451612903,1.9,0.62,10.300880816899213,2272291295610,6702.0,40.0,2.5,11,122870,재난 −40% · 익절 PBR≥1.0/+100%,False
051600,한전KPS,KOSPI,가치,43450,5.081351351351351,3.73,1.48,9.23226108473216,2094750000000,26070.0,40.0,2.5,2,86900,재난 −40% · 익절 PBR≥1.0/+100%,False
