code,name,board,industry,mcap_억,adtv_억,latest_fy,rev_yoy,rev_cagr,cfo_yoy,roa,op_margin,accrual_sloan,debt_ratio,ni_positive,cfo_positive
078600,대주전자재료,우량기업부,전자부품 제조업,19627.6,470.78,2025,0.1609,0.1394,-0.5415,0.0316,0.0812,0.0151,1.559,True,True
080220,제주반도체,우량기업부,반도체 제조업,34787.3,1978.97,2025,0.8616,0.1851,,0.1176,0.1187,0.0415,0.4794,True,True
082270,젬백스,벤처기업부,특수 목적용 기계 제조업,6131.3,40.42,2025,0.3005,0.114,,-0.0714,0.0465,-0.0783,1.7761,False,True
082920,비츠로셀,우량기업부,일차전지 및 이차전지 제조업,23803.2,231.64,2025,0.1533,0.1051,0.0638,0.1535,0.285,-0.018,0.1221,True,True
083450,GST,우량기업부,특수 목적용 기계 제조업,8883.3,200.04,2025,0.0027,0.1283,-0.2356,0.118,0.1704,0.0103,0.268,True,True
083650,비에이치아이,우량기업부,일반 목적용 기계 제조업,20918.4,234.64,2025,0.9126,0.2306,1.81,0.0785,0.0975,-0.0567,3.6765,True,True
084370,유진테크,우량기업부,특수 목적용 기계 제조업,27453.4,269.35,2025,0.0363,0.093,0.0809,0.0766,0.1475,-0.0379,0.1816,True,True
085660,차바이오텍,중견기업부,기초 의약물질 제조업,11937.7,55.83,2025,0.2136,0.1549,,-0.0576,-0.0385,-0.0291,2.1481,False,False
086450,동국제약,우량기업부,의약품 제조업,8376.7,72.09,2025,0.1412,0.115,-0.0963,0.0696,0.1042,0.0049,0.3917,True,True
086520,에코프로,중견기업부,기타 금융업,173250.4,2738.38,2025,0.0912,0.3015,-0.3064,-0.0108,0.0626,-0.0455,1.1792,False,True
086900,메디톡스,우량기업부,기초 의약물질 제조업,6342.4,105.52,2025,0.0817,0.031,0.6799,0.0269,0.0688,-0.0786,0.2806,True,True
087010,펩트론,기술성장기업부,기초 의약물질 제조업,63073.4,546.64,2025,0.7876,0.2094,,-0.0772,-3.7725,0.0378,0.2603,False,False
089010,켐트로닉스,우량기업부,기타 화학제품 제조업,5592.8,74.54,2025,0.1082,0.0792,-0.9907,0.0172,0.0364,0.0164,1.9767,True,True
089030,테크윙,중견기업부,특수 목적용 기계 제조업,18119.2,393.47,2025,-0.1422,-0.0264,-1.4917,0.0142,0.0995,0.0396,1.9875,True,False
089890,코세스,우량기업부,특수 목적용 기계 제조업,6219.4,100.81,2025,0.1907,0.0387,0.1906,0.1431,0.2111,-0.0259,0.2465,True,True
089970,브이엠,우량기업부,특수 목적용 기계 제조업,13426.4,270.23,2025,1.0549,0.1598,-0.174,0.1051,0.1709,0.0314,0.4037,True,True
090360,로보스타,중견기업부,특수 목적용 기계 제조업,15483.0,2496.4,2025,-0.1504,-0.1321,-0.9937,-0.0476,-0.0747,-0.0482,0.2573,False,True
090710,휴림로봇,중견기업부,특수 목적용 기계 제조업,13068.6,732.79,2025,0.2645,0.4566,,-0.1087,-0.1029,-0.0255,0.3613,False,False
094170,동운아나텍,우량기업부,반도체 제조업,8269.9,77.28,2025,-0.0769,0.1514,-1.205,0.0093,0.0189,0.0732,0.5881,True,False
095340,ISC,우량기업부,기계장비 및 관련 물품 도매업,44831.8,566.15,2025,0.262,0.1659,-0.1768,0.0905,0.2727,0.0235,0.1585,True,True
095610,테스,우량기업부,특수 목적용 기계 제조업,20250.6,365.08,2025,0.4625,0.1195,1.7014,0.1168,0.1647,-0.0523,0.2443,True,True
096530,씨젠,우량기업부,의료용품 및 기타 의약 관련제품 제조업,16634.0,214.62,2025,0.1448,0.254,0.7488,0.0392,0.0729,-0.0816,0.2166,True,True
098460,고영,우량기업부,특수 목적용 기계 제조업,22175.5,485.46,2025,0.1487,0.0078,-0.503,0.036,0.0745,-0.0081,0.2243,True,True
099320,쎄트렉아이,우량기업부,"항공기,우주선 및 부품 제조업",14171.0,164.84,2025,0.2081,0.1973,-2.0833,0.0343,0.0492,0.2144,0.7342,True,False
100790,미래에셋벤처투자,우량기업부,기타 금융업,21488.9,1134.06,2025,0.0256,0.0512,-0.6223,0.0281,,-0.0163,1.9079,True,True
101490,에스앤에스텍,우량기업부,전자부품 제조업,13675.7,164.49,2025,0.3847,0.1932,0.3005,0.1478,0.2067,0.0285,0.2918,True,True
102710,이엔에프테크놀로지,우량기업부,기타 화학제품 제조업,5900.9,54.52,2025,0.1519,0.057,-0.0443,0.0671,0.1164,-0.0704,0.6648,True,True
107640,한중엔시에스,기술성장기업부,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",4237.9,61.58,2025,-0.0112,0.1337,-0.941,0.0193,0.023,0.0172,1.5289,True,True
108490,로보티즈,기술성장기업부,특수 목적용 기계 제조업,59361.0,4333.68,2025,0.2964,0.075,0.321,0.0166,0.0859,-0.0055,0.0179,True,True
121600,나노신소재,우량기업부,기타 화학제품 제조업,7658.6,67.58,2025,0.2732,0.1477,-0.3168,0.0036,0.0419,-0.0332,0.8411,True,True
122640,예스티,벤처기업부,특수 목적용 기계 제조업,5429.6,53.44,2025,-0.1303,0.085,-1.8753,0.0029,0.0436,0.0358,0.6645,True,False
122870,와이지엔터테인먼트,우량기업부,오디오물 출판 및 원판 녹음업,8093.2,69.94,2025,0.4945,0.1282,1861.6917,0.0641,0.1308,-0.0443,0.2888,True,True
124500,아이티센글로벌,우량기업부,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",10047.6,77.36,2025,0.7878,0.3385,8.0062,0.124,0.0316,-0.0249,2.125,True,True
126340,비나텍,벤처기업부,일차전지 및 이차전지 제조업,9365.2,198.92,2025,0.3799,0.1198,,-0.0346,0.0216,-0.0046,1.5854,False,False
127120,제이에스링크,벤처기업부,자연과학 및 공학 연구개발업,13450.3,63.93,2025,0.2143,0.0366,,-0.1337,-0.6464,-0.0574,0.7937,False,False
131290,티에스이,우량기업부,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",22620.6,231.31,2025,0.2323,0.1438,0.6334,0.0659,0.1146,-0.014,0.3088,True,True
131970,두산테스나,우량기업부,"그외 기타 전문, 과학 및 기술 서비스업",28874.9,477.41,2025,-0.1856,0.21,-0.3285,0.0021,-0.0031,-0.207,0.6102,True,True
