순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
143,430690,한싹,KOSDAQ,10.26,2365,1190474795,487065,25767393960,
144,388050,지투파워,KOSDAQ,10.24,7210,1586477440,226351,134895040770,
145,126340,비나텍,KOSDAQ,10.22,69000,6872243000,104979,495448566000,
146,033790,피노,KOSDAQ,10.22,5930,1348487545,241091,494098789910,
147,028100,동아지질,KOSPI,10.21,15760,363368310,23713,211018551520,
148,011790,SKC,KOSPI,10.16,87800,21389589100,251407,4354730564400,
149,062040,산일전기,KOSPI,10.14,183600,51353544100,291258,5621070060000,
150,004440,삼일씨엔에스,KOSPI,10.14,5430,517987755,98321,69134472210,
151,082920,비츠로셀,KOSDAQ,10.09,32200,14479943100,462762,1459931159400,
152,300080,플리토,KOSDAQ,10.09,8180,1798707100,221279,135014589180,
153,121600,나노신소재,KOSDAQ,9.98,44650,2183709750,50470,547506828150,
154,107640,한중엔시에스,KOSDAQ,9.98,32500,2165636025,69819,294610745000,
155,089030,테크윙,KOSDAQ,9.96,50800,74189999150,1460769,1882325166000,
156,247540,에코프로비엠,KOSDAQ,9.95,118200,40207869300,353716,11563557298800,
157,382150,온코크로스,KOSDAQ,9.95,3370,129380965,39476,41100375090,
158,006910,보성파워텍,KOSDAQ,9.94,6970,18121987120,2627351,342434873280,
159,047810,한국항공우주,KOSPI,9.91,164100,91068834550,571930,15995665058700,
160,493280,아이엠바이오로직스,KOSDAQ,9.75,17890,1364710360,78886,265425861610,
161,402030,코난테크놀로지,KOSDAQ,9.75,11590,534438565,46540,145077685920,
162,009460,한창제지,KOSPI,9.72,2990,338606351,115451,35681156030,
163,048410,현대바이오,KOSDAQ,9.72,6550,7405628185,1149293,632111496600,
164,443670,에스피소프트,KOSDAQ,9.71,3050,1880623788,606935,73232220200,
165,473980,노머스,KOSDAQ,9.69,11210,818132820,73805,123974999620,
166,083650,비에이치아이,KOSDAQ,9.66,47100,10558074575,230340,1457480062500,
167,009835,한화솔루션우,KOSPI,9.65,17950,280857100,16236,46227514550,
168,007815,코리아써우,KOSPI,9.64,18200,62857200,3591,53957358000,
169,393890,더블유씨피,KOSDAQ,9.64,7960,807413025,105809,269391426240,
170,003720,삼영,KOSPI,9.63,6260,1729377695,286495,212840000000,
171,342870,오아,KOSDAQ,9.59,4400,53944155,13383,23980866800,
172,347700,스피어,KOSDAQ,9.54,18950,17588629535,960473,976898309900,
