code,name,sector
030520,한글과컴퓨터,소프트웨어 개발 및 공급업
199800,툴젠,자연과학 및 공학 연구개발업
125490,한라캐스트,자동차 신품 부품 제조업
290550,디케이티,전자부품 제조업
060280,큐렉소,기타 상품 전문 소매업
025980,아난티,일반 및 생활 숙박시설 운영업
0011T0,채비,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
211050,인카금융서비스,보험 및 연금관련 서비스업
372320,큐로셀,자연과학 및 공학 연구개발업
034950,한국기업평가,기타 사업지원 서비스업
024850,HLB이노베이션,전자부품 제조업
455900,엔젤로보틱스,특수 목적용 기계 제조업
078160,메디포스트,기초 의약물질 제조업
018290,브이티,기타 화학제품 제조업
340570,티앤엘,의료용품 및 기타 의약 관련제품 제조업
101930,인화정공,선박 및 보트 건조업
330860,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업"
170920,엘티씨,기초 화학물질 제조업
025320,시노펙스,전자부품 제조업
064260,다날,소프트웨어 개발 및 공급업
389500,에스비비테크,일반 목적용 기계 제조업
006910,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
025900,동화기업,나무제품 제조업
095660,네오위즈,소프트웨어 개발 및 공급업
138080,오이솔루션,통신 및 방송 장비 제조업
078350,한양디지텍,반도체 제조업
493280,아이엠바이오로직스,자연과학 및 공학 연구개발업
425040,티이엠씨,기초 화학물질 제조업
251970,펌텍코리아,플라스틱제품 제조업
107640,한중엔시에스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
036620,감성코퍼레이션,기타 전문 도매업
079940,가비아,소프트웨어 개발 및 공급업
039440,에스티아이,특수 목적용 기계 제조업
013030,하이록코리아,1차 철강 제조업
215200,메가스터디교육,일반 교습 학원
230240,에치에프알,통신 및 방송 장비 제조업
101160,월덱스,전자부품 제조업
456010,아이씨티케이,반도체 제조업
168360,펨트론,특수 목적용 기계 제조업
287840,인투셀,자연과학 및 공학 연구개발업
069540,빛과전자,통신 및 방송 장비 제조업
117730,티로보틱스,특수 목적용 기계 제조업
394280,오픈엣지테크놀로지,소프트웨어 개발 및 공급업
085910,네오티스,자동차 신품 부품 제조업
468530,프로티나,자연과학 및 공학 연구개발업
452280,한선엔지니어링,기타 금속 가공제품 제조업
