ym,code,name,mcap,ep,bp,roe,div,src_rcept
2026-08,302440,SK바이오사이언스,2863664184500,-0.020546,0.609768,-0.033695,0.0,20260813001292
2026-08,006360,GS건설,2845584542500,0.055808,1.71858,0.032473,0.020401,20260814002722
2026-08,017800,현대엘리베이터,2822470197000,0.132892,0.384133,0.345953,0.193208,20260814003691
2026-08,097950,CJ제일제당,2769970224000,-0.269857,2.695972,-0.100096,0.034732,20260814001793
2026-08,023530,롯데쇼핑,2735522608500,0.025248,5.593832,0.004513,0.0608,20260814003975
2026-08,139130,iM금융지주,2720683349440,0.158058,2.341748,0.067496,0.042871,20260814003948
2026-08,483650,달바글로벌,2704932597500,0.035975,0.093094,0.386438,0.012005,20260814001262
2026-08,375500,DL이앤씨,2638905088600,0.186296,2.083876,0.089399,0.014069,20260814003712
2026-08,004370,농심,2630742665000,0.071615,1.144248,0.062587,0.013306,20260814000362
2026-08,001720,신영증권,2610672000000,0.053759,0.760339,0.070704,0.039739,20260810000423
2026-08,004800,효성,2609829451300,0.173812,1.030999,0.168586,0.042563,20260819000068
2026-08,007340,DN오토모티브,2586180233000,0.145947,0.922027,0.15829,0.026634,20260814001265
2026-08,489790,한화비전,2585005568000,0.05052,0.366753,0.13775,0.0,20260813001301
2026-08,003690,코리안리,2569523790740,0.135489,1.564414,0.086607,0.039201,20260814003862
2026-08,026960,동서,2562290000000,0.056669,0.670478,0.08452,0.044507,20260813001175
2026-08,181710,NHN,2463036052800,0.017478,0.604291,0.028923,0.0,20260814003830
2026-08,282330,BGF리테일,2443944308400,0.081543,0.541347,0.15063,0.028981,20260814004307
2026-08,005850,에스엘,2433902448000,0.143367,1.111776,0.128953,0.054668,20260814002776
2026-08,450080,에코프로머티,2425375047500,,0.478516,,,20260814001623
2026-08,336260,두산퓨얼셀,2423267862000,-0.076683,0.123645,-0.620187,0.0,20260813001645
2026-08,204320,HL만도,2418291680000,0.061691,1.216424,0.050715,0.014563,20260814004041
2026-08,383220,F&F,2382700065000,0.171529,0.863729,0.198591,0.042473,20260814004123
