code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
028300,2020,56177400696.0,45869164045.0,-61311788462.0,-88716231805.0,706477276989.0,149047858403.0,557429418586.0,251572612204.0,98026814858.0,220677816166.0,-56513635182.0,51021043545.0,26491546500.0
028300,2021,69825991454.0,48758568427.0,-101018424284.0,-111606825948.0,743692264095.0,231507461398.0,512184802697.0,188141790615.0,121819304371.0,99796600600.0,-54765398832.0,109688157027.0,53308626000.0
028300,2022,179707913112.0,113463198737.0,-74664893059.0,-98603344338.0,967265434792.0,268287104470.0,698978330322.0,343614513503.0,200369576030.0,195695147868.0,-61816035433.0,67917528440.0,58236538500.0
028300,2023,42900561196.0,43794069453.0,-125024740610.0,-206042537607.0,751721630091.0,169475199911.0,582246430180.0,144406832382.0,86332423578.0,108888419177.0,-111631653903.0,83142776333.0,65071162500.0
028300,2024,68125727347.0,56071158768.0,-118516152929.0,-108026798560.0,887424813429.0,235310995214.0,652113818215.0,172281679541.0,160718376716.0,93047819826.0,-114312509443.0,74592618498.0,65697424500.0
028300,2025,84172574224.0,56461029564.0,-104217336541.0,-235415156253.0,930177639023.0,435763869963.0,494413769060.0,124277320596.0,347662156199.0,40983350542.0,-92588030393.0,88101713764.0,66370831500.0
087010,2019,1801118527.0,1144470274.0,-12703567632.0,-17717554794.0,60985838275.0,32899825675.0,28086012600.0,18857423146.0,1125894217.0,2450068076.0,-9599502080.0,31773931458.0,7663250000.0
087010,2020,3120697694.0,1984408858.0,-17605941700.0,-18381916319.0,117701410317.0,40568205682.0,77133204635.0,72115041760.0,28586822775.0,67968916993.0,-13550207785.0,11981382907.0,10313426500.0
087010,2021,6624511963.0,2081395338.0,-15658525764.0,-15041985237.0,77868953811.0,15586163240.0,62282790571.0,32671927076.0,6603222279.0,4637592878.0,-10614800228.0,8982940961.0,10313426500.0
087010,2022,5813995537.0,2494160280.0,-15226653745.0,-15062790476.0,68274569625.0,15165197545.0,53109372080.0,23283354801.0,10771947151.0,5039504460.0,-11719975876.0,4393250394.0,10313426500.0
087010,2023,3341893572.0,2201313822.0,-15883908215.0,-15921881877.0,52495975188.0,16368962307.0,36127012881.0,7965055475.0,6884783643.0,4264394274.0,-10973481431.0,9484178664.0,10313426500.0
087010,2024,3152181439.0,2044783402.0,-16527819080.0,-22033671493.0,168892733798.0,17184168838.0,151708564960.0,126479180456.0,5097415494.0,1045201794.0,-12766431259.0,12086753344.0,11648675000.0
087010,2025,5634817675.0,4103299230.0,-21257383888.0,-13823782612.0,178979600822.0,36970942097.0,142008658725.0,115324356432.0,7011543301.0,4377757821.0,-20586335436.0,29959398796.0,11658675000.0
298380,2019,3988956392.0,,-40428862535.0,-37004630514.0,142902744782.0,10894548752.0,132008196030.0,134656977339.0,9327464729.0,91146337192.0,-23855091104.0,1567084023.0,22651675000.0
298380,2020,8104203457.0,,-59647069177.0,-55605916023.0,99894442393.0,9229815959.0,90664626434.0,71919847386.0,7968536014.0,40658308607.0,-47294848554.0,1261279945.0,23123112500.0
298380,2021,5332068943.0,,-52305340534.0,-43557942985.0,65452755704.0,9499816726.0,55952938978.0,45472487898.0,8750452060.0,21588582226.0,-40605186980.0,749364666.0,23561637500.0
298380,2022,67300799414.0,,907999453.0,3208631006.0,185180595640.0,115667312852.0,69513282788.0,80534636534.0,72172317167.0,25135624884.0,72131523498.0,43494995685.0,23894107000.0
298380,2023,65547054627.0,,-2617101131.0,-2646663290.0,160144371976.0,86065261491.0,74079110485.0,75538557727.0,41759889908.0,28064217234.0,-28361974590.0,44305371583.0,23946269500.0
