출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총
2026-07-14,950160,코오롱티슈진,A,A,실행,-24.8,72900.0,-19.0,주60주,-2.7,트레일,2,,6508714256000
2026-07-14,298040,효성중공업,B,A,실행,-24.8,2677000.0,-8.4,월10,-5.5,손절,3,,24859244968000
2026-07-14,347850,디앤디파마텍,A,B,실행,-24.8,71600.0,-15.1,일240,8.9,목표,1,,3529495893000
2026-07-13,012750,에스원,A,C,실행,-25.3,71700.0,-12.6,주60주,-0.7,진행중,13,,2724541062600
2026-07-13,007390,네이처셀,A,B,실행,-25.3,23400.0,-17.2,주60주,10.4,목표,1,,1507780310400
2026-07-09,062040,산일전기,B,A,실행,-20.0,179600.0,-7.1,월10,-6.0,손절,2,,7301880225000
2026-07-09,000150,두산,B,C,실행,-20.0,1203000.0,-8.9,월10,2.1,트레일,2,,24080232645000
2026-07-09,005380,현대차,B,A,실행,-20.0,445500.0,-7.1,월10,-3.5,손절,3,,101355094170000
2026-07-09,950160,코오롱티슈진,B,A,실행,-20.0,87300.0,-7.5,월10,-3.2,손절,1,,7945902900000
2026-07-09,307950,현대오토에버,B,C,실행,-20.0,433000.0,-10.1,월10,-4.7,트레일,3,,14534710460000
2026-07-09,047810,한국항공우주,B,A,실행,-20.0,150000.0,-6.4,월10,-6.7,손절,3,,14270355664800
2026-07-09,240810,원익IPS,B,C,실행,-20.0,104900.0,-6.9,월10,13.5,트레일,3,,8251003758100
2026-07-09,298040,효성중공업,B,C,실행,-20.0,2770000.0,-4.5,월10,-8.3,트레일,3,,32057796024000
2026-07-08,103590,일진전기,A,C,실행,-20.5,62800.0,-12.4,주60주,7.1,목표,2,,3638395257000
2026-07-08,006910,보성파워텍,A,C,실행,-20.5,6250.0,-14.1,주60주,8.2,목표,1,,358156416960
2026-07-08,042700,한미반도체,A,C,실행,-20.5,199200.0,-12.1,일240,6.9,목표,1,,24447579300000
2026-07-08,240810,원익IPS,B,C,실행,-20.5,102700.0,-17.5,월10,16.0,트레일,4,,8251003758100
2026-07-08,000720,현대건설,A,B,실행,-20.5,100700.0,-12.4,일240,7.1,목표,2,,12716828363000
2026-07-08,108490,로보티즈,A,C,실행,-20.5,194400.0,-13.8,주60주,8.0,목표,1,,3811867280000
2026-07-08,218410,RFHIC,A,C,실행,-20.5,49400.0,-14.7,일240,-5.4,손절,1,,1678177534400
2026-07-08,062040,산일전기,B,B,실행,-20.5,178200.0,-13.9,월10,-5.2,손절,3,,7301880225000
2026-07-08,229640,LS에코에너지,A,B,실행,-20.5,43600.0,-14.0,주60주,8.1,목표,3,,1607806147500
2026-07-08,166090,하나머티리얼즈,A,B,실행,-20.5,48100.0,-12.7,주60주,7.3,목표,1,,1249948996800
2026-07-08,403870,HPSP,A,B,실행,-20.5,38250.0,-14.0,일240,8.2,목표,1,,4444200000000
2026-07-08,195870,해성디에스,A,B,실행,-20.5,49200.0,-15.6,주60주,9.2,목표,1,,1198500000000
2026-07-08,043260,성호전자,A,B,실행,-20.5,18690.0,-12.0,일240,6.8,목표,1,,2102861701950
2026-07-08,098460,고영,A,B,실행,-20.5,25000.0,-12.1,일240,6.9,목표,2,,2179124605350
2026-07-08,032820,우리기술,A,C,실행,-20.5,9810.0,-15.8,일240,9.4,목표,1,,2093583269200
2026-07-08,336260,두산퓨얼셀,A,C,실행,-20.5,42650.0,-18.5,일240,11.3,목표,2,,3667648656000
2026-07-08,001720,신영증권,A,B,실행,-20.5,154000.0,-13.3,주60주,-6.0,손절,7,,2659992000000
2026-07-08,005380,현대차,B,C,실행,-20.5,462500.0,-7.9,월10,-7.1,손절,4,,101355094170000
2026-07-08,033640,네패스,A,C,실행,-20.5,18730.0,-12.1,주60주,6.9,목표,1,,592621491400
