code,종목명,시장,구분,등락률_20260731,종가_20260731,거래량_20260731,거래대금_20260731,PER_20260731,PBR_20260731,EPS_20260731,BPS_20260731,배당%_20260731,시총_20260731,종가_20260730,거래량_20260730,거래대금_20260730,PER_20260730,PBR_20260730,EPS_20260730,BPS_20260730,배당%_20260730,시총_20260730,고점52주比,고점5년比,MA60比,거래대금배수,신규상장
446540,메가터치,KOSDAQ,+20%↑,24.48,6610,310955,1966514695,0.0,2.62,0.0,2519.0,0.0,192212923710,5310,163662,884603585,0.0,2.11,0.0,2519.0,0.0,154410079410,-0.4267515923566879,-0.4267515923566879,-0.1015188609731168,1.159132428591837,
491000,리브스메드,KOSDAQ,+20%↑,24.42,37450,235551,8230291500,0.0,5.11,0.0,7328.0,0.0,945809898950,30100,210154,6497030525,0.0,4.11,0.0,7328.0,0.0,760183657100,-0.6074035453597497,-0.6074035453597497,-0.21924412877806,1.4748544030904571,
064290,인텍플러스,KOSDAQ,+20%↑,24.32,27600,428294,11686295675,0.0,7.33,0.0,3765.0,0.0,357629152800,22200,363180,8062094375,0.0,5.9,0.0,3765.0,0.0,285882231600,-0.4362292051756007,-0.4362292051756007,-0.19551599076821624,0.6645061729927176,
168360,펨트론,KOSDAQ,+20%↑,24.3,11460,239659,2632125150,0.0,9.42,0.0,1216.0,0.44,256618703220,9220,214531,1984531370,0.0,7.58,0.0,1216.0,0.54,206459375540,-0.6239193083573487,-0.6239193083573487,-0.3569527939292402,1.376879204151358,
080580,오킨스전자,KOSDAQ,+20%↑,24.16,10690,256708,2627593165,25.21,4.27,424.0,2506.0,0.0,225462308950,8610,204443,1784856485,20.31,3.44,424.0,2506.0,0.0,181593122550,-0.5760000000000001,-0.6074074074074074,-0.34914875802400225,0.9797789558298884,
004710,한솔테크닉스,KOSPI,+20%↑,23.94,6990,1807224,12024469050,0.0,0.77,0.0,9050.0,1.43,284533660830,5640,653141,3669684550,0.0,0.62,0.0,9050.0,1.77,229580807880,-0.5514303104077907,-0.5514303104077907,-0.3272079128382789,1.2159749052519613,
001820,삼화콘덴서,KOSPI,+20%↑,23.88,71600,837885,59545443300,58.64,2.68,1221.0,26701.0,0.7,744282000000,57800,487678,29046758600,47.34,2.16,1221.0,26701.0,0.87,600831000000,-0.5899390243902439,-0.5899390243902439,-0.23889465245685182,0.750242411005786,
131970,두산테스나,KOSDAQ,+20%↑,23.75,64100,518039,32241611350,821.79,2.82,78.0,22719.0,0.25,1238875955800,51800,358260,18919059350,664.1,2.28,78.0,22719.0,0.31,1001150928400,-0.6119857795835449,-0.6119857795835449,-0.4186356199824982,1.229752841756472,
200470,에이팩트,KOSDAQ,+20%↑,23.71,4800,1065044,4964894743,39.02,2.9,123.0,1657.0,0.0,203338046400,3880,839679,3388244874,31.54,2.34,123.0,1657.0,0.0,164364920840,-0.6595419847328244,-0.6595419847328244,-0.4590168905600873,1.1963748336909372,
272110,케이엔제이,KOSDAQ,+20%↑,23.69,24800,113597,2680358575,7.58,2.0,3271.0,12376.0,0.0,199029796000,20050,115712,2361981550,6.13,1.62,3271.0,12376.0,0.0,160909169750,-0.41143497757847536,-0.41143497757847536,-0.201682801966648,1.2005396644460158,
