code,entry_date,horizon_days
083650,2023-12-01,60
083650,2024-01-02,60
083650,2024-02-01,60
083650,2024-03-04,60
083650,2024-04-01,60
083650,2024-05-02,60
083650,2024-06-03,60
083650,2024-07-01,60
083650,2024-08-01,60
083650,2024-09-02,60
083650,2024-10-02,60
083650,2024-11-01,60
083650,2024-12-02,60
083650,2025-01-02,60
083650,2025-02-03,60
083650,2025-03-04,60
083650,2025-04-01,60
083650,2025-05-02,60
083650,2025-06-02,60
083650,2025-07-01,60
083650,2025-08-01,60
083650,2025-09-01,60
083650,2025-10-01,60
083650,2025-11-03,60
083650,2025-12-01,60
083650,2026-01-02,60
083650,2026-02-02,60
083650,2026-03-03,60
083650,2026-04-01,60
083650,2026-05-04,60
083650,2026-06-01,60
257720,2021-09-29,60
257720,2021-10-01,60
257720,2021-11-01,60
257720,2021-12-01,60
257720,2022-01-03,60
257720,2022-02-03,60
257720,2022-03-02,60
257720,2022-04-01,60
257720,2022-05-02,60
257720,2022-06-02,60
257720,2022-07-01,60
257720,2022-08-01,60
257720,2022-09-01,60
257720,2022-10-04,60
257720,2022-11-01,60
257720,2022-12-01,60
257720,2023-01-02,60
257720,2023-02-01,60
257720,2023-03-02,60
257720,2023-04-03,60
257720,2023-05-02,60
257720,2023-06-01,60
257720,2023-07-03,60
257720,2023-08-01,60
257720,2023-09-01,60
257720,2023-10-04,60
257720,2023-11-01,60
257720,2023-12-01,60
257720,2024-01-02,60
257720,2024-02-01,60
257720,2024-03-04,60
257720,2024-04-01,60
257720,2024-05-02,60
257720,2024-06-03,60
257720,2024-07-01,60
257720,2024-08-01,60
257720,2024-09-02,60
257720,2024-10-02,60
257720,2024-11-01,60
257720,2024-12-02,60
257720,2025-01-02,60
257720,2025-02-03,60
257720,2025-03-04,60
257720,2025-04-01,60
257720,2025-05-02,60
257720,2025-06-02,60
257720,2025-07-01,60
257720,2025-08-01,60
257720,2025-09-01,60
257720,2025-10-01,60
257720,2025-11-03,60
257720,2025-12-01,60
257720,2026-01-02,60
257720,2026-02-02,60
257720,2026-03-03,60
257720,2026-04-01,60
257720,2026-05-04,60
257720,2026-06-01,60
