code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
028260,2025,40742240967149.0,33054653924495.0,3292747495925.0,3906652564846.0,86532745699428.0,29035796293982.0,57496949405446.0,21356404512532.0,13871980126883.0,3458217651048.0,3023741373868.0,15163816167099.0,18517037100.0
329180,2020,8312009823000.0,7837882674000.0,32509061000.0,-431445898000.0,13799657849000.0,8438873228000.0,5360784621000.0,6999361510000.0,5976923117000.0,1314823009000.0,-199999817000.0,2461950111000.0,353865580000.0
329180,2021,8311275924000.0,8520484596000.0,-800262777000.0,-814227962000.0,15078671491000.0,9484646542000.0,5594024949000.0,7886064934000.0,7048607453000.0,2137391421000.0,762061398000.0,2436039089000.0,443865580000.0
329180,2022,9045480488000.0,8882619441000.0,-289151153000.0,-352064622000.0,16289398053000.0,11001578566000.0,5287819487000.0,8000865934000.0,9072004186000.0,744148120000.0,71218400000.0,1929574380000.0,443865580000.0
329180,2023,11963925991000.0,11309062476000.0,178639965000.0,24689214000.0,17133618109000.0,11926177799000.0,5207440310000.0,8799684121000.0,9945027489000.0,928043107000.0,168837181000.0,1981150310000.0,443865580000.0
329180,2024,14486453544000.0,12992522670000.0,705223483000.0,621509420000.0,19390946750000.0,13686498249000.0,5704448501000.0,10403121877000.0,11796215796000.0,1257867151000.0,2883882708000.0,1890282453000.0,443865580000.0
329180,2025,17580633257000.0,14616416939000.0,2037510103000.0,1415484565000.0,26163044535000.0,16821424437000.0,9341620098000.0,14980009479000.0,15332586082000.0,1869917695000.0,3510392442000.0,1488838355000.0,524806125000.0
012330,2019,38048768000000.0,32819599000000.0,2359257000000.0,2294311000000.0,46606064000000.0,14196442000000.0,32409622000000.0,21504648000000.0,8962268000000.0,3341977000000.0,2644058000000.0,5234174000000.0,491096000000.0
012330,2020,36626504000000.0,31922266000000.0,1830292000000.0,1526850000000.0,48497676000000.0,15169553000000.0,33328123000000.0,22902943000000.0,10082189000000.0,4202436000000.0,2476737000000.0,5087364000000.0,491096000000.0
012330,2021,41702184000000.0,36437646000000.0,2040112000000.0,2362474000000.0,51482537000000.0,16125063000000.0,35357474000000.0,23552362000000.0,10076987000000.0,4155989000000.0,2608809000000.0,6048076000000.0,491096000000.0
012330,2022,51906293000000.0,45919139000000.0,2026531000000.0,2487244000000.0,55406698000000.0,17599066000000.0,37807632000000.0,25659721000000.0,11476170000000.0,4088248000000.0,2154062000000.0,6122896000000.0,491096000000.0
012330,2023,59254361000000.0,52492187000000.0,2295284000000.0,3423309000000.0,58585845000000.0,17930546000000.0,40655299000000.0,25565154000000.0,12052826000000.0,5079414000000.0,5342631000000.0,5877720000000.0,491096000000.0
012330,2024,57236995000000.0,49174367000000.0,3073456000000.0,4060161000000.0,66596905000000.0,20478673000000.0,46118232000000.0,28424073000000.0,12745182000000.0,4788492000000.0,4252694000000.0,7733491000000.0,491096000000.0
012330,2025,61118127000000.0,52288206000000.0,3357456000000.0,3664736000000.0,70400532000000.0,21187737000000.0,49212795000000.0,30366398000000.0,13057963000000.0,4922378000000.0,4472515000000.0,8129774000000.0,491096000000.0
000270,2019,58145959000000.0,48766570000000.0,2009680000000.0,1826659000000.0,55344798000000.0,26366660000000.0,28978138000000.0,21555416000000.0,17276646000000.0,4268716000000.0,3610658000000.0,9090014000000.0,
000270,2020,59168096000000.0,49222564000000.0,2066457000000.0,1487585000000.0,60490443000000.0,30598771000000.0,29891672000000.0,26093382000000.0,21097589000000.0,10160697000000.0,5423896000000.0,9501182000000.0,
000270,2021,69862366000000.0,56937165000000.0,5065685000000.0,4760311000000.0,66849997000000.0,31937441000000.0,34912556000000.0,29205483000000.0,21562636000000.0,11533710000000.0,7359670000000.0,10374805000000.0,
000270,2022,86559029000000.0,68536010000000.0,7233120000000.0,5408976000000.0,73710965000000.0,34367884000000.0,39343081000000.0,34147147000000.0,25377803000000.0,11553972000000.0,9333186000000.0,8990081000000.0,
000270,2023,99808420000000.0,77179573000000.0,11607873000000.0,8777817000000.0,80627826000000.0,34069591000000.0,46558235000000.0,37466302000000.0,25674105000000.0,14353142000000.0,11296526000000.0,8395486000000.0,2139317000000.0
000270,2024,107448752000000.0,82677981000000.0,12667139000000.0,9775005000000.0,92755874000000.0,36915565000000.0,55840309000000.0,41797457000000.0,26977376000000.0,13566568000000.0,12564368000000.0,9938189000000.0,2139317000000.0
000270,2025,114140919000000.0,91632842000000.0,9078148000000.0,7554174000000.0,98979055000000.0,37788591000000.0,61190464000000.0,44425929000000.0,28378332000000.0,13998106000000.0,9054140000000.0,9410259000000.0,2139317000000.0
034020,2019,15570428849347.0,13052822098136.0,918350222787.0,-223649869387.0,24774211975046.0,18788110053955.0,5986101921091.0,9312488787816.0,13873692190568.0,1441280687215.0,433679709050.0,4914417863387.0,1075255425000.0
034020,2020,15243824665369.0,12933407472387.0,409236133151.0,-622554709114.0,25567174291104.0,18460677610119.0,7106496680985.0,9946795870391.0,13070548146216.0,2336795020568.0,295223700800.0,5390129463903.0,1937707325000.0
034020,2021,11283610608993.0,9418698484565.0,877882794101.0,645821146630.0,23720545628641.0,14912949983920.0,8807595644721.0,8417624107978.0,10125765540983.0,1908603989132.0,1027716202327.0,4787184442937.0,2675624980000.0
034020,2022,15421058082388.0,12865180742482.0,1106120868237.0,-453149865549.0,23049781799921.0,12969491516052.0,10080290283869.0,8098893728490.0,8059455534052.0,1395837596356.0,625077721382.0,4910035982000.0,3256061215000.0
034020,2023,17589887709510.0,14572886225647.0,1467318338124.0,517521903042.0,24640833945624.0,13799325009099.0,10841508936525.0,9641568243182.0,9596749583047.0,2620186984799.0,2070633291076.0,4202575426052.0,3267326780000.0
034020,2024,16233055000000.0,13503336000000.0,1017600000000.0,394689000000.0,26314835000000.0,14653743000000.0,11661092000000.0,10049022000000.0,8945820000000.0,2898298000000.0,242204000000.0,5707923000000.0,3267327000000.0
034020,2025,17057876000000.0,14314566000000.0,762712000000.0,205163000000.0,27513223000000.0,15503853000000.0,12009370000000.0,10771711000000.0,10107067000000.0,3080997000000.0,751801000000.0,5396786000000.0,3267327000000.0
066570,2019,62306175000000.0,46970606000000.0,2436139000000.0,179948000000.0,44859875000000.0,28434737000000.0,16425138000000.0,19753485000000.0,17657916000000.0,4777368000000.0,3689164000000.0,10776821000000.0,904169000000.0
066570,2020,63262046000000.0,46945103000000.0,3194987000000.0,2063790000000.0,48204227000000.0,30662102000000.0,17542125000000.0,23239420000000.0,20207492000000.0,5896309000000.0,4628576000000.0,10454610000000.0,904169000000.0
066570,2021,74721629000000.0,55848752000000.0,3863774000000.0,1414972000000.0,53481478000000.0,33383445000000.0,20098033000000.0,27487763000000.0,23619899000000.0,6051516000000.0,2677382000000.0,9763546000000.0,904169000000.0
066570,2022,83467318000000.0,63231088000000.0,3550972000000.0,1863123000000.0,55156141000000.0,32664144000000.0,22491997000000.0,27488228000000.0,22332549000000.0,6322360000000.0,3107839000000.0,10331595000000.0,904169000000.0
