rank,code,name,sector,src,score,pbr,pbr_rank,vol60,vol_rank,close,mcap,adv20,atr14,stop,stop_pct,qty,n_univ,is_jinwoo6
91,061090,세나테크놀로지,통신 및 방송 장비 제조업,섹터,0.735576923076923,0.99,55,0.06642789969007902,229,41400.0,238931935000,1657543490.0,3728.5714285714284,33120,20.0,12,442,False
92,180640,한진칼,기타 금융업,특성,0.7319004524886878,2.38,164,0.043548588599469425,34,117900.0,7938034973100,13895565400.0,6607.142857142857,101382,14.0,6,442,False
93,336370,솔루스첨단소재,전자부품 제조업,섹터,0.7299773755656108,1.17,76,0.0636527618597667,198,7030.0,519608345600,866024885.5,400.7142857142857,6028,14.3,99,442,False
94,091580,상신이디피,일차전지 및 이차전지 제조업,섹터,0.7140271493212669,1.34,96,0.06269018964135126,181,17050.0,211118988960,3215742942.0,1575.7142857142858,13640,20.0,29,442,False
95,352820,하이브,오디오물 출판 및 원판 녹음업,특성,0.7108031674208145,2.51,173,0.044743349678941884,43,167900.0,7974764660000,54269153070.0,7292.857142857143,149668,10.9,5,442,False
96,052400,코나아이,소프트웨어 개발 및 공급업,특성,0.7096719457013574,2.54,177,0.043996979257692775,37,39400.0,602920247400,2423167880.0,2289.285714285714,33677,14.5,17,442,False
97,172670,에이엘티,반도체 제조업,섹터,0.7078619909502262,0.99,55,0.07026489028460248,264,10280.0,90319410720,796759878.0,1112.142857142857,8224,20.0,48,442,False
98,241770,메카로,반도체 제조업,섹터+특성,0.7069004524886878,2.16,145,0.052047223311468174,99,37300.0,366935040000,753903930.0,2325.0,31488,15.6,17,442,False
99,131760,파인텍,특수 목적용 기계 제조업,섹터,0.7067873303167421,0.6,26,0.07736833099650815,322,1723.0,15409524584,794799353.05,123.28571428571429,1415,17.9,324,442,False
100,006400,삼성SDI,일차전지 및 이차전지 제조업,섹터,0.7037895927601809,1.79,125,0.05759585600674814,141,478000.0,36988758270000,189730395975.0,28785.714285714286,406036,15.1,1,442,False
101,228760,지노믹트리,자연과학 및 공학 연구개발업,특성,0.7034502262443438,2.31,157,0.050266683838576735,82,12080.0,315711865400,1243113209.5,987.8571428571429,9664,20.0,41,442,False
102,289930,웨이비스,반도체 제조업,섹터,0.7029411764705883,2.09,139,0.05457312544848009,117,6370.0,91780089800,558332689.5,443.57142857142856,5261,17.4,90,442,False
103,105840,우진,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",섹터,0.7028846153846153,1.63,117,0.05944968333408856,157,11910.0,294885982000,2349543322.0,922.1428571428571,9605,19.4,43,442,False
104,209640,와이제이링크,특수 목적용 기계 제조업,섹터,0.7020927601809954,1.63,117,0.05965621697210505,158,3200.0,95284539100,596462161.75,240.35714285714286,2599,18.8,166,442,False
105,093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",특성,0.6983031674208144,2.52,175,0.04645842124538352,56,147300.0,651968000000,2225253505.0,10500.0,121050,17.8,3,442,False
106,131390,131390,-,특성,0.6960407239819004,2.53,176,0.04669856964100786,57,20750.0,311197110000,1806254312.5,0.0,20750,0.0,100000,442,False
107,432470,케이엔에스,특수 목적용 기계 제조업,섹터,0.6953054298642534,1.24,85,0.06628381953055157,226,9320.0,71225034720,1663326534.5,828.5714285714286,7456,20.0,53,442,False
108,381620,제닉스로보틱스,특수 목적용 기계 제조업,섹터,0.6891402714932127,1.73,122,0.060727122030979144,166,6060.0,79363416000,1141071956.0,522.8571428571429,4848,20.0,82,442,False
109,036620,감성코퍼레이션,기타 전문 도매업,특성,0.6889140271493213,2.74,190,0.044606759193827124,40,3815.0,403035303840,1706056419.5,264.64285714285717,3153,17.4,151,442,False
110,140670,알에스오토메이션,전자부품 제조업,섹터,0.6873303167420814,2.34,161,0.05121641271705189,94,9680.0,129040392000,622301036.0,597.1428571428571,8187,15.4,66,442,False
111,377300,카카오페이,금융 지원 서비스업,특성,0.6871606334841629,2.92,202,0.04066021515648821,19,42500.0,5681345250000,14346585017.5,2683.9285714285716,35790,15.8,14,442,False
112,061970,LB세미콘,반도체 제조업,섹터,0.6868778280542986,1.03,60,0.07201498585521354,284,4860.0,227394968490,4441050469.25,638.2142857142857,3888,20.0,102,442,False
113,372170,윤성에프앤씨,특수 목적용 기계 제조업,섹터,0.6839366515837104,0.82,40,0.07762045978268092,323,19250.0,146654902240,894273701.5,2078.5714285714284,15400,20.0,25,442,False
114,208710,포톤,전자부품 제조업,섹터,0.6839366515837104,0.55,19,0.0822355658893178,362,2865.0,35784058380,1272395449.6,292.85714285714283,2292,20.0,174,442,False
115,484120,도우인시스,전자부품 제조업,섹터,0.6833144796380091,0.99,55,0.07384519818406333,295,19410.0,187700638860,680957054.5,1710.0,15528,20.0,25,442,False
116,149950,아바텍,전자부품 제조업,섹터,0.6815610859728507,1.04,61,0.07235905323138478,287,8510.0,112485195690,840451969.0,710.7142857142857,6808,20.0,58,442,False
117,215600,신라젠,자연과학 및 공학 연구개발업,특성,0.6806561085972851,2.89,201,0.042909660885267646,30,2215.0,311745519000,2878554299.0,194.64285714285714,1772,20.0,225,442,False
118,161890,한국콜마,기타 화학제품 제조업,특성,0.6777149321266969,2.58,182,0.04860211059570018,69,136700.0,2518661715900,55813246820.0,9257.142857142857,113557,16.9,4,442,False
