theme,code,name,ret_1m,ret_3m,ret_6m,ret_12m,rev_yoy,op_margin,roe,fy,mcap
서비스/기타사업,021240,코웨이,0.0033333333333334103,0.25069252077562343,0.03912543153049497,-0.06714876033057837,0.15160160032192338,0.17702026253702915,0.17087898153984785,2025.0,6694598499600.0
서비스/기타사업,131970,두산테스나,-0.26064844246662433,0.14807502467917066,1.1860902255639094,3.4389312977099227,-0.18558169531011282,-0.003096104889133154,0.003454869797055333,2025.0,
서비스/기타사업,119830,아이텍,-0.16020671834625322,0.12068965517241392,0.16696588868940765,0.07438016528925662,,,,,
서비스/기타사업,339950,아이비김영,-0.023809523809523836,0.06956521739130417,0.2641315519013361,0.22693266832917658,,,,,
조선,329180,HD현대중공업,-0.14942528735632188,0.2731182795698923,0.16306483300589392,0.38156359393232253,0.2135912494802117,0.11589514855437497,0.15152452681125933,2025.0,70638904425000.0
조선,092460,한라IMS,-0.2622871046228711,0.05865921787709483,-0.10823529411764721,0.7246871444823666,,,,,
조선,054180,메디콕스,0.0,0.0,0.0,0.03378378378378377,,,,,
조선,060240,스타코링크,0.0,0.0,0.0,0.0,,,,,
조선,010140,삼성중공업,-0.1663685152057245,-0.047034764826175746,-0.03319502074688807,0.39021479713603835,0.07542430640537945,0.08095868671764418,0.1308299170969634,2025.0,24376000000000.0
조선,064820,케이프,-0.1952770208900999,-0.09683995922528021,-0.10954773869346723,0.4018987341772149,0.12249964691081305,0.08617782030595443,0.20756177216684676,2025.0,
