전략,유니버스,팩터,N,ROE게이트,방어,트레일,IN_CAGR,IN_Sharpe,IN_MDD,OOS_CAGR,OOS_Sharpe,OOS_MDD,IN_순위,OOS_순위,순위변동
대형|복합z|N20|ROE>0,대형,복합z,20,True,False,False,20.158774053278506,0.8606709125158089,-36.326191055814114,17.05704020066383,0.8545739838914886,-41.75459817751614,253.0,55.0,198.0
대형|복합z|N20|ROE>0|트레일,대형,복합z,20,True,False,True,19.82199985119337,0.8602200940736615,-36.24953232422145,17.03964901055968,0.8590018195134992,-41.240352114110564,254.0,52.0,202.0
대형|B/P|N10|ROE>0|트레일,대형,B/P,10,True,False,True,21.425274572274454,0.8602135038518587,-33.57521581596242,12.355864221593006,0.6303764014516612,-56.43730127214474,255.0,156.0,99.0
소중형|저변동성|N30|방어|트레일,소중형,저변동성,30,False,True,True,12.036841305464275,0.8585732001788886,-32.7547861649896,-2.54347210697925,0.023517240643993784,-66.16614916200811,256.0,497.0,-241.0
대형|복합z|N10|ROE>0|방어|트레일,대형,복합z,10,True,True,True,16.367738056731085,0.85712175836101,-34.5926392240416,14.822020047075046,0.8597328642801664,-36.56527335109529,257.0,51.0,206.0
전체|복합z|N10|ROE>0|트레일,전체,복합z,10,True,False,True,23.699707297492644,0.8547442633235376,-37.6144730401162,-3.615488446924431,-0.03626799484501545,-61.1213049864967,258.0,514.0,-256.0
대형|B/P|N20|ROE>0|트레일,대형,B/P,20,True,False,True,19.59977535323061,0.8541689838005445,-28.90763471755943,15.280976963532167,0.7673630860507187,-47.94132731951404,259.0,100.0,159.0
소중형|E/P|N20|방어,소중형,E/P,20,False,True,False,21.28136233681248,0.8500005403574198,-41.8785574093817,3.812373617802489,0.29447715732234886,-35.8780122182395,260.0,338.5,-78.5
전체|E/P|N20|트레일,전체,E/P,20,False,False,True,24.548348308392633,0.8491042155463571,-55.804580296632835,1.882153420915622,0.1971761730989177,-45.8819036442311,261.0,405.5,-144.5
전체|B/P|N10|ROE>0|방어|트레일,전체,B/P,10,True,True,True,21.818167189800477,0.846857766759765,-51.765967457525996,11.775069512455483,0.5766145031093153,-34.32132333333787,262.0,188.0,74.0
전체|복합z|N10|ROE>0,전체,복합z,10,True,False,False,24.077258779021605,0.8461482485658222,-36.10187460588834,4.4424029450834235,0.26619248743768587,-54.97161838174167,263.0,365.0,-102.0
대형|E/P|N30|트레일,대형,E/P,30,False,False,True,20.164801783160378,0.845363607605359,-58.623115856545404,12.228331100190392,0.6758969523893645,-47.043467271238704,264.0,129.5,134.5
대형|E/P|N20|ROE>0|방어,대형,E/P,20,True,True,False,17.07494219250545,0.8434043677747489,-37.927517040033756,13.399235602292215,0.8131782530934629,-35.59601057442578,265.0,82.5,182.5
소중형|복합z|N5|방어,소중형,복합z,5,False,True,False,27.17469873625491,0.8432852204763382,-46.738149603209834,2.164495881017925,0.20508796837533735,-46.59664001216033,266.0,402.0,-136.0
소중형|B/P|N30,소중형,B/P,30,False,False,False,22.117043911494093,0.8425395883709001,-47.49112143004084,10.686111875648741,0.5488736174825153,-37.879025855600204,267.0,200.0,67.0
대형|E/P|N30,대형,E/P,30,False,False,False,20.411881422389566,0.8415064571189667,-57.74373926854957,13.773582278747721,0.7353981710284464,-45.57606277554228,268.0,112.5,155.5
대형|E/P|N10|ROE>0|트레일,대형,E/P,10,True,False,True,21.42741774896375,0.8376849000194189,-37.418149710305535,10.479586229661697,0.538385776147165,-49.00760372698257,269.0,205.5,63.5
대형|배당|N20|트레일,대형,배당,20,False,False,True,17.226716456232772,0.8368702468222304,-49.97525258061635,16.676487347668,0.9276497990544459,-34.85042051629891,270.0,30.0,240.0
전체|E/P|N20,전체,E/P,20,False,False,False,24.342910642572924,0.8345713752772772,-60.48507513276655,7.488413971004126,0.38544011606907747,-42.18141206550076,271.0,286.5,-15.5
소중형|E/P|N20|ROE>0|방어|트레일,소중형,E/P,20,True,True,True,20.51577637485986,0.8345692995159256,-29.326382951945096,1.5585097083940402,0.1744143170395123,-44.039063886349126,272.0,424.5,-152.5
소중형|E/P|N10|ROE>0,소중형,E/P,10,True,False,False,30.21924494955801,0.8342170189945762,-47.98022240296341,3.7536853548788773,0.2690890415580109,-52.78933870115387,273.0,363.5,-90.5
