code,market,months,first,last,cagr,y2_n,y2_win,y2_med,y2_worst,y3_n,y3_win,y3_med,y3_worst,y5_n,y5_win,y5_med,y5_worst,y7_n,y7_win,y7_med,y7_worst,name,sector,mcap
048260,KOSDAQ,199,2007-02-28,2023-08-31,0.1215801173112887,175,0.64,0.27999999999999736,-0.7801925722145797,163,0.6625766871165644,0.7445573294629932,-0.8021653543307077,139,0.8057553956834532,1.0994263862332825,-0.7511111111111103,115,0.9304347826086956,2.3272311212814887,-0.4888888888888876,,,2928378240000
048270,KOSDAQ,76,2003-01-31,2009-04-30,-0.37049844487952377,52,0.6923076923076923,0.870223577235776,-0.9800380228136882,40,0.775,1.4327789573012486,-0.9730769230769231,16,0.4375,-0.3776859737183459,-0.8999999999999999,0,,,,,,3224962860
048410,KOSDAQ,289,2002-08-31,2026-08-31,-0.07078240298822325,265,0.46037735849056605,-0.10159429961867072,-0.9614019127077463,253,0.43873517786561267,-0.21891891891891724,-0.9839053568135718,229,0.5021834061135371,0.025668528864058793,-0.9774674995390006,205,0.5121951219512195,0.1168654688207762,-0.992229967225706,현대바이오,기타 화학제품 제조업,655272833880
048430,KOSDAQ,308,2001-01-31,2026-08-31,0.039645025290561575,284,0.6197183098591549,0.1769329217797153,-0.8136094674556216,272,0.6948529411764706,0.37929569686928777,-0.7957110609480816,248,0.7701612903225806,0.5659229079878506,-0.6213926087407893,224,0.8080357142857143,0.9365903417948327,-0.5680738304093604,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",66700800000
048460,KOSDAQ,144,2000-12-31,2012-11-30,-0.30974708932626516,120,0.13333333333333333,-0.6030961545489396,-0.9310275689223059,108,0.037037037037037035,-0.7027374957404116,-0.9647067876165968,84,0.0,-0.904887567448909,-0.9828492164494864,60,0.0,-0.9700861607282714,-0.9895178620463625,,,25147377152
048470,KOSDAQ,296,2002-01-31,2026-08-31,0.017074696178183135,272,0.5477941176470589,0.05490602683493784,-0.6229508196721303,260,0.5961538461538461,0.13363130845058846,-0.5176678445229673,236,0.7457627118644068,0.3495727576805244,-0.7230769230769218,212,0.7735849056603774,0.5237669423814213,-0.7470588235294104,대동스틸,기타 전문 도매업,25234750000
048510,KOSDAQ,114,2001-06-30,2010-11-30,-0.4898737358609654,90,0.2,-0.4180530354371168,-0.9760061919504643,78,0.16666666666666666,-0.5250678294573647,-0.9960209802857659,54,0.018518518518518517,-0.8416287957033677,-0.9962160302717579,30,0.0,-0.9662613644763103,-0.9950727883538634,,,2465285090
048530,KOSDAQ,188,2011-01-31,2026-08-31,0.02584205223855829,164,0.4695121951219512,-0.10506530016807142,-0.6610527924989802,152,0.5,-0.0013276908101799711,-0.7842890273060301,128,0.4765625,-0.02683235512379689,-0.8584328558722156,104,0.49038461538461536,-0.08424152540682445,-0.785668375722751,인트론바이오,기초 의약물질 제조업,80781947170
048550,KOSDAQ,308,2001-01-31,2026-08-31,-0.035657261496333414,284,0.41901408450704225,-0.11989234256111353,-0.8611111111111113,272,0.41911764705882354,-0.19404502690933068,-0.9,248,0.4879032258064516,-0.019559322033898374,-0.8404411764705884,224,0.49107142857142855,-0.007792036142550085,-0.8112449799196793,SM C&C,광고업,166252431780
048640,KOSDAQ,124,2001-01-31,2011-04-30,-0.5184666978197354,100,0.25,-0.6470616122822306,-0.9850725162865096,88,0.375,-0.7557329375602424,-0.9989832110946513,64,0.46875,-0.29862469704023664,-0.9996062938581983,40,0.0,-0.9247677167932723,-0.997155739143146,,,966989828
