code,fiscal_year,F,accrual,noa_ratio,market,sector,name
000990,2025,5,-0.03488111386268563,0.8721230225638745,KOSPI,반도체 제조업,DB하이텍
0009K0,2025,3,-0.06454329437811536,,KOSDAQ,자연과학 및 공학 연구개발업,에임드바이오
001040,2019,3,-0.08768237033806868,,KOSPI,기타 금융업,CJ
001040,2020,6,-0.07067606372980842,0.6438430898768315,KOSPI,기타 금융업,CJ
001040,2021,8,-0.0606880857242637,0.654992387621214,KOSPI,기타 금융업,CJ
001040,2022,6,-0.06961260047031384,0.6499382713829008,KOSPI,기타 금융업,CJ
001040,2023,7,-0.09516886823584528,0.5787697860125411,KOSPI,기타 금융업,CJ
001040,2024,7,-0.09852482225412543,0.5729027045004991,KOSPI,기타 금융업,CJ
001040,2025,5,-0.10315351985576521,0.570052507098886,KOSPI,기타 금융업,CJ
001060,2019,2,-0.14097172349288414,,KOSPI,의약품 제조업,JW중외제약
001060,2020,6,-0.14265520527719297,0.5301498396890216,KOSPI,의약품 제조업,JW중외제약
001060,2021,5,-0.03090646663122383,0.5773406276159275,KOSPI,의약품 제조업,JW중외제약
001060,2022,7,-0.04285516875960191,0.33795540943681845,KOSPI,의약품 제조업,JW중외제약
001060,2023,7,-0.07554115677310415,0.5449325808815624,KOSPI,의약품 제조업,JW중외제약
001060,2024,8,-0.023737655822404613,0.5977219402034697,KOSPI,의약품 제조업,JW중외제약
001060,2025,7,-0.05763557942377252,0.590279210018226,KOSPI,의약품 제조업,JW중외제약
001120,2019,2,-0.04918367662657116,,KOSPI,상품 중개업,LX인터내셔널
001120,2020,6,0.019796467055232733,0.44865616427898836,KOSPI,상품 중개업,LX인터내셔널
001120,2021,8,0.05406075604008054,0.45850340573620113,KOSPI,상품 중개업,LX인터내셔널
001120,2022,7,-0.05746525267886468,0.4792292050830598,KOSPI,상품 중개업,LX인터내셔널
001120,2023,5,-0.04314763500413327,0.5503304627387692,KOSPI,상품 중개업,LX인터내셔널
001120,2024,7,-0.05086371012897049,0.5397909214048744,KOSPI,상품 중개업,LX인터내셔널
001120,2025,5,-0.057476434800554234,0.5281339183829818,KOSPI,상품 중개업,LX인터내셔널
001200,2023,1,0.0037542497815540596,,KOSPI,금융 지원 서비스업,유진투자증권
001200,2024,4,0.0013009339093405566,,KOSPI,금융 지원 서비스업,유진투자증권
001200,2025,5,-0.002452293154205999,,KOSPI,금융 지원 서비스업,유진투자증권
001270,2023,1,0.16645189815562672,,KOSPI,금융 지원 서비스업,부국증권
001270,2024,5,-0.20091335462154966,,KOSPI,금융 지원 서비스업,부국증권
001270,2025,6,-0.022752847697353543,,KOSPI,금융 지원 서비스업,부국증권
001430,2019,3,-0.08504810612943028,,KOSPI,1차 철강 제조업,세아베스틸지주
001430,2020,3,-0.19241785826845792,0.6843548646018551,KOSPI,1차 철강 제조업,세아베스틸지주
001430,2021,8,0.02852683406177611,0.7774328835368787,KOSPI,1차 철강 제조업,세아베스틸지주
001430,2022,4,0.01451094748658722,0.7532386754640907,KOSPI,1차 철강 제조업,세아베스틸지주
001430,2023,7,-0.028314381325023244,0.7381644600764865,KOSPI,1차 철강 제조업,세아베스틸지주
001430,2024,5,-0.07780500431184312,0.6618677929310748,KOSPI,1차 철강 제조업,세아베스틸지주
001430,2025,7,-0.014647833268124957,0.7225036595785456,KOSPI,1차 철강 제조업,세아베스틸지주
001440,2019,2,-0.07433562940069431,,KOSPI,절연선 및 케이블 제조업,대한전선
001440,2020,9,-0.011653440613881148,0.21701152753929864,KOSPI,절연선 및 케이블 제조업,대한전선
001440,2021,5,0.0339592785512001,0.42952489232747676,KOSPI,절연선 및 케이블 제조업,대한전선
001440,2022,5,0.042237158396060785,0.6438796638777697,KOSPI,절연선 및 케이블 제조업,대한전선
001440,2023,7,0.021908208557691187,0.5597170717157393,KOSPI,절연선 및 케이블 제조업,대한전선
001440,2024,5,0.02551864956568365,0.7394531507052909,KOSPI,절연선 및 케이블 제조업,대한전선
001440,2025,3,0.07475984251854055,0.5186656080526523,KOSPI,절연선 및 케이블 제조업,대한전선
001450,2023,3,-0.034362978798117415,,KOSPI,보험업,현대해상
001450,2024,5,-0.0111939109795242,,KOSPI,보험업,현대해상
001450,2025,5,-0.04971796526692727,,KOSPI,보험업,현대해상
001500,2023,1,0.14405915891313475,,KOSPI,금융 지원 서비스업,현대차증권
001500,2024,5,-0.004832139703849134,,KOSPI,금융 지원 서비스업,현대차증권
001500,2025,2,0.01704915842831328,,KOSPI,금융 지원 서비스업,현대차증권
001510,2023,3,-0.032844802438257666,,KOSPI,금융 지원 서비스업,SK증권
001510,2024,3,-0.04918614388011913,,KOSPI,금융 지원 서비스업,SK증권
001510,2025,3,0.058743697993732726,,KOSPI,금융 지원 서비스업,SK증권
001530,2019,3,-0.032954646157322486,,KOSPI,상품 중개업,DI동일
001530,2020,4,-0.011849304736453759,0.6373624441229413,KOSPI,상품 중개업,DI동일
001530,2021,7,0.02163405434508124,0.7188662783366194,KOSPI,상품 중개업,DI동일
001530,2022,6,0.01853135781033041,0.6876305563512,KOSPI,상품 중개업,DI동일
001530,2023,4,-0.03325258132312906,0.6369537480953924,KOSPI,상품 중개업,DI동일
001530,2024,4,-0.03559529180097469,0.6453623356395607,KOSPI,상품 중개업,DI동일
001530,2025,3,-0.013576205421731925,0.5798265983399012,KOSPI,상품 중개업,DI동일
001570,2019,1,-0.04595795108142942,,KOSPI,기초 화학물질 제조업,금양
001570,2020,5,-0.015713926429514167,0.5168452956118922,KOSPI,기초 화학물질 제조업,금양
001570,2021,5,0.1687894197165427,0.6867502548239207,KOSPI,기초 화학물질 제조업,금양
001570,2022,5,-0.2846730826254384,0.49316231467311333,KOSPI,기초 화학물질 제조업,금양
001570,2023,5,-0.10702268748099833,0.8492883136750068,KOSPI,기초 화학물질 제조업,금양
001570,2024,2,-0.13186460208022122,0.7525842755940683,KOSPI,기초 화학물질 제조업,금양
001570,2025,4,-0.02114484468517694,0.45084148416465386,KOSPI,기초 화학물질 제조업,금양
001680,2019,3,-0.024363017827439597,,KOSPI,기타 식품 제조업,대상
001680,2020,6,0.00235064311405662,0.5174147395413097,KOSPI,기타 식품 제조업,대상
001680,2021,5,0.030059672030828655,0.5262003305002962,KOSPI,기타 식품 제조업,대상
001680,2022,4,0.05427683776827593,0.5692239245039231,KOSPI,기타 식품 제조업,대상
001680,2023,6,-0.09185422141304946,0.5116099105551783,KOSPI,기타 식품 제조업,대상
001680,2024,7,-0.02594289119033707,0.49891385395827254,KOSPI,기타 식품 제조업,대상
