index,expiry,quad,week_%,day_%,post_%
코스닥,2018-08-09,False,1.04,0.72,-3.49
코스닥,2018-09-13,True,1.93,0.56,0.11
코스닥,2018-10-11,False,-11.02,-5.37,3.41
코스닥,2018-11-08,False,5.51,1.66,-3.29
코스닥,2018-12-13,True,0.5,0.78,-3.24
코스닥,2019-01-10,False,4.01,0.53,1.03
코스닥,2019-02-14,False,1.85,0.32,0.78
코스닥,2019-03-14,True,2.52,0.07,-0.86
코스닥,2019-04-11,False,1.98,0.83,-0.19
코스닥,2019-05-09,False,-4.04,-2.84,-1.94
코스닥,2019-06-13,True,2.67,0.33,-1.63
코스닥,2019-07-11,False,-2.05,1.53,-0.39
코스닥,2019-08-08,False,-5.92,3.68,0.91
코스닥,2019-09-12,True,0.17,1.14,2.34
코스닥,2019-10-10,False,0.42,-0.11,1.9
코스닥,2019-11-14,False,-0.43,0.22,-0.12
코스닥,2019-12-12,True,3.13,1.24,2.14
코스닥,2020-01-09,False,-1.18,3.92,1.89
코스닥,2020-02-13,False,2.22,0.15,-0.68
코스닥,2020-03-12,True,-13.33,-5.39,-8.65
코스닥,2020-04-09,False,8.5,1.41,-0.92
코스닥,2020-05-14,False,3.35,-0.14,0.84
코스닥,2020-06-11,True,1.98,-0.21,-2.86
코스닥,2020-07-09,False,4.09,0.91,0.71
코스닥,2020-08-13,False,0.08,1.08,-4.22
코스닥,2020-09-10,True,1.16,1.71,1.71
코스닥,2020-10-08,False,4.27,0.23,-1.16
코스닥,2020-11-12,False,-0.56,0.02,-0.07
코스닥,2020-12-10,True,1.55,0.86,1.04
코스닥,2021-01-14,False,-0.87,0.12,-2.3
코스닥,2021-02-11,False,-0.66,0.67,1.6
코스닥,2021-03-11,True,-1.96,2.02,3.59
코스닥,2021-04-08,False,1.68,0.9,2.89
코스닥,2021-05-13,False,-1.88,-1.59,1.82
코스닥,2021-06-10,True,-0.24,0.92,0.97
코스닥,2021-07-08,False,-0.11,-1.23,0.85
코스닥,2021-08-12,False,-0.51,0.21,-3.13
코스닥,2021-09-09,True,-1.2,-0.25,0.3
코스닥,2021-10-14,False,6.62,3.14,2.23
코스닥,2021-11-11,False,-0.88,0.5,4.31
코스닥,2021-12-09,True,4.65,1.67,-1.96
코스닥,2022-01-13,False,0.3,-0.82,-4.0
코스닥,2022-02-10,False,0.46,-1.63,-6.23
코스닥,2022-03-10,True,-0.71,2.18,-2.01
코스닥,2022-04-14,False,0.01,0.08,0.38
코스닥,2022-05-12,False,-7.38,-3.77,3.88
