code,date,foreign_net,inst_net
005935,2024-06-28,-53302352600.0,32920647700.0
005935,2024-07-31,363325476300.0,76299410200.0
005935,2024-08-30,-50149672400.0,-47628674300.0
005935,2024-09-30,-332286432200.0,-113426432000.0
005935,2024-10-31,-158390005250.0,-44741221650.0
005935,2024-11-29,-53784879600.0,-51680872050.0
005935,2024-12-30,-272252790850.0,39335589050.0
005935,2025-01-31,-124754336250.0,-8260346950.0
005935,2025-02-28,-825924950.0,573743950.0
005935,2025-03-31,-11902507750.0,-3231910175.0
005935,2025-04-30,-119699409225.0,-21666682425.0
005935,2025-05-30,-118098449800.0,1409735750.0
005935,2025-06-30,88538982375.0,-34003853500.0
005935,2025-07-31,151043102050.0,7747175050.0
005935,2025-08-29,2877450150.0,7187676900.0
005935,2025-09-30,416423237850.0,83471813000.0
005935,2025-10-31,1220073774750.0,130021068850.0
005935,2025-11-28,-65015481600.0,282589876100.0
005935,2025-12-30,429095903350.0,158471132650.0
005935,2026-01-30,113002929900.0,482426228700.0
005935,2026-02-27,-1108126700650.0,379433072050.0
005935,2026-03-31,-372274121850.0,115518567250.0
005935,2026-04-30,309567642369.0,-125059192669.0
005935,2026-05-29,-117409608700.0,-75559252150.0
005935,2026-06-12,-1025634209050.0,-9112898350.0
402340,2021-11-30,-61674111000.0,-70485379500.0
402340,2021-12-30,-399286902300.0,64551934600.0
402340,2022-01-28,-91613381500.0,-15290314500.0
402340,2022-02-28,146375894300.0,-81959358800.0
402340,2022-03-31,25434071150.0,-60751602450.0
402340,2022-04-29,55164352700.0,-57203099100.0
402340,2022-05-31,32974712300.0,-63266359150.0
402340,2022-06-30,24560312850.0,-6947512150.0
402340,2022-07-29,18161755900.0,5368807850.0
402340,2022-08-31,11636734100.0,-19540934200.0
402340,2022-09-30,-901467300.0,32162480350.0
402340,2022-10-31,38458914800.0,-21847770550.0
402340,2022-11-30,2564143300.0,-6096991350.0
402340,2022-12-29,-5604840850.0,-3295080150.0
402340,2023-01-31,14792503800.0,3595058300.0
402340,2023-02-28,3109279300.0,14254687100.0
402340,2023-03-31,-7057373900.0,35280933300.0
402340,2023-04-28,-11144412100.0,64892322600.0
402340,2023-05-31,757360800.0,56400666900.0
