code,market
011500,KOSPI
011560,KOSDAQ
0115H0,KOSDAQ
011690,KOSPI
011700,KOSPI
011760,KOSPI
011780,KOSPI
011785,KOSPI
011790,KOSPI
011810,KOSPI
011930,KOSPI
012030,KOSPI
0120G0,KOSPI
012160,KOSPI
012170,KOSPI
012200,KOSPI
012205,KOSPI
012210,KOSDAQ
012280,KOSPI
012320,KOSPI
012330,KOSPI
012340,KOSDAQ
012450,KOSPI
012510,KOSPI
012610,KOSPI
012620,KOSDAQ
012630,KOSPI
012690,KOSPI
0126Z0,KOSPI
012700,KOSDAQ
012750,KOSPI
012790,KOSDAQ
012800,KOSPI
012860,KOSDAQ
0129K0,KOSDAQ
013000,KOSPI
013030,KOSDAQ
0130D0,KOSDAQ
0130H0,KOSDAQ
013120,KOSDAQ
0131D0,KOSDAQ
0132G0,KOSDAQ
013310,KOSDAQ
013360,KOSPI
013520,KOSPI
013570,KOSPI
013580,KOSPI
013700,KOSPI
013720,KOSDAQ
013810,KOSDAQ
013870,KOSPI
013890,KOSPI
013990,KOSDAQ
014100,KOSDAQ
014130,KOSPI
014160,KOSPI
014190,KOSDAQ
014280,KOSPI
014285,KOSPI
014440,KOSPI
014470,KOSDAQ
014530,KOSPI
014570,KOSDAQ
014580,KOSPI
014620,KOSDAQ
014680,KOSPI
014710,KOSPI
014790,KOSPI
014820,KOSPI
014825,KOSPI
014830,KOSPI
014910,KOSPI
014915,KOSPI
014940,KOSDAQ
014950,KOSDAQ
014970,KOSDAQ
014990,KOSPI
015020,KOSPI
015230,KOSPI
015260,KOSPI
015360,KOSPI
015590,KOSPI
015710,KOSDAQ
015750,KOSDAQ
015760,KOSPI
015860,KOSPI
015890,KOSPI
016090,KOSPI
016100,KOSDAQ
016250,KOSDAQ
016360,KOSPI
016380,KOSPI
016450,KOSPI
016580,KOSPI
016590,KOSPI
016600,KOSDAQ
016610,KOSPI
016670,KOSDAQ
016710,KOSPI
016740,KOSPI
016790,KOSDAQ
016800,KOSPI
016880,KOSPI
016920,KOSDAQ
017000,KOSDAQ
017040,KOSPI
017180,KOSPI
017250,KOSDAQ
017370,KOSPI
017390,KOSPI
017480,KOSDAQ
