출발일,code,name,유형,국면,밸류,밸류여부,봉_1월,봉_4월,B0_카드,B0b_2단126,B0b_how,A2_2단1월,A3_2단4월,A4_2단밸류분기,E1_잔여보유1월,E1_how,E2_잔여보유4월,E3_잔여보유밸류분기,C1_달력1월,C2_달력4월,C3_달력밸류분기,D1_순수4월,D0_순수1월
2021-09-17,006400,삼성SDI,B,관찰만,,False,89,149,0.044137931034482714,-0.09489655172413791,손절/트레일,-0.09489655172413791,-0.09489655172413791,-0.09489655172413791,-0.09489655172413791,손절/트레일,-0.09489655172413791,-0.09489655172413791,-0.09957241379310344,-0.09957241379310344,-0.09957241379310344,-0.15724137931034488,-0.19448275862068964
2012-10-11,005930,삼성전자,B,주의,,False,76,137,0.06595092024539873,0.06745398773006128,2단트레일,0.06745398773006128,0.06745398773006128,0.06745398773006128,0.08819018404907963,달력보유,0.11579754601226988,0.08819018404907963,0.11042944785276054,0.16564417177914104,0.11042944785276054,0.16564417177914104,0.11042944785276054
1997-10-08,005935,삼성전자우,A,실행,,False,72,136,-0.050000000000000155,-0.050000000000000155,손절/트레일,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,손절/트레일,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.050000000000000155,-0.19827586206896552,-0.05862068965517242
1999-10-05,010140,삼성중공업,A,실행,,False,80,140,0.07506887052341593,0.07692837465564739,2단트레일,0.07692837465564739,0.07692837465564739,0.07692837465564739,0.037534435261707966,본전이탈,0.037534435261707966,0.037534435261707966,-0.051308539944903586,-0.051308539944903586,-0.051308539944903586,-0.4559228650137741,-0.21763085399449034
1997-10-16,010140,삼성중공업,A,실행,,False,66,130,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.06824952686244135,-0.23131672597864772
1999-09-02,016360,삼성증권,A,실행,,False,101,161,0.08020050125313283,0.040100250626566414,2단트레일,0.040100250626566414,0.040100250626566414,0.040100250626566414,0.040100250626566414,본전이탈,0.040100250626566414,0.040100250626566414,-0.06305630305561016,-0.06305630305561016,-0.06305630305561016,-0.531328320802005,0.03759398496240607
2018-10-25,007700,F&F홀딩스,A,실행,,False,67,126,-0.08603448275862069,-0.08603448275862069,손절/트레일,-0.08603448275862069,-0.08603448275862069,-0.08603448275862069,-0.08603448275862069,손절/트레일,-0.08603448275862069,-0.08603448275862069,-0.08603448275862069,-0.08603448275862069,-0.08603448275862069,0.40172413793103456,-0.26637931034482765
2021-09-06,007700,F&F홀딩스,A,관찰만,저PER·배당2%+,True,98,158,-0.06484425360474999,-0.06484425360474999,손절/트레일,-0.06484425360474999,-0.06484425360474999,-0.06484425360474999,-0.06484425360474999,손절/트레일,-0.06484425360474999,-0.06484425360474999,-0.06484425360474999,-0.06484425360474999,-0.06484425360474999,-0.32951653944020354,-0.3371501272264631
2011-09-26,000070,삼양홀딩스,A,실행,저PER,True,59,121,0.14021887824897394,0.08053351573187406,2단트레일,0.08053351573187406,0.08053351573187406,0.08053351573187406,0.07010943912448697,본전이탈,0.07010943912448697,0.07010943912448697,0.2216142270861834,-0.050000000000000044,-0.050000000000000044,-0.17783857729138164,0.2216142270861834
2011-09-26,006120,SK디스커버리,A,실행,저PER,True,87,149,0.08777429467084641,0.04871473354231981,2단트레일,0.04871473354231981,0.04871473354231981,0.04871473354231981,0.043887147335423204,본전이탈,0.043887147335423204,0.043887147335423204,0.0125391849529779,-0.10062695924764908,-0.10062695924764908,-0.11755485893416928,0.0125391849529779
2007-10-05,004980,성신양회,A,주의,,False,80,140,-0.0751655629139073,-0.0751655629139073,손절/트레일,-0.0751655629139073,-0.0751655629139073,-0.0751655629139073,-0.0751655629139073,손절/트레일,-0.0751655629139073,-0.0751655629139073,-0.0751655629139073,-0.0751655629139073,-0.0751655629139073,-0.34701986754966885,-0.08609271523178808
2018-10-29,004980,성신양회,A,실행,,False,65,124,0.07391304347826089,0.08627329192546584,2단트레일,0.08627329192546584,0.08627329192546584,0.08627329192546584,0.40031055900621115,달력보유,0.1506211180124224,0.40031055900621115,0.7267080745341614,0.2273291925465839,0.7267080745341614,0.2273291925465839,0.7267080745341614
1999-09-30,001680,대상,A,실행,,False,83,143,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.6064814814814815,-0.30740740740740746
2011-09-06,004430,송원산업,A,실행,,False,99,161,-0.06204016786570743,-0.06204016786570743,손절/트레일,-0.06204016786570743,-0.06204016786570743,-0.06204016786570743,-0.06204016786570743,손절/트레일,-0.06204016786570743,-0.06204016786570743,-0.06204016786570743,-0.06204016786570743,-0.06204016786570743,-0.40287769784172667,-0.17266187050359716
2018-10-04,004170,신세계,A,실행,,False,81,140,-0.06252059308072488,-0.06252059308072488,손절/트레일,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,손절/트레일,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,0.12026359143327836,-0.12850082372322902
2022-09-26,001250,GS글로벌,A,실행,,False,86,148,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,손절/트레일,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.11754068716094035,-0.11754068716094035
2018-10-11,003410,003410,A,실행,배당2%+,True,77,136,-0.06559999999999999,-0.06559999999999999,손절/트레일,-0.06559999999999999,-0.06559999999999999,-0.06559999999999999,-0.06559999999999999,손절/트레일,-0.06559999999999999,-0.06559999999999999,-0.09145454545454546,-0.09145454545454546,-0.09145454545454546,0.049090909090909074,0.19999999999999996
