rank,code,name,industry,board,mcap_억,score,grade,growth,quality,momentum,rev_yoy,roa,mom_12_1
54,347700,스피어,소프트웨어 개발 및 공급업,기술성장기업부,16514.6,56.65,A,68.4,29.2,81.6,36.39150904356895,0.0017855135713288387,2.6538
55,090710,휴림로봇,특수 목적용 기계 제조업,중견기업부,13068.6,56.02,A,65.5,36.7,69.5,0.2645185469945157,-0.10869066524933302,1.9871
56,170920,엘티씨,기초 화학물질 제조업,벤처기업부,4378.8,55.94,A,57.0,48.8,68.9,0.12063073766597676,0.047444507120486056,1.9767
57,290650,엘앤씨바이오,의약품 제조업,우량기업부,21252.1,55.84,A,55.3,52.6,65.3,0.18563565897163747,-0.30274960554759095,1.7315
58,195940,HK이노엔,의약품 제조업,우량기업부,12068.5,55.51,A,62.8,61.2,17.9,0.18504222955636007,0.036100282374878175,0.0514
59,237690,에스티팜,의약품 제조업,우량기업부,25743.0,55.36,B,58.3,55.9,44.2,0.21161517969560584,0.06972175969496341,0.7416
60,068760,셀트리온제약,의약품 제조업,우량기업부,20513.9,55.34,B,65.2,58.8,14.2,0.12256315127761441,0.05102663976892523,-0.0203
61,064760,티씨케이,기타 비금속 광물제품 제조업,우량기업부,28060.3,55.33,B,45.1,68.9,57.9,0.09288049303109425,0.12315131327891354,1.4674
62,166090,하나머티리얼즈,반도체 제조업,우량기업부,11530.4,55.29,B,50.1,61.1,58.9,0.08677174181366687,0.05597330147395127,1.4951
63,376900,로킷헬스케어,의료용품 및 기타 의약 관련제품 제조업,기술성장기업부,8603.6,55.24,B,67.1,28.8,77.4,1.001871390903284,-0.05096875835538549,2.4229
64,033100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",우량기업부,8994.9,55.21,B,42.5,83.8,31.1,-0.14736857903255407,0.21996926336562717,0.3532
65,033500,동성화인텍,기초 화학물질 제조업,우량기업부,5874.9,55.05,B,68.9,54.1,11.1,0.24234010691802088,0.11141862145298821,-0.219
66,006730,서부T&D,일반 및 생활 숙박시설 운영업,우량기업부,6940.7,54.92,B,67.6,49.7,24.7,0.32457402107354194,0.03569651347915,0.2098
67,083450,GST,특수 목적용 기계 제조업,우량기업부,8883.3,54.69,B,42.5,67.1,66.3,0.0026889275138901603,0.11799881368979359,1.7703
68,086450,동국제약,의약품 제조업,우량기업부,8376.7,54.54,B,57.9,64.1,21.1,0.1412489792071736,0.06955785318801005,0.1337
69,397030,에이프릴바이오,자연과학 및 공학 연구개발업,기술성장기업부,13416.1,54.51,B,40.6,61.7,84.2,-0.921058370284219,-0.10016501928824846,2.8573
70,356680,엑스게이트,소프트웨어 개발 및 공급업,벤처기업부,5449.0,54.37,B,46.4,59.0,70.0,0.1138363956156101,0.05669277015231703,2.012
71,126340,비나텍,일차전지 및 이차전지 제조업,벤처기업부,9365.2,54.22,B,56.5,35.0,91.6,0.3798715530501424,-0.034596406627757544,3.995
72,222080,씨아이에스,특수 목적용 기계 제조업,우량기업부,8594.7,53.95,B,52.4,60.8,43.2,-0.1993145788937819,0.043519323236145324,0.7378
73,340570,티앤엘,의료용품 및 기타 의약 관련제품 제조업,우량기업부,4421.6,53.83,B,50.1,76.6,13.2,-0.061374529867326166,0.1753976535289682,-0.0571
74,041510,에스엠,오디오물 출판 및 원판 녹음업,우량기업부,17926.5,53.8,B,66.9,56.5,3.7,0.18713219009050563,0.17899192712641177,-0.4348
75,140860,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",우량기업부,19256.8,53.8,B,60.3,61.7,13.7,0.17453248449034486,0.09852390503793133,-0.035
76,214430,아이쓰리시스템,전자부품 제조업,우량기업부,5180.8,53.46,B,61.3,60.2,11.6,0.02960946361839434,0.09909557540967692,-0.1764
77,030530,원익홀딩스,기초 화학물질 제조업,중견기업부,19811.5,53.31,B,43.7,51.1,90.5,-0.03482875319693768,0.025601085490559124,3.9634
78,174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,벤처기업부,6763.8,52.96,B,44.9,53.5,78.4,1.0147177026441132,-0.25311438385326746,2.5391
79,060250,NHN KCP,금융 지원 서비스업,우량기업부,6971.9,52.92,B,58.0,51.9,38.4,0.11721184165258425,0.0693873260521804,0.6345
80,058610,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",우량기업부,27433.4,52.68,B,45.8,47.6,87.4,-0.12048752841778965,0.021316035487439846,3.2246
81,031330,에스에이엠티,기계장비 및 관련 물품 도매업,우량기업부,16269.2,52.31,B,62.3,20.3,93.7,0.3000965069937662,0.055098652603488445,4.3688
82,037460,삼지전자,통신 및 방송 장비 제조업,우량기업부,7400.4,52.26,B,61.5,24.5,86.3,0.27723324786219816,0.06482829835212615,3.0555
83,033790,피노,일차전지 및 이차전지 제조업,중견기업부,8867.1,52.07,B,67.9,24.5,63.7,7.630795321251746,-0.035755180210363585,1.6448
84,064290,인텍플러스,특수 목적용 기계 제조업,중견기업부,5062.0,51.85,B,44.4,46.4,89.5,0.07024481648605052,-0.027933479922633085,3.7303
85,102710,이엔에프테크놀로지,기타 화학제품 제조업,우량기업부,5900.9,51.76,B,55.5,59.1,22.1,0.15188436596957589,0.0671375638706648,0.1357
86,027360,아주IB투자,기타 금융업,중견기업부,12502.2,51.66,B,41.5,49.3,91.1,,0.02458805750112504,3.9856
87,183300,코미코,특수 목적용 기계 제조업,우량기업부,9508.8,51.48,B,53.9,45.5,57.4,0.19121294323079252,0.07497033425446713,1.4441
88,199800,툴젠,자연과학 및 공학 연구개발업,기술성장기업부,4786.7,51.48,B,40.1,72.9,39.5,0.46633248774191904,-0.5962911486011576,0.6444
89,086900,메디톡스,기초 의약물질 제조업,우량기업부,6342.4,51.33,B,50.4,73.5,2.6,0.08165584632857392,0.0269167195701049,-0.4581
90,100790,미래에셋벤처투자,기타 금융업,우량기업부,21488.9,51.26,B,46.2,38.7,97.4,0.025551423990541,0.028115029127355015,5.8627
91,033640,네패스,반도체 제조업,중견기업부,8601.1,51.21,B,49.6,46.1,68.4,0.12298924375953124,0.028955567755168544,1.9369
92,078350,한양디지텍,반도체 제조업,우량기업부,4268.4,50.97,B,48.2,43.8,76.8,0.09389577005398175,0.05033823034637233,2.4182
93,298380,에이비엘바이오,기초 의약물질 제조업,기술성장기업부,59962.6,50.88,B,66.4,32.9,41.1,1.3755284474280023,-0.13482694723190713,0.6652
94,087010,펩트론,기초 의약물질 제조업,기술성장기업부,63073.4,50.63,B,60.7,42.2,36.8,0.787593063420738,-0.07723663785432242,0.5985
95,098460,고영,특수 목적용 기계 제조업,우량기업부,22175.5,50.6,B,38.6,67.5,51.1,0.14865888144698314,0.03596105599737366,1.1371
96,131970,두산테스나,"그외 기타 전문, 과학 및 기술 서비스업",우량기업부,28874.9,50.54,B,39.2,47.3,95.8,-0.18558169531011282,0.0021456317778080426,5.0038
97,121600,나노신소재,기타 화학제품 제조업,우량기업부,7658.6,50.35,B,58.3,47.8,30.0,0.2732007264771552,0.003590393945797465,0.3333
98,257720,실리콘투,상품 종합 도매업,우량기업부,23279.6,50.01,B,63.2,50.8,4.2,0.6142462113870795,0.23762781582172893,-0.4141
99,036810,에프에스티,전자부품 제조업,중견기업부,6494.9,49.78,B,56.1,44.8,40.5,0.18050866729960235,-0.026533074659616837,0.6563
100,127120,제이에스링크,자연과학 및 공학 연구개발업,벤처기업부,13450.3,49.63,B,45.7,39.2,86.8,0.21428282944150867,-0.1336607880286473,3.1953
101,067160,SOOP,소프트웨어 개발 및 공급업,우량기업부,5718.6,49.52,B,59.1,55.7,3.2,0.12922217872282182,0.1172522880656805,-0.4474
102,060370,LS마린솔루션,전기 및 통신 공사업,우량기업부,17134.3,49.47,B,62.0,45.5,16.8,0.8744758759371902,0.01130704806281942,0.0429
103,030520,한글과컴퓨터,소프트웨어 개발 및 공급업,우량기업부,4787.6,49.44,B,48.1,69.5,7.4,0.07209106102324325,0.033735295432955476,-0.3322
104,241710,코스메카코리아,기타 화학제품 제조업,우량기업부,7486.7,49.35,B,57.2,48.9,24.2,0.22238042737922936,0.09154192733149806,0.19
105,019210,와이지-원,기타 금속 가공제품 제조업,우량기업부,5471.2,49.31,B,50.8,41.4,62.6,0.11198870077513612,0.021530255627644237,1.6244
106,358570,지아이이노베이션,자연과학 및 공학 연구개발업,기술성장기업부,9081.5,49.14,B,60.5,50.1,8.9,239.4339260077442,-0.2756613455903687,-0.3022
107,357780,솔브레인,기타 화학제품 제조업,우량기업부,28158.4,49.03,C,39.5,62.0,50.5,0.06952612773766687,0.05805370585235937,1.125
108,330860,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업",중견기업부,4392.3,48.66,C,41.6,48.9,71.6,-0.043363694223249816,0.011716547769566718,2.0746
109,000250,삼천당제약,의약품 제조업,중견기업부,70841.6,48.45,C,43.3,52.5,56.3,0.09900007855121928,0.021434736108345696,1.3014
110,059090,미코,반도체 제조업,벤처기업부,7752.7,48.41,C,61.0,36.3,34.7,0.8076381113101654,0.03309640903841591,0.5208
111,086520,에코프로,기타 금융업,중견기업부,173250.4,48.33,C,49.0,37.2,72.1,0.09117065845334649,-0.010792789056154887,2.0786
112,042000,카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",우량기업부,5004.9,48.05,C,54.3,59.3,1.1,0.04062129502455436,0.09399218982992749,-0.5708
113,023160,태광,1차 철강 제조업,우량기업부,7579.1,47.94,C,45.1,58.8,32.1,0.11302311621607308,0.08843553732824525,0.4929
114,014620,성광벤드,1차 철강 제조업,우량기업부,8060.2,47.93,C,43.7,67.9,15.3,0.07899907978744669,0.05833265671706315,0.0318
115,319400,현대무벡스,일반 목적용 기계 제조업,우량기업부,41264.8,47.93,C,42.0,34.5,98.9,0.1539549146452015,0.039846095211762154,6.557
116,445680,큐리옥스바이오시스템즈,의료용 기기 제조업,기술성장기업부,15981.8,47.86,C,38.8,57.0,56.8,0.12291991991362905,-0.3483075851617022,1.3329
117,281740,레이크머티리얼즈,기타 화학제품 제조업,우량기업부,11397.7,47.56,C,58.4,37.3,35.3,0.018079420712101335,0.021928573375462904,0.5211
118,138080,오이솔루션,통신 및 방송 장비 제조업,벤처기업부,4270.3,47.1,C,44.5,37.6,77.9,0.7915511809992422,-0.226055441530688,2.5279
119,099320,쎄트렉아이,"항공기,우주선 및 부품 제조업",우량기업부,14171.0,47.06,C,52.9,29.9,67.9,0.20806549941548536,0.034271820231580735,1.8147
120,046890,서울반도체,반도체 제조업,중견기업부,8121.9,46.68,C,45.6,47.7,47.9,-0.07057607765331209,-0.05438998628191981,0.8547
121,455900,엔젤로보틱스,특수 목적용 기계 제조업,기술성장기업부,4483.4,46.51,C,41.6,65.5,18.4,0.10219970670949574,-0.2623291643537447,0.0725
122,074600,원익QnC,유리 및 유리제품 제조업,우량기업부,7939.0,46.48,C,49.4,42.2,46.8,0.058440669788561106,0.0006197601933992514,0.8339
123,085660,차바이오텍,기초 의약물질 제조업,중견기업부,11937.7,46.46,C,60.9,34.3,26.8,0.21358294486504836,-0.05758750173992241,0.2519
124,189300,인텔리안테크,통신 및 방송 장비 제조업,우량기업부,13411.1,45.73,C,44.7,39.3,64.2,0.23997763282287732,0.015034365998024077,1.6567
125,003380,하림지주,기타 금융업,우량기업부,12208.6,45.65,C,57.4,38.2,23.7,0.07674799532859189,0.030206449937818552,0.1787
126,060280,큐렉소,기타 상품 전문 소매업,중견기업부,4720.1,45.05,C,45.5,52.8,25.3,0.34215967069335185,0.027403103293884373,0.2137
127,038500,삼표시멘트,기타 비금속 광물제품 제조업,우량기업부,12766.5,44.98,C,32.9,45.1,84.7,-0.1439829897800896,0.02820396799774047,2.8746
128,077360,덕산하이메탈,반도체 제조업,벤처기업부,5248.0,44.94,C,38.8,41.6,73.2,0.00217305047589611,-0.17558553602274193,2.1722
129,328130,루닛,소프트웨어 개발 및 공급업,기술성장기업부,11202.0,44.75,C,69.2,26.7,5.3,0.5343265403847308,-0.12811078999488462,-0.3792
130,389500,에스비비테크,일반 목적용 기계 제조업,기술성장기업부,4364.6,44.7,C,46.6,27.4,78.9,0.3171458760539314,-0.29328641388779203,2.5392
131,078600,대주전자재료,전자부품 제조업,우량기업부,19627.6,44.35,C,48.6,35.2,51.6,0.16094078983210958,0.03164686202877731,1.1383
132,475830,오름테라퓨틱,기초 의약물질 제조업,기술성장기업부,13704.0,44.25,C,31.5,47.4,79.5,-0.9988728278640088,-0.24786202171823282,2.5741
133,015750,성우하이텍,자동차 신품 부품 제조업,우량기업부,5616.0,44.15,C,49.9,42.9,27.9,0.032408645283380944,0.03654133270285341,0.2808
134,028300,HLB,의료용품 및 기타 의약 관련제품 제조업,중견기업부,69396.3,44.07,C,50.4,46.9,16.3,0.23554753104161374,-0.25308623468982255,0.0346
135,082270,젬백스,특수 목적용 기계 제조업,벤처기업부,6131.3,44.03,C,54.3,47.8,1.1,0.300503968610474,-0.07135584003540393,-0.7558
136,347850,디앤디파마텍,자연과학 및 공학 연구개발업,기술성장기업부,36839.3,43.99,C,31.9,48.6,73.7,-0.6242286957480734,-0.24584585998816386,2.1901
137,050890,쏠리드,통신 및 방송 장비 제조업,우량기업부,8755.0,43.91,C,31.9,56.4,54.7,-0.10945657844832801,0.06790577689646912,1.2191
138,065350,신성델타테크,가정용 기기 제조업,우량기업부,11790.6,43.66,C,65.7,27.9,6.8,0.03917826470006225,0.025957608253843748,-0.3575
139,417200,LS머트리얼즈,전자부품 제조업,중견기업부,12881.1,43.6,C,44.0,40.7,48.9,0.08099063268664941,-0.0036685008146388033,0.9409
140,005290,동진쎄미켐,기초 화학물질 제조업,우량기업부,26402.5,43.43,C,36.9,53.6,41.6,-0.15197282000290202,0.04690234032988555,0.6728
141,222800,심텍,전자부품 제조업,중견기업부,39112.3,42.97,C,46.8,17.3,90.0,0.14547298035814826,-0.10157213869572022,3.9004
142,024850,HLB이노베이션,전자부품 제조업,중견기업부,4509.0,42.83,C,43.4,41.6,43.7,0.2724469582813336,-0.12522204897673023,0.7396
143,010170,대한광통신,절연선 및 케이블 제조업,중견기업부,30008.7,42.51,C,37.1,26.0,98.9,-0.08689706669412434,-0.12772110736237668,23.6739
144,032820,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",벤처기업부,24968.6,42.35,C,46.7,23.9,71.1,0.2229497432546088,-0.012127631715187267,2.042
145,039440,에스티아이,특수 목적용 기계 제조업,우량기업부,4186.9,42.22,C,38.5,51.2,33.7,-0.017853984192266803,0.042094755390041316,0.5042
146,290550,디케이티,전자부품 제조업,우량기업부,4720.3,42.18,C,33.9,35.5,85.3,0.05560042446788005,0.07248592176174522,2.957
147,200710,에이디테크놀로지,반도체 제조업,중견기업부,5209.8,41.14,C,46.3,27.5,55.8,0.5440509976386054,0.012193465238218659,1.2997
148,036830,솔브레인홀딩스,회사 본부 및 경영 컨설팅 서비스업,우량기업부,9442.1,41.12,C,40.4,48.8,25.8,0.08007164237348796,0.18638288473452874,0.2181
149,437730,삼현,자동차 신품 부품 제조업,기술성장기업부,15473.3,41.02,C,33.1,35.7,80.0,-0.05381882170381991,0.047950388544297784,2.6215
150,310210,보로노이,자연과학 및 공학 연구개발업,기술성장기업부,42877.1,40.93,C,45.5,25.3,62.1,,-0.2494028810900779,1.621
151,348340,뉴로메카,특수 목적용 기계 제조업,기술성장기업부,6675.6,40.91,C,43.2,32.4,53.2,-0.24991493324576153,-0.24066795669153848,1.18
152,025980,아난티,일반 및 생활 숙박시설 운영업,우량기업부,4719.1,40.76,C,47.2,48.6,1.1,-0.09499402205852658,-0.023625075908192232,-0.5183
153,272290,이녹스첨단소재,전자부품 제조업,우량기업부,5592.5,40.62,C,36.9,50.3,30.5,0.03979252985123849,0.0514232121884533,0.3377
154,178320,서진시스템,기타 전기장비 제조업,중견기업부,46196.6,39.79,C,37.0,25.6,82.1,-0.12145970934821637,-0.044406274588625616,2.669
155,036930,주성엔지니어링,특수 목적용 기계 제조업,우량기업부,91521.3,39.62,D,14.5,51.1,96.8,-0.2410903390867042,0.040200136895910364,5.4412
156,425040,티이엠씨,기초 화학물질 제조업,우량기업부,4253.6,39.53,D,26.3,50.3,58.4,-0.0983973779378794,0.04195984823066123,1.4828
157,253590,네오셈,특수 목적용 기계 제조업,우량기업부,5887.2,39.4,D,26.7,59.7,34.2,-0.3924503908152429,0.034453259592508105,0.5199
158,032500,케이엠더블유,통신 및 방송 장비 제조업,중견기업부,14767.1,39.32,D,37.1,33.7,60.0,0.11632108061922053,-0.10941649792995954,1.5713
159,247540,에코프로비엠,일차전지 및 이차전지 제조업,중견기업부,193704.3,39.23,D,39.2,33.5,52.6,-0.08502897071795246,0.01876016259872226,1.1571
160,033160,엠케이전자,전자부품 제조업,중견기업부,6084.9,38.99,D,46.2,16.8,66.8,0.19923324273264353,0.005432076529045656,1.7995
161,035760,CJ ENM,텔레비전 방송업,중견기업부,8936.1,38.89,D,41.9,50.9,1.1,-0.01851315340872095,0.0019630946642489157,-0.472
162,365340,성일하이텍,기초 화학물질 제조업,기술성장기업부,7184.1,38.21,D,44.0,26.1,47.4,0.42883759870013116,-0.11176024812143061,0.8401
163,263750,펄어비스,소프트웨어 개발 및 공급업,우량기업부,27562.3,37.84,D,36.3,49.5,15.8,0.06770227331333345,-0.007323056612600384,0.0319
164,036540,SFA반도체,반도체 제조업,중견기업부,12499.0,37.02,D,22.4,46.7,63.2,-0.08263453188195036,-0.034818159415974326,1.6413
165,090360,로보스타,특수 목적용 기계 제조업,중견기업부,15483.0,36.97,D,19.0,46.5,74.7,-0.1503833364498408,-0.04764999148740389,2.2192
166,141080,리가켐바이오,자연과학 및 공학 연구개발업,기술성장기업부,54677.7,36.58,D,30.1,49.1,28.9,0.12434598493692639,-0.130450548063705,0.3162
167,094170,동운아나텍,반도체 제조업,우량기업부,8269.9,35.22,D,26.7,39.3,54.2,-0.07688877657287763,0.00928813544542332,1.2163
