출발일,code,유형,국면,PER,PBR,EPS,DIV,ex,f40,peak6,PER군,PBR군,DIV군
2006-01-20,003560,A,실행,0.0,17.94,0.0,0.0,-5.14393939393941,36.363636363636346,66.7,적자/무실적,고PBR(3+),무배당
2006-01-20,003410,A,실행,8.22,0.32,1728.0,0.0,-5.29528927311667,36.9047619047619,54.0,중PER(8~15),저PBR(<0.8),무배당
2006-01-23,001630,A,실행,28.22,3.95,1329.0,0.8,13.238095238095221,51.23809523809524,66.9,중고PER(15~30),고PBR(3+),배당<2%
2006-01-23,003410,A,실행,8.22,0.32,1728.0,0.0,-5.66101694915254,39.83050847457627,64.4,중PER(8~15),저PBR(<0.8),무배당
2006-01-23,003560,A,실행,0.0,17.94,0.0,0.0,14.34634974533106,46.5195246179966,86.8,적자/무실적,고PBR(3+),무배당
2006-01-23,003520,A,실행,95.53,8.06,47.0,0.0,-5.0,1.11287758346581,49.9,고PER(30+),고PBR(3+),무배당
2006-01-23,077970,A,실행,38.1,3.67,416.0,1.58,9.469696969696969,12.5,48.5,고PER(30+),고PBR(3+),배당<2%
2006-01-23,014820,A,실행,0.0,13.83,0.0,0.0,15.86402266288951,2.8328611898017,45.0,적자/무실적,고PBR(3+),무배당
2006-01-23,003620,A,실행,86.49,0.8,94.0,0.0,7.719546742209619,-7.64872521246459,12.7,고PER(30+),중PBR(0.8~1.5),무배당
2006-01-23,001510,A,실행,55.54,2.17,28.0,0.0,12.77056277056276,14.71861471861471,37.7,고PER(30+),중고PBR(1.5~3),무배당
2006-02-02,028150,A,주의,13.2,2.79,8196.0,0.0,-5.2010582010582,-2.64550264550265,7.3,중PER(8~15),중고PBR(1.5~3),무배당
2006-02-03,005960,A,실행,6.76,0.87,2952.0,4.01,-5.88785046728972,9.65732087227415,41.1,저PER(<8),중PBR(0.8~1.5),배당2%+
2006-02-03,004200,A,실행,12.51,1.72,2558.0,1.88,6.8738229755179,20.52730696798494,26.9,중PER(8~15),중고PBR(1.5~3),배당<2%
2006-02-06,005960,A,실행,6.76,0.87,2952.0,4.01,9.70394736842104,13.8157894736842,49.0,저PER(<8),중PBR(0.8~1.5),배당2%+
2006-02-08,000270,B,실행,11.41,1.98,1972.0,1.56,4.55696202531645,4.55696202531645,12.2,중PER(8~15),중고PBR(1.5~3),배당<2%
2006-02-15,069080,A,실행,16.21,1.61,1626.0,0.0,12.66149870801034,29.45736434108528,36.2,중고PER(15~30),중고PBR(1.5~3),무배당
2006-02-16,069080,A,실행,16.21,1.61,1626.0,0.0,8.03571428571428,28.31632653061224,34.4,중고PER(15~30),중고PBR(1.5~3),무배당
