theme,code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
로봇,168360,펨트론,특수 목적용 기계 제조업,4042,36.3,0.2255,0.3992,-0.3229,-,PASS,,
로봇,348210,넥스틴,특수 목적용 기계 제조업,6538,89.3,-0.4116,0.3294,-0.3665,-,PASS,,
로봇,161580,필옵틱스,특수 목적용 기계 제조업,9893,118.0,-0.7483,0.1442,-0.2355,-,PASS,,
로봇,056190,에스에프에이,특수 목적용 기계 제조업,9552,37.0,-0.2026,0.1338,-0.213,-,PASS,,
로봇,475400,씨메스로보틱스,특수 목적용 기계 제조업,3315,75.0,0.8954,0.0782,-0.3294,-,PASS,,
로봇,455900,엔젤로보틱스,특수 목적용 기계 제조업,4483,117.3,0.1022,0.0725,-0.2124,-,PASS,,
로봇,388720,유일로보틱스,특수 목적용 기계 제조업,12818,397.1,0.0497,0.0443,-0.2133,-,PASS,,
로봇,079370,제우스,특수 목적용 기계 제조업,3474,56.5,-0.219,-0.0608,-0.4318,소외(역발상?),PASS,,
로봇,082270,젬백스,특수 목적용 기계 제조업,6131,40.4,0.3005,-0.7558,-0.7748,소외(역발상?),PASS,,
로봇,378340,필에너지,특수 목적용 기계 제조업,3157,11.8,,,,-,PASS*,,
로봇,036200,유니셈,특수 목적용 기계 제조업,3094,38.5,,,,-,PASS*,,
로봇,036890,진성티이씨,특수 목적용 기계 제조업,3085,34.1,,,,-,PASS*,,
로봇,187870,디바이스,특수 목적용 기계 제조업,3036,137.6,,,,-,PASS*,,
로봇,086390,유니테스트,특수 목적용 기계 제조업,2923,33.4,,,,-,PASS*,,
로봇,459510,나우로보틱스,특수 목적용 기계 제조업,2855,25.5,,,,-,PASS*,,
로봇,078150,HB테크놀러지,특수 목적용 기계 제조업,2717,155.9,,,,-,PASS*,,
로봇,474650,링크솔루션,특수 목적용 기계 제조업,2513,33.5,,,,-,PASS*,,
로봇,099440,스맥,특수 목적용 기계 제조업,2464,40.4,,,,-,PASS*,,
로봇,322310,오로스테크놀로지,특수 목적용 기계 제조업,2243,44.4,,,,-,PASS*,,
로봇,382800,지앤비에스 에코,특수 목적용 기계 제조업,2222,80.0,,,,-,PASS*,,
로봇,232680,라온로보틱스,특수 목적용 기계 제조업,2151,100.2,,,,-,PASS*,,
로봇,083310,엘오티베큠,특수 목적용 기계 제조업,1997,24.1,,,,-,PASS*,,
로봇,138360,앤로보틱스,특수 목적용 기계 제조업,1929,21.0,,,,-,PASS*,,
로봇,372170,윤성에프앤씨,특수 목적용 기계 제조업,1923,5.7,,,,-,PASS*,,
로봇,083930,아바코,특수 목적용 기계 제조업,1892,23.0,,,,-,PASS*,,
로봇,452450,피아이이,특수 목적용 기계 제조업,1809,20.0,,,,-,PASS*,,
로봇,267320,나인테크,특수 목적용 기계 제조업,1705,311.8,,,,-,PASS*,,
로봇,209640,와이제이링크,특수 목적용 기계 제조업,1701,63.3,,,,-,PASS*,,
로봇,259630,엠플러스,특수 목적용 기계 제조업,1644,32.0,,,,-,PASS*,,
로봇,083500,에프엔에스테크,특수 목적용 기계 제조업,1563,36.5,,,,-,PASS*,,
로봇,282880,코윈테크,특수 목적용 기계 제조업,1506,11.2,,,,-,PASS*,,
로봇,469610,이노테크,특수 목적용 기계 제조업,1483,19.7,,,,-,PASS*,,
로봇,041440,현대에버다임,특수 목적용 기계 제조업,1436,18.5,,,,-,PASS*,,
로봇,264660,씨앤지하이테크,특수 목적용 기계 제조업,1436,26.3,,,,-,PASS*,,
로봇,299030,하나기술,특수 목적용 기계 제조업,1421,6.7,,,,-,PASS*,,
로봇,008830,대동기어,특수 목적용 기계 제조업,1398,14.4,,,,-,PASS*,,
로봇,108230,톱텍,특수 목적용 기계 제조업,1397,5.7,,,,-,PASS*,,
로봇,297890,HB솔루션,특수 목적용 기계 제조업,1375,9.1,,,,-,PASS*,,
로봇,381620,제닉스로보틱스,특수 목적용 기계 제조업,1345,65.1,,,,-,PASS*,,
로봇,452190,한빛레이저,특수 목적용 기계 제조업,1344,50.2,,,,-,PASS*,,
로봇,068790,DMS,특수 목적용 기계 제조업,1271,10.0,,,,-,PASS*,,
로봇,323350,다원넥스뷰,특수 목적용 기계 제조업,1249,31.1,,,,-,PASS*,,
로봇,306620,지아이에스,특수 목적용 기계 제조업,1244,36.3,,,,-,PASS*,,
로봇,088130,동아엘텍,특수 목적용 기계 제조업,1227,27.5,,,,-,PASS*,,
로봇,382840,원준,특수 목적용 기계 제조업,1196,29.7,,,,-,PASS*,,
로봇,412350,레이저쎌,특수 목적용 기계 제조업,1194,54.4,,,,-,PASS*,,
로봇,071280,로체시스템즈,특수 목적용 기계 제조업,1163,5.7,,,,-,PASS*,,
로봇,129920,대성하이텍,특수 목적용 기계 제조업,1121,13.4,,,,-,PASS*,,
로봇,141000,비아트론,특수 목적용 기계 제조업,1096,11.6,,,,-,PASS*,,
로봇,049950,미래컴퍼니,특수 목적용 기계 제조업,1090,12.3,,,,-,PASS*,,
로봇,396470,워트,특수 목적용 기계 제조업,1090,13.5,,,,-,PASS*,,
로봇,217820,원익피앤이,특수 목적용 기계 제조업,1084,6.1,,,,-,PASS*,,
로봇,417970,모델솔루션,특수 목적용 기계 제조업,972,8.9,,,,-,PASS*,,
로봇,451220,아이엠티,특수 목적용 기계 제조업,957,23.8,,,,-,PASS*,,
로봇,090470,제이스로보틱스,특수 목적용 기계 제조업,932,5.1,,,,-,PASS*,,
로봇,040910,아이씨디,특수 목적용 기계 제조업,863,5.2,,,,-,PASS*,,
로봇,382480,지아이텍,특수 목적용 기계 제조업,862,10.1,,,,-,PASS*,,
로봇,432470,케이엔에스,특수 목적용 기계 제조업,837,5.5,,,,-,PASS*,,
로봇,317830,에스피시스템스,특수 목적용 기계 제조업,810,10.3,,,,-,PASS*,,
로봇,413390,엠오티,특수 목적용 기계 제조업,793,6.1,,,,-,PASS*,,
로봇,320000,한울반도체,특수 목적용 기계 제조업,793,63.0,,,,-,PASS*,,
로봇,302430,이노메트리,특수 목적용 기계 제조업,777,12.2,,,,-,PASS*,,
로봇,217190,제너셈,특수 목적용 기계 제조업,738,8.7,,,,-,PASS*,,
로봇,251630,브이원텍,특수 목적용 기계 제조업,717,5.1,,,,-,PASS*,,
로봇,217500,러셀,특수 목적용 기계 제조업,662,6.0,,,,-,PASS*,,
로봇,065130,탑엔지니어링,특수 목적용 기계 제조업,638,5.3,,,,-,PASS*,,
로봇,317850,대모,특수 목적용 기계 제조업,598,5.9,,,,-,PASS*,,
로봇,036090,위지트,특수 목적용 기계 제조업,576,38.8,,,,-,PASS*,,
로봇,419080,엔젯,특수 목적용 기계 제조업,547,5.0,,,,-,PASS*,,
로봇,271830,팸텍,특수 목적용 기계 제조업,536,37.5,,,,-,PASS*,,
2차전지,126340,비나텍,일차전지 및 이차전지 제조업,9365,198.9,0.3799,3.995,-0.2534,급등,PASS,,
2차전지,082920,비츠로셀,일차전지 및 이차전지 제조업,23803,231.6,0.1533,2.6894,-0.0789,급등,PASS,,
