code,fiscal_year,book_equity
004370,2025,2830704457688.0
051600,2020,1051681651371.0
051600,2021,1111994889512.0
051600,2022,1215733064077.0
051600,2023,1272596248839.0
051600,2024,1328411823106.0
051600,2025,1345765710536.0
000240,2020,3389337589079.0
000240,2021,3735587717538.0
000240,2022,3856441131880.0
000240,2023,4016691459374.0
000240,2024,4452873418433.0
000240,2025,4781079225610.0
279570,2023,1866881000000.0
279570,2024,1995845000000.0
279570,2025,2171766000000.0
008930,2020,658735546041.0
008930,2021,690298132532.0
008930,2022,724746193167.0
008930,2023,787506950826.0
008930,2024,840928986273.0
008930,2025,961852859665.0
003690,2023,3252895729256.0
003690,2024,3452869465595.0
003690,2025,3683421777221.0
103140,2020,1444351084153.0
103140,2021,1683533366729.0
103140,2022,1840035956452.0
103140,2023,1965954520498.0
103140,2024,2199301948907.0
103140,2025,2298131546597.0
229640,2020,133292634492.0
229640,2021,154382224718.0
229640,2022,148065888595.0
229640,2023,145365960356.0
229640,2024,183406928558.0
229640,2025,209188487673.0
282330,2020,696827910319.0
282330,2021,809319369409.0
282330,2022,962627643775.0
282330,2023,1074453047721.0
282330,2024,1184132956540.0
282330,2025,1313057157689.0
030000,2020,1007541626499.0
030000,2021,1117142252756.0
030000,2022,1212041643497.0
030000,2023,1286558186550.0
030000,2024,1457996568297.0
030000,2025,1572341881326.0
008770,2020,623517701692.0
008770,2021,576424959246.0
008770,2022,539753255118.0
008770,2023,608462497103.0
008770,2024,1284309127658.0
008770,2025,1106187826622.0
120110,2020,2179166252165.0
120110,2021,2437015203155.0
120110,2022,2609701734261.0
120110,2023,2801455360403.0
120110,2024,3645874111195.0
120110,2025,3927572301339.0
018670,2020,1898715509313.0
018670,2021,2117363391889.0
018670,2022,2340895146247.0
018670,2023,2581072226048.0
018670,2024,2728991464712.0
018670,2025,2928065570208.0
007070,2020,2304494249348.0
007070,2021,4069022257942.0
007070,2022,4049137721090.0
007070,2023,4058374418074.0
007070,2024,3206848365293.0
007070,2025,3284403082178.0
085620,2023,2910747636564.0
085620,2024,2563654662740.0
085620,2025,2448095130657.0
097230,2020,320061000000.0
097230,2021,432073000000.0
097230,2022,385056000000.0
097230,2023,340793000000.0
097230,2024,343448000000.0
097230,2025,669629000000.0
161890,2020,623679400597.0
161890,2021,683605729651.0
161890,2022,664096497576.0
161890,2023,648622116668.0
161890,2024,792634831327.0
161890,2025,910357247405.0
005440,2020,1781223349000.0
005440,2021,1825132155000.0
005440,2022,1821184329000.0
005440,2023,2702476114000.0
005440,2024,3369831487000.0
005440,2025,4000146952000.0
081660,2020,1292436125023.0
081660,2021,1610945351915.0
081660,2022,1876563454139.0
081660,2023,1908158317093.0
081660,2024,2005208821773.0
081660,2025,1932141962003.0
112610,2020,413124944386.0
112610,2021,894194772962.0
112610,2022,876569114515.0
112610,2023,896809674757.0
112610,2024,1148662127810.0
112610,2025,1153059191962.0
322000,2020,328743889365.0
322000,2021,320319488368.0
322000,2022,381533148869.0
322000,2023,371556913092.0
322000,2024,369683769362.0
322000,2025,417784216586.0
192820,2020,342874101656.0
192820,2021,561310512860.0
192820,2022,581125287925.0
192820,2023,362516945771.0
192820,2024,473397931954.0
192820,2025,558159240881.0
181710,2020,1596908980145.0
181710,2021,1834303694716.0
181710,2022,1693034624594.0
181710,2023,1631442093528.0
181710,2024,1451486782014.0
181710,2025,1463109810462.0
001430,2020,1621005320517.0
001430,2021,1818177919096.0
001430,2022,1885615784819.0
001430,2023,1955393700405.0
001430,2024,1939752530391.0
001430,2025,1943429767141.0
000120,2020,3338147076516.0
000120,2021,3565469397055.0
000120,2022,3570744925427.0
000120,2023,3603882204244.0
000120,2024,3948805108252.0
000120,2025,4145790841567.0
462870,2024,764404135605.0
462870,2025,921190987215.0
002790,2020,3249543873051.0
002790,2021,3306537801345.0
002790,2022,3356370904773.0
002790,2023,3323329617523.0
002790,2024,3335589438539.0
002790,2025,3482154028036.0
023590,2020,1587749965646.0
023590,2021,1976370872983.0
023590,2022,2315240026225.0
023590,2023,2518900582474.0
023590,2024,2887288844494.0
023590,2025,3446435267021.0
017960,2020,380530832369.0
017960,2021,388999341751.0
017960,2022,404167834363.0
017960,2023,454654105515.0
017960,2024,474286350797.0
017960,2025,580170310439.0
005070,2020,176803624419.0
005070,2021,205448546579.0
005070,2022,251204096947.0
005070,2023,478782330149.0
005070,2024,495532641195.0
005070,2025,496843668444.0
006280,2020,1118523670544.0
006280,2021,1274770513682.0
006280,2022,1328122429373.0
006280,2023,1300236293699.0
006280,2024,1252644924139.0
006280,2025,1217477204977.0
298020,2020,600974291459.0
