code,date,foreign_net,inst_net
183300,2024-11-29,-509725400.0,-9255765050.0
183300,2024-12-30,-3659158200.0,2410204250.0
183300,2025-01-31,-19521867100.0,6109015600.0
183300,2025-02-28,-4530230150.0,2603569500.0
183300,2025-03-31,-18560620525.0,19388693700.0
183300,2025-04-30,-17317990050.0,11564924500.0
183300,2025-05-30,4299904250.0,-8344183750.0
183300,2025-06-30,-4984965800.0,14302339250.0
183300,2025-07-31,4954898050.0,-20623040850.0
183300,2025-08-29,-8375869150.0,30560766350.0
183300,2025-09-30,11051529650.0,12631419150.0
183300,2025-10-31,27079789000.0,-646980200.0
183300,2025-11-28,14585572450.0,-42153712100.0
183300,2025-12-30,-38449604950.0,-1605387100.0
183300,2026-01-30,-12702828750.0,54123075350.0
183300,2026-02-27,16980164050.0,-10315663550.0
183300,2026-03-31,3704122500.0,15553205250.0
183300,2026-04-30,-322957900.0,40336798500.0
183300,2026-05-29,39380498950.0,-42893026950.0
183300,2026-06-12,7570401400.0,-4926044000.0
034230,2019-01-31,-8573610350.0,-43742865100.0
034230,2019-02-28,14593872600.0,-14494574950.0
034230,2019-03-29,-256299850.0,-6577587600.0
034230,2019-04-30,17037059750.0,-15619300.0
034230,2019-05-31,-3675246050.0,-11946241450.0
034230,2019-06-28,7020583300.0,1559377150.0
034230,2019-07-31,6091030450.0,6188001900.0
034230,2019-08-30,5810415750.0,6174230600.0
034230,2019-09-30,32017121400.0,23463817400.0
034230,2019-10-31,10547985300.0,2597142600.0
034230,2019-11-29,1764748400.0,11200284900.0
034230,2019-12-30,10540182500.0,19635759300.0
034230,2020-01-31,-1944682050.0,-7265086500.0
034230,2020-02-28,-5439985850.0,6598901650.0
034230,2020-03-31,1720485480.0,-14108493540.0
034230,2020-04-29,1098189500.0,4224247150.0
034230,2020-05-29,-18665920750.0,-3244420800.0
034230,2020-06-30,-3074928650.0,-20538071150.0
034230,2020-07-31,6222864800.0,-24940454100.0
034230,2020-08-31,8273362600.0,86244100.0
034230,2020-09-29,16503522600.0,-2920711800.0
034230,2020-10-30,175456500.0,-10691021200.0
034230,2020-11-30,-4051142950.0,19371633800.0
034230,2020-12-30,8621993300.0,2017822800.0
034230,2021-01-29,-2371261300.0,-4428599900.0
034230,2021-02-26,-19770134250.0,17142700750.0
034230,2021-03-31,-8101879350.0,-4994481000.0
034230,2021-04-30,-6517704050.0,6160766350.0
034230,2021-05-31,-11356891000.0,36021955250.0
034230,2021-06-30,879505850.0,-37843559100.0
034230,2021-07-30,-1552888250.0,-29758261400.0
034230,2021-08-31,-6994974500.0,-16916759350.0
034230,2021-09-30,1634243100.0,-14625864800.0
034230,2021-10-29,-11063270250.0,1523677850.0
034230,2021-11-30,-5308090300.0,-16059853150.0
034230,2021-12-30,-659341600.0,2156102900.0
034230,2022-01-28,2652794800.0,5460590800.0
034230,2022-02-28,-4151030850.0,27784553400.0
034230,2022-03-31,1194410800.0,-5637113150.0
034230,2022-04-29,2353245150.0,6500751350.0
034230,2022-05-31,-656305150.0,10597885400.0
034230,2022-06-30,3281250500.0,2654280700.0
034230,2022-07-29,-2215117700.0,-3357575500.0
034230,2022-08-31,1561419750.0,30726153250.0
034230,2022-09-30,1736341250.0,29894216400.0
034230,2022-10-31,1314113500.0,-7921167700.0
034230,2022-11-30,55483925500.0,-6440725650.0
034230,2022-12-29,17476834400.0,18161905400.0
034230,2023-01-31,14479748800.0,6953406080.0
034230,2023-02-28,-1417743080.0,2053154530.0
034230,2023-03-31,-22531937160.0,-16971638980.0
034230,2023-04-28,-4367243000.0,-32759789030.0
034230,2023-05-31,-7951159290.0,-16192235510.0
034230,2023-06-30,-12424188210.0,-11675938130.0
034230,2023-07-31,-5908032720.0,-8919387550.0
034230,2023-08-31,29134632420.0,11938061790.0
034230,2023-09-27,-16594276410.0,12036287540.0
034230,2023-10-31,4845813280.0,522661690.0
034230,2023-11-30,-1023839550.0,-22030634950.0
034230,2023-12-28,2059360150.0,-7798948660.0
034230,2024-01-31,-406102880.0,-13035135370.0
034230,2024-02-29,-5399252510.0,-6944493060.0
034230,2024-03-29,8775916990.0,16083615620.0
034230,2024-04-30,-4983007940.0,30121693500.0
034230,2024-05-31,-5202897460.0,-3884678710.0
034230,2024-06-28,-3288251680.0,1634029180.0
034230,2024-07-31,2968771090.0,-34432575430.0
034230,2024-08-30,-1079243390.0,-4285009460.0
034230,2024-09-30,379056260.0,8185515490.0
034230,2024-10-31,-4996007700.0,-10834288280.0
034230,2024-11-29,-325327460.0,-12519330.0
034230,2024-12-30,-449735270.0,2501237930.0
034230,2025-01-31,1837666780.0,3590829900.0
034230,2025-02-28,-340722150.0,8612741770.0
034230,2025-03-31,-3525534405.0,6100363925.0
034230,2025-04-30,-3939784125.0,19028236750.0
034230,2025-05-30,2366949670.0,6770975270.0
034230,2025-06-30,6008308210.0,12000575935.0
034230,2025-07-31,88246106015.0,4762279935.0
034230,2025-08-29,11981816410.0,57461293115.0
034230,2025-09-30,-28262102055.0,46783980305.0
034230,2025-10-31,22785301025.0,-28753449885.0
034230,2025-11-28,-6519626345.0,18178395765.0
034230,2025-12-30,-16786580710.0,17963966425.0
034230,2026-01-30,-3805107465.0,10883576305.0
034230,2026-02-27,-22274671815.0,61808031600.0
034230,2026-03-31,-38592925790.0,26552159555.0
034230,2026-04-30,-4094464900.0,-45710490300.0
034230,2026-05-29,-14907920900.0,3187001800.0
034230,2026-06-12,4461312225.0,15392848345.0
060300,2019-01-31,-324843960.0,30900.0
060300,2019-02-28,773499870.0,0.0
060300,2019-03-29,627666573.0,1575000.0
060300,2019-04-30,-1092077525.0,0.0
060300,2019-05-31,-138199155.0,-13130.0
060300,2019-06-28,-679956360.0,0.0
060300,2019-07-10,689350997.0,1742500.0
060300,2022-10-31,-37385037.0,-56203622.0
060300,2022-11-03,-1009968.0,-2024.0
060380,2019-01-31,33999120.0,148155.0
060380,2019-02-28,-79563720.0,-1514215.0
060380,2019-03-29,-68701440.0,0.0
060380,2019-04-30,-25295905.0,-28847965.0
060380,2019-05-31,-49887890.0,-10370805.0
060380,2019-06-28,-92088935.0,-9720105.0
060380,2019-07-31,-50156435.0,-1522890.0
060380,2019-08-30,-50774890.0,-282235.0
060380,2019-09-30,14918795.0,-3880420.0
