출발일,code,name,유형,등급,국면,진입월,고점3M,고점6M,고점일수,고점일,고점월,창완결,ex_ret,ex_how,ex_bars,fwd40
1999-07-22,000030,000030,A,B,주의,7,1.6,1.6,5,1999-07-29,7,True,-0.12,트레일,2,-0.4945054945054944
1999-07-22,011160,011160,A,A,주의,7,6.2,6.2,1,1999-07-23,7,True,-0.061422003714629,손절,1,-0.3415929203539823
1999-07-26,004020,현대제철,A,C,실행,7,38.0,38.0,5,1999-08-02,8,True,0.1451127819548872,목표,3,0.2436090225563909
1999-07-26,001200,유진투자증권,A,A,실행,7,40.2,57.7,80,1999-11-17,11,True,0.0850515463917527,목표,2,0.0773195876288661
1999-07-26,000720,현대건설,A,A,실행,7,31.3,31.3,25,1999-08-30,8,True,0.0738569753810081,목표,2,0.0140679953106681
1999-07-26,010520,010520,A,C,실행,7,16.6,16.6,4,1999-07-30,7,True,0.1124999999999998,목표,2,-0.169736842105263
1999-07-26,008980,008980,A,B,실행,7,25.7,25.7,7,1999-08-04,8,True,0.1348511383537654,목표,2,-0.1401050788091068
1999-07-26,008670,008670,A,B,실행,7,21.1,49.8,80,1999-11-17,11,True,0.108416547788873,목표,2,-0.0741797432239658
1999-07-26,009050,009050,A,A,실행,7,31.6,31.6,3,1999-07-29,7,True,0.0965909090909091,목표,2,-0.059090909090909
1999-07-26,007360,007360,A,A,실행,7,13.8,13.8,2,1999-07-28,7,True,-0.05,손절,1,-0.1213389121338912
1999-08-02,007360,007360,A,B,실행,8,23.9,23.9,3,1999-08-05,8,True,0.0779816513761468,목표,2,-0.1330275229357798
1999-08-02,016830,016830,A,B,실행,8,30.4,35.9,77,1999-11-19,11,True,0.0745856353591161,목표,2,-0.0817679558011049
1999-08-16,001200,유진투자증권,A,B,실행,8,39.8,41.7,65,1999-11-17,11,True,-0.05,손절,1,-0.0277777777777777
1999-08-16,015760,한국전력,B,C,실행,8,38.4,41.8,71,1999-11-25,11,True,0.1759943181818182,트레일,28,0.0795454545454545
1999-08-17,015760,한국전력,B,C,실행,8,37.4,40.8,70,1999-11-25,11,True,0.1677009873060648,트레일,27,0.1114245416078985
1999-08-17,001200,유진투자증권,A,B,실행,8,50.2,52.2,64,1999-11-17,11,True,0.0796019900497513,목표,1,0.1542288557213931
1999-08-27,016830,016830,A,A,실행,8,35.2,35.2,58,1999-11-19,11,True,-0.0426373626373626,트레일,19,-0.0549450549450549
1999-09-02,000280,000280,A,A,실행,9,10.6,10.6,5,1999-09-09,9,True,0.0773361976369495,목표,5,-0.3469387755102041
1999-09-02,003450,003450,A,C,실행,9,66.2,66.2,51,1999-11-16,11,True,0.1283783783783783,목표,5,0.0833333333333332
1999-09-02,000720,현대건설,A,A,실행,9,7.6,7.6,2,1999-09-06,9,True,-0.0528395061728396,트레일,11,-0.186307519640853
1999-09-02,006800,미래에셋증권,A,B,실행,9,46.5,46.5,52,1999-11-17,11,True,0.0695538057742781,목표,1,-0.073490813648294
1999-09-02,016360,삼성증권,A,B,실행,9,62.7,62.7,52,1999-11-17,11,True,0.0802005012531328,목표,1,0.1654135338345865
1999-09-27,000120,CJ대한통운,A,C,실행,9,95.8,113.4,65,1999-12-27,12,True,0.084507042253521,목표,1,0.852112676056338
1999-09-30,010130,고려아연,A,B,실행,9,10.0,10.0,15,1999-10-21,10,True,-0.0621138649425287,손절,1,-0.1689655172413793
1999-09-30,030210,다올투자증권,A,C,실행,9,170.0,170.0,34,1999-11-17,11,True,0.1399999999999999,목표,2,1.35
1999-09-30,002550,002550,A,B,실행,9,47.9,47.9,33,1999-11-16,11,True,-0.05,손절,1,0.0903225806451613
1999-09-30,001680,대상,A,B,실행,9,0.9,0.9,3,1999-10-05,10,True,-0.05,손절,1,-0.2962962962962963
1999-10-01,002550,002550,A,A,실행,10,66.7,66.7,32,1999-11-16,11,True,0.1281818181818181,목표,4,0.1418181818181818
1999-10-01,006360,GS건설,A,B,실행,10,28.3,28.3,27,1999-11-09,11,True,0.106951871657754,목표,3,-0.1176470588235294
1999-10-01,010130,고려아연,A,A,실행,10,20.4,20.4,14,1999-10-21,10,True,-0.0566918238993711,손절,3,-0.1320754716981131
1999-10-01,000240,한국앤컴퍼니,A,A,실행,10,29.4,29.4,32,1999-11-16,11,True,0.0716049382716048,목표,4,0.0172839506172839
1999-10-01,001120,LX인터내셔널,A,A,실행,10,24.3,24.3,30,1999-11-12,11,True,-0.0857777777777778,트레일,2,-0.0763888888888888
1999-10-01,025860,남해화학,A,A,실행,10,48.2,48.2,42,1999-11-30,11,True,-0.0560706073960529,손절,2,0.1742671009771985
1999-10-04,001120,LX인터내셔널,A,B,실행,10,30.7,30.7,29,1999-11-12,11,True,-0.05,손절,1,0.0175182481751825
1999-10-04,003480,한진중공업홀딩스,A,C,실행,10,17.6,17.6,7,1999-10-13,10,True,-0.0837777777777778,손절,1,-0.0666666666666666
1999-10-04,000700,유수홀딩스,A,C,실행,10,25.4,25.4,28,1999-11-11,11,True,-0.09665714567984,손절,1,-0.3068247541931753
1999-10-05,003490,대한항공,A,B,실행,10,50.2,50.2,48,1999-12-10,12,True,-0.05,손절,1,0.2334630350194551
1999-10-05,010140,삼성중공업,A,B,실행,10,28.8,28.8,24,1999-11-08,11,True,0.0750688705234159,목표,1,0.0495867768595041
