code,date,mcap
173940,2023-01-31,90706169760.0
173940,2023-02-28,83705358000.0
173940,2023-03-31,80889622900.0
173940,2023-04-28,81194866760.0
173940,2023-05-31,89283829050.0
173940,2023-06-30,126122223800.0
173940,2023-07-31,103051085300.0
173940,2023-08-31,92284554000.0
173940,2023-09-27,87670326300.0
173940,2023-10-31,89823632560.0
173940,2023-11-30,80350457760.0
173940,2023-12-28,77271896160.0
173940,2024-01-31,72346197600.0
173940,2024-02-29,68113175400.0
173940,2024-03-29,66189074400.0
173940,2024-04-30,60493735440.0
173940,2024-05-31,59570166960.0
173940,2024-06-28,52104655080.0
173940,2024-07-31,47871632880.0
173940,2024-08-30,49410913680.0
173940,2024-09-30,55337144760.0
173940,2024-10-31,56491605360.0
173940,2024-11-29,50642338320.0
173940,2024-12-30,42715042200.0
173940,2025-01-31,44254323000.0
173940,2025-02-28,48333417120.0
173940,2025-03-31,43946466840.0
173940,2025-04-30,52951259520.0
173940,2025-05-30,57030353640.0
173940,2025-06-30,58338742320.0
173940,2025-07-31,57953922120.0
173940,2025-08-29,48949129440.0
173940,2025-09-30,47178956520.0
173940,2025-10-31,48102525000.0
173940,2025-11-28,57261245760.0
173940,2025-12-30,63495333000.0
173940,2026-01-30,60262843320.0
173940,2026-02-27,54721432440.0
173940,2026-03-31,57492137880.0
173940,2026-04-30,63264440880.0
173940,2026-05-29,51181086600.0
173940,2026-06-12,45793603800.0
234100,2019-01-31,79795341525.0
234100,2019-02-28,68939593800.0
234100,2019-03-29,57188526675.0
234100,2019-04-30,55397887875.0
234100,2019-05-31,60545974425.0
234100,2019-06-28,63903422175.0
234100,2019-07-31,57860016225.0
234100,2019-08-30,61329378900.0
234100,2019-09-30,55845547575.0
234100,2019-10-31,82593214650.0
234100,2019-11-29,71625552000.0
234100,2019-12-30,63231932625.0
234100,2020-01-31,60993634125.0
234100,2020-02-28,62336613225.0
234100,2020-03-31,40065543150.0
234100,2020-04-29,54390653550.0
234100,2020-05-29,67807431700.0
234100,2020-06-30,99022232155.0
234100,2020-07-31,182214441080.0
234100,2020-08-31,144959588120.0
234100,2020-09-29,106033043040.0
234100,2020-10-30,104837455215.0
234100,2020-11-30,117925776715.0
234100,2020-12-30,129705266065.0
234100,2021-01-29,140107484620.0
234100,2021-02-26,188166519820.0
234100,2021-03-31,202229199150.0
234100,2021-04-30,181287381000.0
234100,2021-05-31,175973785350.0
234100,2021-06-30,184100461050.0
234100,2021-07-30,168659154600.0
234100,2021-08-31,159038298250.0
234100,2021-09-30,199886029590.0
234100,2021-10-29,195868219950.0
234100,2021-11-30,133424761795.0
234100,2021-12-30,142297424750.0
234100,2022-01-28,117018705765.0
234100,2022-02-28,114674983475.0
234100,2022-03-31,135768484085.0
234100,2022-04-29,119697245525.0
234100,2022-05-31,100110423530.0
234100,2022-06-30,70311668700.0
234100,2022-07-29,81025827740.0
234100,2022-08-31,108704367500.0
234100,2022-09-30,88083275475.0
234100,2022-10-31,93603480750.0
234100,2022-11-30,99363694950.0
234100,2022-12-29,88563293325.0
234100,2023-01-31,100323730650.0
234100,2023-02-28,101523775275.0
234100,2023-03-31,114048355360.0
234100,2023-04-28,108664098240.0
234100,2023-05-31,112824660560.0
234100,2023-06-30,113173323900.0
234100,2023-07-31,107058168560.0
234100,2023-08-31,107927676528.0
234100,2023-09-27,94830712760.0
234100,2023-10-31,100373826056.0
234100,2023-11-30,99178252600.0
234100,2023-12-28,99232596848.0
234100,2024-01-31,99721695080.0
234100,2024-02-29,106514726080.0
234100,2024-03-29,103851857928.0
234100,2024-04-30,99449973840.0
234100,2024-05-31,98037023392.0
234100,2024-06-28,93363418064.0
234100,2024-07-31,82548912712.0
234100,2024-08-30,78038340128.0
234100,2024-09-30,73294597911.0
234100,2024-10-31,68560648380.0
234100,2024-11-29,63173740293.0
234100,2024-12-30,59528055022.0
234100,2025-01-31,72469903450.0
234100,2025-02-28,72732000750.0
234100,2025-03-31,67555579075.0
234100,2025-04-30,69128162875.0
234100,2025-05-30,67555579075.0
234100,2025-06-30,89637276600.0
234100,2025-07-31,93636221427.0
234100,2025-08-29,89002429310.0
234100,2025-09-30,82450398600.0
234100,2025-10-31,83011763016.0
234100,2025-11-28,77538459960.0
234100,2025-12-30,73638735265.0
234100,2026-01-30,86371367660.0
234100,2026-02-27,80141301796.0
234100,2026-03-31,71477397738.0
234100,2026-04-30,74468346660.0
234100,2026-05-29,53734020480.0
234100,2026-06-12,43950924360.0
040420,2019-01-31,109429312960.0
040420,2019-02-28,110369966080.0
040420,2019-03-29,112094496800.0
040420,2019-04-30,114132578560.0
040420,2019-05-31,121344252480.0
040420,2019-06-28,122912007680.0
040420,2019-07-31,115857109280.0
040420,2019-08-30,117895191040.0
040420,2019-09-30,119462946240.0
040420,2019-10-31,122128130080.0
040420,2019-11-29,122912007680.0
040420,2019-12-30,118679068640.0
040420,2020-01-31,116797762400.0
040420,2020-02-28,109429312960.0
040420,2020-03-31,100336332800.0
040420,2020-04-29,100649883840.0
040420,2020-05-29,99082128640.0
040420,2020-06-30,91870454720.0
040420,2020-07-31,92027230240.0
040420,2020-08-31,94692414080.0
040420,2020-09-29,95319516160.0
040420,2020-10-30,97984700000.0
040420,2020-11-30,104569271840.0
040420,2020-12-30,98768577600.0
040420,2021-01-29,94222087520.0
040420,2021-02-26,96103393760.0
040420,2021-03-31,101747312480.0
040420,2021-04-30,105666700480.0
040420,2021-05-31,116954537920.0
040420,2021-06-30,116954537920.0
040420,2021-07-30,112094496800.0
040420,2021-08-31,113348700960.0
040420,2021-09-30,114602905120.0
040420,2021-10-29,118992619680.0
040420,2021-11-30,120560374880.0
040420,2021-12-30,113975803040.0
040420,2022-01-28,114289354080.0
040420,2022-02-28,122128130080.0
040420,2022-03-31,119776497280.0
040420,2022-04-29,119619721760.0
040420,2022-05-31,122128130080.0
040420,2022-06-30,115230007200.0
040420,2022-07-29,118051966560.0
040420,2022-08-31,119776497280.0
040420,2022-09-30,114602905120.0
040420,2022-10-31,116484211360.0
040420,2022-11-30,117738415520.0
040420,2022-12-29,111937721280.0
040420,2023-01-31,113035149920.0
040420,2023-02-28,113662252000.0
040420,2023-03-31,111310619200.0
040420,2023-04-28,112878374400.0
040420,2023-05-31,113819027520.0
040420,2023-06-30,113819027520.0
040420,2023-07-31,111467394720.0
040420,2023-08-31,112094496800.0
040420,2023-09-27,113348700960.0
040420,2023-10-31,112251272320.0
040420,2023-11-30,114289354080.0
040420,2023-12-28,109742864000.0
040420,2024-01-31,108488659840.0
040420,2024-02-29,108331884320.0
040420,2024-03-29,108488659840.0
040420,2024-04-30,107861557760.0
040420,2024-05-31,104882822880.0
040420,2024-06-28,102844741120.0
040420,2024-07-31,103942169760.0
040420,2024-08-30,102217639040.0
040420,2024-09-30,100963434880.0
040420,2024-10-31,103471843200.0
040420,2024-11-29,103315067680.0
040420,2024-12-30,95476291680.0
040420,2025-01-31,90616250560.0
040420,2025-02-28,89048495360.0
040420,2025-03-31,87794291200.0
040420,2025-04-30,91243352640.0
040420,2025-05-30,95005965120.0
040420,2025-06-30,97357597920.0
040420,2025-07-31,100336332800.0
040420,2025-08-29,100336332800.0
040420,2025-09-30,99395679680.0
040420,2025-10-31,97671148960.0
040420,2025-11-28,102374414560.0
040420,2025-12-30,93908536480.0
040420,2026-01-30,91086577120.0
040420,2026-02-27,91556903680.0
040420,2026-03-31,90616250560.0
040420,2026-04-30,94222087520.0
040420,2026-05-29,89205270880.0
040420,2026-06-12,89675597440.0
228340,2019-01-31,112000000000.0
228340,2019-02-28,108600000000.0
228340,2019-03-29,106800000000.0
228340,2019-04-30,121400000000.0
228340,2019-05-31,105600000000.0
228340,2019-06-28,119200000000.0
228340,2019-07-31,112000000000.0
228340,2019-08-30,86000000000.0
228340,2019-09-30,80000000000.0
228340,2019-10-31,72000000000.0
228340,2019-11-29,69600000000.0
228340,2019-12-30,62400000000.0
228340,2020-01-31,61500000000.0
228340,2020-02-28,49800000000.0
228340,2020-03-31,53700000000.0
228340,2020-04-29,58000000000.0
228340,2020-05-29,51100000000.0
228340,2020-06-30,41400000000.0
228340,2020-07-31,47200000000.0
228340,2020-08-31,48800000000.0
228340,2020-09-29,53000000000.0
228340,2020-10-30,57200000000.0
228340,2020-11-30,67500000000.0
228340,2020-12-30,64000000000.0
228340,2021-01-29,79900000000.0
228340,2021-02-26,103400000000.0
228340,2021-03-31,142000000000.0
228340,2021-04-30,132400000000.0
228340,2021-05-31,144400000000.0
228340,2021-06-30,131400000000.0
228340,2021-07-30,130600000000.0
228340,2021-08-31,111200000000.0
228340,2021-09-30,100800000000.0
228340,2021-10-29,92900000000.0
228340,2021-11-30,73000000000.0
228340,2021-12-30,84600000000.0
228340,2022-01-28,84100000000.0
228340,2022-02-28,85900000000.0
228340,2022-03-31,108200000000.0
228340,2022-04-29,96700000000.0
228340,2022-05-31,83000000000.0
228340,2022-06-30,73500000000.0
228340,2022-07-29,72200000000.0
228340,2022-08-31,70800000000.0
228340,2022-09-30,51400000000.0
228340,2022-10-31,68100000000.0
228340,2022-11-30,77600000000.0
228340,2022-12-29,61400000000.0
228340,2023-01-31,68500000000.0
228340,2023-02-28,69200000000.0
228340,2023-03-31,64900000000.0
228340,2023-04-28,60100000000.0
228340,2023-05-31,62900000000.0
228340,2023-06-30,67500000000.0
228340,2023-07-31,60200000000.0
228340,2023-08-31,60000000000.0
228340,2023-09-27,56200000000.0
228340,2023-10-31,50500000000.0
228340,2023-11-30,56600000000.0
228340,2023-12-28,50100000000.0
228340,2024-01-31,42400000000.0
228340,2024-02-29,45500000000.0
228340,2024-03-29,44000000000.0
228340,2024-04-30,45800000000.0
228340,2024-05-31,43500000000.0
228340,2024-06-28,43900000000.0
228340,2024-07-31,43900000000.0
228340,2024-08-30,44100000000.0
228340,2024-09-30,41900000000.0
228340,2024-10-31,39980000000.0
228340,2024-11-29,36200000000.0
228340,2024-12-30,35240000000.0
228340,2025-01-31,34760000000.0
228340,2025-02-28,34400000000.0
228340,2025-03-31,35080000000.0
228340,2025-04-30,35720000000.0
228340,2025-05-30,36740000000.0
228340,2025-06-30,41100000000.0
228340,2025-07-31,39860000000.0
228340,2025-08-29,37940000000.0
228340,2025-09-30,35020000000.0
228340,2025-10-31,34240000000.0
228340,2025-11-28,32340000000.0
228340,2025-12-30,38200000000.0
228340,2026-01-30,35200000000.0
228340,2026-02-27,47500000000.0
228340,2026-03-31,40600000000.0
228340,2026-04-30,43700000000.0
228340,2026-05-29,38160000000.0
228340,2026-06-12,33980000000.0
265480,2019-01-31,9994600000.0
265480,2019-02-28,10018800000.0
265480,2019-03-29,10164000000.0
265480,2019-04-30,10406000000.0
265480,2019-05-31,10575400000.0
265480,2019-06-28,10648000000.0
265480,2019-07-31,10986800000.0
265480,2019-08-30,10502800000.0
265480,2019-09-30,10478600000.0
265480,2019-10-31,10091400000.0
265480,2019-11-29,9922000000.0
265480,2019-12-30,9897800000.0
265480,2020-01-02,9922000000.0
041020,2019-01-31,55820108400.0
041020,2019-02-28,53385003000.0
041020,2019-03-29,41771423400.0
