date,code,name,시장,신호,미달,cum2,gap240,top5,mcap,카드,ex_how,ex_bars,이단,fwd40,date_dt,date_ix,국면,연,G_지수K,G_폭Q,G_폭K
1997-10-08,005935,삼성전자우,KOSPI,A,,-0.1238670694864048,-0.0212071778140292,-0.5797101449275361,778925720200.0,-0.0500000000000001,손절,1,-0.0500000000000001,-0.4862068965517241,1997-10-08,1997-10-08,실행,1997,실행,?,?
1997-10-09,005490,POSCO홀딩스,KOSPI,S2,"2일누적,5년고점",-0.1048689138576779,-0.0456541993877278,-0.2865671641791044,5277281722000.0,0.0585774058577406,목표,3,0.0438493723849372,0.0899581589958158,1997-10-09,1997-10-09,실행,1997,실행,?,?
1997-10-16,010140,삼성중공업,KOSPI,A,,-0.1527638190954774,-0.0945909056328511,-0.5763819095477387,775582825500.0,-0.05,손절,1,-0.05,-0.4483985765124555,1997-10-16,1997-10-16,실행,1997,실행,?,?
1997-10-16,005060,005060,KOSPI,S2,시총,-0.1326530612244898,-0.0789610319248359,-0.3884892086330935,278923829600.0,-0.0640941176470587,트레일,3,-0.0640941176470587,-0.4905882352941176,1997-10-16,1997-10-16,실행,1997,실행,?,?
1997-10-16,001830,001830,KOSPI,S2,2일누적,-0.1068702290076335,-0.0677352740021646,-0.3842105263157894,444964462800.0,-0.05,손절,1,-0.05,-0.3957264957264957,1997-10-16,1997-10-16,실행,1997,실행,?,?
1997-10-16,003550,LG,KOSPI,S2,5년고점,-0.1333333333333334,0.0388188245217475,-0.2865853658536585,1119083263200.0,-0.0567393162393162,손절,1,-0.0567393162393162,-0.2683760683760684,1997-10-16,1997-10-16,실행,1997,실행,?,?
1997-10-17,009540,HD한국조선해양,KOSDAQ,S2,"2일누적,5년고점",-0.1193548387096774,0.01597146844472,-0.2661290322580645,1424609868000.0,-0.0552197802197802,손절,1,-0.0552197802197802,-0.3406593406593406,1997-10-17,1997-10-17,실행,1997,실행,?,?
1997-10-17,002610,002610,KOSPI,A,,-0.1212121212121213,0.0497737556561084,-0.4746376811594203,1544897988000.0,-0.0807931034482759,손절,1,-0.0807931034482759,-0.2068965517241379,1997-10-17,1997-10-17,실행,1997,실행,?,?
1997-10-20,009540,HD한국조선해양,KOSDAQ,A,,-0.1293706293706293,-0.0727408142999006,-0.3306451612903226,1424609868000.0,-0.05,손절,1,-0.05,-0.1606425702811245,1997-10-20,1997-10-20,실행,1997,실행,?,?
1997-10-20,002610,002610,KOSPI,A,,-0.1381578947368421,-0.0513833992094862,-0.5253623188405798,1544897988000.0,0.0801526717557252,목표,3,0.0400763358778626,0.0152671755725191,1997-10-20,1997-10-20,실행,1997,실행,?,?
1997-10-27,003550,LG,KOSPI,S2,"2일누적,5년고점",-0.1136363636363637,0.0330289674860755,-0.2865853658536585,1119083263200.0,-0.0567393162393162,손절,1,-0.0567393162393162,-0.347008547008547,1997-10-27,1997-10-27,실행,1997,실행,?,?
1997-10-27,006800,미래에셋증권,KOSPI,A,,-0.1450381679389313,-0.1011296072123648,-0.5708812260536398,680810083200.0,-0.0584821428571428,손절,1,-0.0584821428571428,-0.3053571428571429,1997-10-27,1997-10-27,실행,1997,실행,?,?
1997-10-27,005940,NH투자증권,KOSPI,S2,2일누적,-0.1140350877192983,0.0245702426591485,-0.4873096446700508,433849640400.0,-0.0727819719471947,손절,1,-0.0727819719471947,-0.389108910891089,1997-10-27,1997-10-27,실행,1997,실행,?,?
1997-10-27,005490,POSCO홀딩스,KOSPI,S2,5년고점,-0.1315315315315315,-0.0450481686024913,-0.2805970149253731,5277281722000.0,-0.0559128630705394,손절,1,-0.0559128630705394,-0.1016597510373443,1997-10-27,1997-10-27,실행,1997,실행,?,?
1997-10-28,002000,002000,KOSPI,S2,시총,-0.144927536231884,-0.0410402275497765,-0.3678571428571429,261651670000.0,-0.05,손절,2,-0.05,-0.096045197740113,1997-10-28,1997-10-28,실행,1997,실행,?,?
1997-10-28,003550,LG,KOSPI,S2,2일누적,-0.1129032258064515,-0.0291512060222043,-0.3292682926829268,1119083263200.0,0.0636363636363634,목표,1,0.0318181818181817,-0.3572727272727273,1997-10-28,1997-10-28,실행,1997,실행,?,?
