date,code,slot,open,high,low,close,volume
2026-07-23,251630,PM,3610.0,3640.0,3575.0,3640.0,1752
2026-07-23,011690,AM,3250.0,3365.0,3240.0,3290.0,41626
2026-07-23,011690,PM,3290.0,3350.0,3265.0,3350.0,25267
2026-07-23,065680,AM,25750.0,25750.0,24700.0,25000.0,3816
2026-07-23,065680,PM,25050.0,27500.0,24900.0,27200.0,8747
2026-07-23,125210,AM,5700.0,5800.0,5640.0,5770.0,27519
2026-07-23,125210,PM,5770.0,5900.0,5770.0,5900.0,9679
2026-07-23,091580,AM,14130.0,14290.0,13860.0,14190.0,29913
2026-07-23,091580,PM,14230.0,15130.0,14230.0,15130.0,31247
2026-07-23,192650,AM,4260.0,4320.0,4225.0,4295.0,50789
2026-07-23,192650,PM,4290.0,4440.0,4275.0,4435.0,23422
2026-07-23,340570,AM,52600.0,56100.0,52300.0,55700.0,13173
2026-07-23,340570,PM,55800.0,56100.0,55000.0,55600.0,14234
2026-07-23,115440,AM,6980.0,7020.0,6800.0,6930.0,9273
2026-07-23,115440,PM,6930.0,7060.0,6910.0,7060.0,10551
2026-07-23,105840,AM,14160.0,14460.0,13900.0,14230.0,24863
2026-07-23,105840,PM,14220.0,14740.0,14210.0,14720.0,21776
2026-07-23,211270,AM,7580.0,7700.0,7430.0,7680.0,22093
2026-07-23,211270,PM,7680.0,7840.0,7640.0,7780.0,11636
2026-07-23,084850,AM,8020.0,8050.0,7900.0,8030.0,7391
2026-07-23,084850,PM,8030.0,8380.0,7980.0,8350.0,11233
2026-07-23,053080,AM,8480.0,8550.0,8300.0,8440.0,12111
2026-07-23,053080,PM,8450.0,8550.0,8440.0,8540.0,3870
2026-07-23,050890,AM,9390.0,9520.0,9310.0,9490.0,162542
2026-07-23,050890,PM,9480.0,9610.0,9460.0,9610.0,105733
2026-07-23,006400,AM,433000.0,440500.0,430000.0,439500.0,79292
2026-07-23,006400,PM,439500.0,467000.0,439500.0,467000.0,175206
2026-07-23,090460,AM,17630.0,17930.0,17600.0,17810.0,87880
2026-07-23,090460,PM,17800.0,18130.0,17800.0,18100.0,34678
2026-07-23,101170,AM,7750.0,7820.0,7460.0,7770.0,33842
2026-07-23,101170,PM,7670.0,7910.0,7670.0,7840.0,17689
2026-07-23,382800,AM,4165.0,4180.0,4065.0,4145.0,31432
2026-07-23,382800,PM,4145.0,4325.0,4125.0,4295.0,79969
2026-07-23,376300,AM,19760.0,20500.0,19610.0,20350.0,11672
2026-07-23,376300,PM,20400.0,20600.0,20150.0,20450.0,8771
2026-07-23,079940,AM,47450.0,47600.0,47450.0,47600.0,15695
2026-07-23,079940,PM,47600.0,47600.0,47500.0,47550.0,13680
2026-07-23,297090,AM,3800.0,3925.0,3785.0,3915.0,35846
2026-07-23,297090,PM,3915.0,4015.0,3915.0,4015.0,44671
2026-07-23,037460,AM,35800.0,36200.0,35250.0,36000.0,16392
2026-07-23,037460,PM,36150.0,36600.0,36150.0,36600.0,8660
2026-07-23,100590,AM,3200.0,3240.0,3120.0,3220.0,32744
2026-07-23,100590,PM,3210.0,3380.0,3190.0,3340.0,107859
2026-07-23,361390,AM,12730.0,12920.0,12550.0,12690.0,8330
2026-07-23,361390,PM,12700.0,13200.0,12700.0,13160.0,2872
2026-07-23,180640,AM,103800.0,106300.0,103000.0,106200.0,25676
2026-07-23,180640,PM,106000.0,106000.0,104900.0,104900.0,26043
2026-07-23,018880,AM,3645.0,3720.0,3645.0,3720.0,1393939
2026-07-23,018880,PM,3715.0,3790.0,3715.0,3790.0,869939
2026-07-23,078150,AM,1866.0,1881.0,1835.0,1872.0,135329
2026-07-23,078150,PM,1873.0,1903.0,1873.0,1902.0,59727
2026-07-23,241770,AM,30550.0,30850.0,29500.0,30700.0,2616
2026-07-23,241770,PM,30700.0,32800.0,30600.0,31800.0,2559
2026-07-23,441270,AM,6830.0,6840.0,6620.0,6820.0,38122
2026-07-23,441270,PM,6820.0,6890.0,6760.0,6860.0,37698
2026-07-23,061970,AM,4125.0,4245.0,4105.0,4235.0,103491
2026-07-23,061970,PM,4235.0,4235.0,4130.0,4175.0,13170
2026-07-23,114810,AM,12030.0,12200.0,11590.0,11890.0,47090
2026-07-23,114810,PM,11870.0,12010.0,11790.0,11800.0,66793
2026-07-23,140670,AM,9350.0,9430.0,9100.0,9390.0,28129
2026-07-23,140670,PM,9390.0,9480.0,9350.0,9480.0,8184
2026-07-23,378340,AM,10320.0,10360.0,10120.0,10300.0,15189
2026-07-23,378340,PM,10330.0,10590.0,10330.0,10550.0,4983
2026-07-23,052400,AM,40700.0,42000.0,40200.0,41050.0,17571
2026-07-23,052400,PM,41050.0,41350.0,40500.0,41350.0,7120
2026-07-23,172670,AM,8560.0,8720.0,8360.0,8550.0,15383
2026-07-23,172670,PM,8550.0,8790.0,8550.0,8700.0,10214
2026-07-23,036810,AM,20750.0,20950.0,19920.0,20500.0,24690
2026-07-23,036810,PM,20400.0,20900.0,20350.0,20900.0,24712
2026-07-23,123860,AM,12530.0,12550.0,12310.0,12360.0,6621
2026-07-23,123860,PM,12360.0,12550.0,12360.0,12400.0,4878
2026-07-23,131390,AM,0.0,0.0,0.0,0.0,0
2026-07-23,131390,PM,0.0,0.0,0.0,0.0,0
2026-07-23,336370,AM,7210.0,7300.0,7060.0,7210.0,24900
2026-07-23,336370,PM,7210.0,7370.0,7190.0,7320.0,17892
2026-07-23,289930,AM,7090.0,7140.0,6900.0,7130.0,17488
2026-07-23,289930,PM,7100.0,7220.0,7100.0,7200.0,9186
2026-07-23,097230,AM,15270.0,15630.0,15200.0,15620.0,121198
2026-07-23,097230,PM,15610.0,15990.0,15610.0,15920.0,115244
2026-07-23,121600,AM,42300.0,42800.0,41800.0,42800.0,8660
2026-07-23,121600,PM,42750.0,44650.0,42750.0,44650.0,16285
2026-07-23,039440,AM,23100.0,23425.0,22250.0,23050.0,31517
2026-07-23,039440,PM,23050.0,23800.0,22900.0,23700.0,14794
2026-07-23,110990,AM,17470.0,17650.0,17080.0,17470.0,19803
2026-07-23,110990,PM,17440.0,17660.0,17330.0,17660.0,12545
2026-07-23,046890,AM,8990.0,9020.0,8790.0,8990.0,83211
2026-07-23,046890,PM,8990.0,9200.0,8990.0,9200.0,46835
2026-07-23,129920,AM,4370.0,4400.0,4150.0,4195.0,36121
2026-07-23,129920,PM,4195.0,4300.0,4185.0,4280.0,8932
2026-07-23,149950,AM,8830.0,9170.0,8830.0,9090.0,17581
2026-07-23,149950,PM,9140.0,9610.0,9080.0,9570.0,44234
2026-07-23,383310,AM,25350.0,26000.0,24950.0,25250.0,55426
2026-07-23,383310,PM,25300.0,25650.0,25200.0,25600.0,18249
2026-07-23,072950,AM,7310.0,7410.0,7100.0,7310.0,28557
2026-07-23,072950,PM,7260.0,7370.0,7260.0,7370.0,15775
2026-07-23,036200,AM,7750.0,7810.0,7550.0,7770.0,60948
2026-07-23,036200,PM,7780.0,7900.0,7750.0,7870.0,27296
2026-07-23,006260,AM,300000.0,312000.0,299500.0,311500.0,42818
2026-07-23,006260,PM,311500.0,323500.0,311500.0,321500.0,41457
2026-07-23,061090,AM,45200.0,46050.0,44200.0,44500.0,12549
2026-07-23,061090,PM,44500.0,45150.0,44500.0,45000.0,4597
2026-07-23,272110,AM,28450.0,28650.0,27300.0,27850.0,5161
2026-07-23,272110,PM,27800.0,28900.0,27600.0,28500.0,7518
2026-07-23,038880,AM,3815.0,3915.0,3750.0,3830.0,10258
2026-07-23,038880,PM,3830.0,3830.0,3750.0,3800.0,5575
2026-07-23,146320,AM,9960.0,10110.0,9860.0,10040.0,4877
2026-07-23,146320,PM,10050.0,10150.0,10050.0,10140.0,1481
2026-07-23,036090,AM,1294.0,1305.0,1278.0,1293.0,91700
2026-07-23,036090,PM,1293.0,1315.0,1287.0,1315.0,100733
2026-07-23,005070,AM,37000.0,37350.0,36400.0,37250.0,26713
2026-07-23,005070,PM,37200.0,38750.0,37200.0,38750.0,24816
2026-07-23,020150,AM,30850.0,31250.0,30400.0,31250.0,28482
2026-07-23,020150,PM,31250.0,33200.0,31250.0,33150.0,36853
2026-07-23,036010,AM,6010.0,6060.0,5800.0,5940.0,32196
2026-07-23,036010,PM,5940.0,6260.0,5940.0,6220.0,20958
2026-07-23,241710,AM,78300.0,85300.0,77900.0,84800.0,31790
2026-07-23,241710,PM,84800.0,84800.0,82300.0,83400.0,16532
2026-07-23,092220,AM,2585.0,2615.0,2535.0,2590.0,59724
2026-07-23,092220,PM,2590.0,2645.0,2585.0,2645.0,47481
2026-07-23,377300,AM,42850.0,45200.0,42500.0,43000.0,305698
2026-07-23,377300,PM,42950.0,43450.0,42850.0,43350.0,51786
2026-07-23,217190,AM,5320.0,5360.0,5100.0,5260.0,14346
2026-07-23,217190,PM,5230.0,5370.0,5230.0,5340.0,11342
2026-07-23,053610,AM,65800.0,66100.0,62300.0,64000.0,2711
2026-07-23,053610,PM,63900.0,65800.0,63700.0,65200.0,9931
2026-07-23,272210,AM,63700.0,66400.0,63300.0,66400.0,167104
2026-07-23,272210,PM,66500.0,69700.0,66500.0,69700.0,309500
2026-07-23,215100,AM,4115.0,4180.0,3960.0,4055.0,89116
2026-07-23,215100,PM,4045.0,4050.0,3995.0,4035.0,37290
2026-07-23,075580,AM,11600.0,12050.0,11600.0,12050.0,103967
2026-07-23,075580,PM,12040.0,12300.0,12000.0,12300.0,44087
2026-07-23,036170,AM,2785.0,2820.0,2735.0,2795.0,71412
2026-07-23,036170,PM,2795.0,2800.0,2770.0,2785.0,45342
2026-07-23,402490,AM,7020.0,7140.0,6860.0,7060.0,32701
2026-07-23,402490,PM,7050.0,7240.0,7050.0,7230.0,16355
2026-07-23,083500,AM,13770.0,13770.0,13100.0,13390.0,19913
2026-07-23,083500,PM,13390.0,13480.0,13290.0,13480.0,12120
2026-07-23,214430,AM,62300.0,62600.0,61400.0,62500.0,4071
2026-07-23,214430,PM,62300.0,63600.0,61600.0,63600.0,7180
2026-07-23,357580,AM,5570.0,5730.0,5540.0,5680.0,6796
2026-07-23,357580,PM,5650.0,5890.0,5650.0,5890.0,6735
2026-07-23,092870,AM,15510.0,15930.0,14990.0,15360.0,46340
2026-07-23,092870,PM,15380.0,15680.0,15380.0,15680.0,20994
2026-07-23,144960,AM,10160.0,10460.0,9210.0,9330.0,566845
2026-07-23,144960,PM,9330.0,10050.0,9330.0,10020.0,252353
2026-07-23,450080,AM,35250.0,35850.0,35000.0,35850.0,90703
2026-07-23,450080,PM,35850.0,37050.0,35850.0,37050.0,62871
2026-07-23,094360,AM,10310.0,10460.0,10120.0,10370.0,12631
2026-07-23,094360,PM,10370.0,10530.0,10320.0,10480.0,11818
2026-07-23,381620,AM,6280.0,6340.0,6040.0,6140.0,59439
2026-07-23,381620,PM,6150.0,6270.0,6120.0,6240.0,26473
2026-07-23,065770,AM,1669.0,1720.0,1600.0,1643.0,46637
2026-07-23,065770,PM,1643.0,1643.0,1596.0,1638.0,9271
2026-07-23,014680,AM,230500.0,238000.0,228500.0,238000.0,9447
2026-07-23,014680,PM,237500.0,238500.0,234000.0,236000.0,7811
2026-07-23,079900,AM,31950.0,32750.0,31900.0,32750.0,15150
2026-07-23,079900,PM,32650.0,33500.0,32650.0,33500.0,10353
2026-07-23,005290,AM,44900.0,44900.0,42950.0,44850.0,94189
2026-07-23,005290,PM,44650.0,45450.0,44650.0,45400.0,75691
2026-07-23,232140,AM,9480.0,9620.0,9320.0,9590.0,170045
2026-07-23,232140,PM,9570.0,9710.0,9560.0,9710.0,138418
2026-07-23,209640,AM,3100.0,3135.0,3035.0,3110.0,41757
2026-07-23,209640,PM,3110.0,3170.0,3100.0,3165.0,24292
2026-07-23,290550,AM,24100.0,24100.0,22800.0,23100.0,56696
2026-07-23,290550,PM,23100.0,23375.0,23000.0,23050.0,47140
2026-07-23,047040,AM,15310.0,15710.0,15220.0,15560.0,1108693
2026-07-23,047040,PM,15540.0,16340.0,15540.0,16340.0,1312230
2026-07-23,009520,AM,10590.0,10700.0,10490.0,10700.0,52702
2026-07-23,009520,PM,10660.0,10930.0,10660.0,10900.0,26496
2026-07-23,033160,AM,15990.0,15990.0,15220.0,15760.0,149088
2026-07-23,033160,PM,15740.0,16350.0,15740.0,16350.0,118900
2026-07-23,091440,AM,3235.0,3275.0,3095.0,3155.0,77529
2026-07-23,091440,PM,3150.0,3250.0,3125.0,3240.0,43515
2026-07-23,101490,AM,40650.0,41100.0,39700.0,40900.0,36097
2026-07-23,101490,PM,40750.0,41700.0,40700.0,41700.0,36938
2026-07-23,025320,AM,3535.0,3595.0,3495.0,3595.0,174795
2026-07-23,025320,PM,3595.0,3690.0,3580.0,3690.0,114256
2026-07-23,065350,AM,26900.0,27550.0,26850.0,27500.0,45056
2026-07-23,065350,PM,27500.0,28150.0,27500.0,28150.0,25060
