출발일,code,유형,시장,창완결_40,창완결_126,cum2,gap240,atr_pct,목표거리,P0,P0_봉,P0_사유,P1,P1_봉,보유40,R_s95_t8_h,R_s95_t8_h_봉,R_s95_t8_t,R_s95_t8_t_봉,R_s95_t8_u,R_s95_t8_u_봉,R_s95_t8_n,R_s95_t8_n_봉,R_s95_t12_h,R_s95_t12_h_봉,R_s95_t12_t,R_s95_t12_t_봉,R_s95_t12_u,R_s95_t12_u_봉,R_s95_t12_n,R_s95_t12_n_봉,R_s95_t20_h,R_s95_t20_h_봉,R_s95_t20_t,R_s95_t20_t_봉,R_s95_t20_u,R_s95_t20_u_봉,R_s95_t20_n,R_s95_t20_n_봉,R_s97_t8_h,R_s97_t8_h_봉,R_s97_t8_t,R_s97_t8_t_봉,R_s97_t8_u,R_s97_t8_u_봉,R_s97_t8_n,R_s97_t8_n_봉,R_s97_t12_h,R_s97_t12_h_봉,R_s97_t12_t,R_s97_t12_t_봉,R_s97_t12_u,R_s97_t12_u_봉,R_s97_t12_n,R_s97_t12_n_봉,R_s97_t20_h,R_s97_t20_h_봉,R_s97_t20_t,R_s97_t20_t_봉,R_s97_t20_u,R_s97_t20_u_봉,R_s97_t20_n,R_s97_t20_n_봉,R_s92_t8_h,R_s92_t8_h_봉,R_s92_t8_t,R_s92_t8_t_봉,R_s92_t8_u,R_s92_t8_u_봉,R_s92_t8_n,R_s92_t8_n_봉,R_s92_t12_h,R_s92_t12_h_봉,R_s92_t12_t,R_s92_t12_t_봉,R_s92_t12_u,R_s92_t12_u_봉,R_s92_t12_n,R_s92_t12_n_봉,R_s92_t20_h,R_s92_t20_h_봉,R_s92_t20_t,R_s92_t20_t_봉,R_s92_t20_u,R_s92_t20_u_봉,R_s92_t20_n,R_s92_t20_n_봉,Q_t8_be,Q_t8_tr,Q_t12_be,Q_t12_tr,Q_t20_be,Q_t20_tr,연
2008-01-29,000370,A,KOSPI,True,True,-0.125,0.05789503143832664,0.10092592592592593,0.07142857142857142,-0.059751322751322666,1,손절,-0.059751322751322666,1,-0.11375661375661372,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.059751322751322666,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.039956613756613746,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.08944338624338621,1,-0.059751322751322666,-0.059751322751322666,-0.059751322751322666,-0.059751322751322666,-0.059751322751322666,-0.059751322751322666,2008
2008-12-01,004970,S2a,KOSPI,True,True,-0.12068965517241381,-0.03348378558501086,0.08070588235294118,0.06862745098039216,-0.06305163398692804,4,손절,-0.06305163398692804,4,-0.05882352941176472,-0.043921568627451,2,-0.043921568627451,2,-0.043921568627451,2,-0.043921568627451,2,-0.06305163398692804,4,-0.06305163398692804,4,-0.06305163398692804,4,-0.06305163398692804,4,-0.06305163398692804,4,-0.06305163398692804,4,-0.06305163398692804,4,-0.06305163398692804,4,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.04332640522875819,2,-0.043921568627451,2,-0.043921568627451,2,-0.043921568627451,2,-0.043921568627451,2,-0.07168627450980392,9,0.045751633986928164,7,-0.07168627450980392,9,-0.07168627450980392,9,-0.09263947712418286,9,0.045751633986928164,7,-0.09263947712418286,9,-0.09263947712418286,9,-0.06305163398692804,-0.06305163398692804,-0.06305163398692804,-0.06305163398692804,-0.06305163398692804,-0.06305163398692804,2008
2008-12-02,004970,S2a,KOSPI,True,True,-0.125,-0.07229474521237822,0.08522448979591837,0.07142857142857142,0.0714285714285714,4,목표,0.0357142857142857,5,0.004081632653061273,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,0.010122448979591914,7,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,-0.033795918367346967,8,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,-0.05387755102040814,8,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,0.010122448979591914,7,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,-0.033795918367346967,8,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,-0.033959183673469395,8,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,0.010122448979591914,7,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,-0.033795918367346967,8,0.0714285714285714,4,0.04761904761904767,4,0.09523809523809512,6,-0.08375510204081638,8,0.0357142857142857,0.040775510204081655,0.0357142857142857,0.018816326530612215,0.0357142857142857,-0.025102040816326554,2008
2018-10-04,004170,A,KOSPI,True,True,-0.16506189821182948,-0.08476365189857504,0.05411861614497529,0.09884678747940692,-0.06252059308072488,4,손절,-0.06252059308072488,4,-0.041186161449752845,-0.04362438220757825,4,-0.04362438220757825,4,-0.04362438220757825,4,-0.04362438220757825,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.06252059308072488,4,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04278418451400334,1,-0.04362438220757825,4,-0.04362438220757825,4,-0.04362438220757825,4,-0.04362438220757825,4,-0.08520593080724881,10,-0.08520593080724881,10,-0.08520593080724881,10,-0.08520593080724881,10,-0.0921252059308072,10,-0.0921252059308072,10,-0.0921252059308072,10,-0.0921252059308072,10,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,-0.06252059308072488,2018
2026-07-08,001720,A,KOSPI,False,False,-0.13288288288288286,-0.058173580443851014,0.07503246753246753,0.07662337662337662,-0.06048701298701298,7,손절,-0.06048701298701298,7,0.05454545454545445,-0.038181818181818206,4,-0.038181818181818206,4,-0.038181818181818206,4,-0.038181818181818206,4,-0.06048701298701298,7,-0.06048701298701298,7,-0.06048701298701298,7,-0.06048701298701298,7,-0.06048701298701298,7,-0.06048701298701298,7,-0.06048701298701298,7,-0.06048701298701298,7,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.04070779220779219,1,-0.038181818181818206,4,-0.038181818181818206,4,-0.038181818181818206,4,-0.038181818181818206,4,-0.07999999999999996,7,-0.07999999999999996,7,-0.07999999999999996,7,-0.07999999999999996,7,-0.0901558441558441,7,-0.0901558441558441,7,-0.0901558441558441,7,-0.0901558441558441,7,-0.06048701298701298,-0.06048701298701298,-0.06048701298701298,-0.06048701298701298,-0.06048701298701298,-0.06048701298701298,2026
2019-10-07,009270,S2a,KOSPI,True,True,-0.18127490039840632,-0.054094226177347826,0.06849148418491484,0.11070559610705596,-0.04291970802919709,37,트레일,-0.04291970802919709,37,-0.06569343065693434,-0.01284671532846704,9,-0.01284671532846704,9,-0.01284671532846704,9,-0.01284671532846704,9,-0.04291970802919709,37,0.07380373073803725,29,-0.04291970802919709,37,-0.04291970802919709,37,-0.050000000000000044,37,0.07380373073803725,29,-0.050000000000000044,37,-0.050000000000000044,37,-0.01284671532846704,9,-0.01284671532846704,9,-0.01284671532846704,9,-0.01284671532846704,9,-0.030000000000000027,32,0.07380373073803725,29,-0.030000000000000027,32,-0.030000000000000027,32,-0.030000000000000027,32,0.07380373073803725,29,-0.030000000000000027,32,-0.030000000000000027,32,-0.01284671532846704,9,-0.01284671532846704,9,-0.01284671532846704,9,-0.01284671532846704,9,-0.04291970802919709,37,0.07380373073803725,29,-0.04291970802919709,37,-0.04291970802919709,37,-0.07999999999999996,39,0.07380373073803725,29,-0.07999999999999996,39,-0.07999999999999996,39,-0.04291970802919709,-0.04291970802919709,-0.04291970802919709,-0.04291970802919709,-0.04291970802919709,-0.04291970802919709,2019
2002-05-31,009270,S2a,KOSPI,True,True,-0.13245033112582782,0.05220883534136522,0.10992366412213744,0.07633587786259544,-0.07297709923664109,4,트레일,-0.07297709923664109,4,-0.22137404580152664,-0.030839694656488392,2,0.05089058524173029,1,-0.030839694656488392,2,-0.030839694656488392,2,-0.07297709923664109,4,0.05089058524173029,1,-0.07297709923664109,4,-0.07297709923664109,4,-0.09713740458015263,4,0.05089058524173029,1,-0.09713740458015263,4,-0.09713740458015263,4,-0.030839694656488392,2,0.05089058524173029,1,-0.030839694656488392,2,-0.030839694656488392,2,-0.07297709923664109,4,0.05089058524173029,1,-0.07297709923664109,4,-0.07297709923664109,4,-0.07812977099236618,4,0.05089058524173029,1,-0.07812977099236618,4,-0.07812977099236618,4,-0.030839694656488392,2,0.05089058524173029,1,-0.030839694656488392,2,-0.030839694656488392,2,-0.07297709923664109,4,0.05089058524173029,1,-0.07297709923664109,4,-0.07297709923664109,4,-0.12564885496183198,6,0.05089058524173029,1,-0.12564885496183198,6,-0.12564885496183198,6,-0.07297709923664109,-0.07297709923664109,-0.07297709923664109,-0.07297709923664109,-0.07297709923664109,-0.07297709923664109,2002
2019-10-08,009270,S2a,KOSPI,True,True,-0.1440329218106996,-0.04266029974398067,0.06766826923076923,0.08413461538461539,-0.05442307692307691,36,트레일,-0.05442307692307691,36,-0.11057692307692313,-0.024711538461538396,8,0.05608974358974361,3,-0.024711538461538396,8,-0.024711538461538396,8,-0.05442307692307691,36,0.05608974358974361,3,-0.05442307692307691,36,-0.05442307692307691,36,-0.06370192307692313,36,0.05608974358974361,3,-0.06370192307692313,36,-0.06370192307692313,36,-0.024711538461538396,8,0.05608974358974361,3,-0.024711538461538396,8,-0.024711538461538396,8,-0.043990384615384626,31,0.05608974358974361,3,-0.043990384615384626,31,-0.043990384615384626,31,-0.043990384615384626,31,0.05608974358974361,3,-0.043990384615384626,31,-0.043990384615384626,31,-0.024711538461538396,8,0.05608974358974361,3,-0.024711538461538396,8,-0.024711538461538396,8,-0.05442307692307691,36,0.05608974358974361,3,-0.05442307692307691,36,-0.05442307692307691,36,-0.09326923076923077,38,0.05608974358974361,3,-0.09326923076923077,38,-0.09326923076923077,38,-0.05442307692307691,-0.05442307692307691,-0.05442307692307691,-0.05442307692307691,-0.05442307692307691,-0.05442307692307691,2019
2001-03-13,015580,A,KOSPI,True,False,-0.1328125,-0.0369773234187305,0.051351351351351354,0.07657657657657657,-0.056576576576576554,8,트레일,-0.056576576576576554,8,0.06756756756756754,-0.013693693693693665,2,0.0510510510510509,1,-0.013693693693693665,2,-0.013693693693693665,2,-0.056576576576576554,8,0.0510510510510509,1,-0.056576576576576554,8,-0.056576576576576554,8,-0.0671171171171171,15,0.0510510510510509,1,-0.0671171171171171,15,-0.0671171171171171,15,-0.013693693693693665,2,0.0510510510510509,1,-0.013693693693693665,2,-0.013693693693693665,2,-0.04747747747747744,7,0.0510510510510509,1,-0.04747747747747744,7,-0.04747747747747744,7,-0.04747747747747744,7,0.0510510510510509,1,-0.04747747747747744,7,-0.04747747747747744,7,-0.013693693693693665,2,0.0510510510510509,1,-0.013693693693693665,2,-0.013693693693693665,2,-0.056576576576576554,8,0.0510510510510509,1,-0.056576576576576554,8,-0.056576576576576554,8,0.07657657657657668,26,0.0510510510510509,1,0.06756756756756754,40,0.06756756756756754,40,-0.056576576576576554,-0.056576576576576554,-0.056576576576576554,-0.056576576576576554,-0.056576576576576554,-0.056576576576576554,2001
1998-12-16,015580,A,KOSPI,True,True,-0.18509895227008144,-0.057942609217408125,0.10238532110091743,0.11357142857142857,0.11357142857142866,1,목표,0.17969999999999997,5,0.0071428571428571175,0.11357142857142866,1,0.07571428571428562,1,0.031714285714285806,2,0.031714285714285806,2,0.11357142857142866,1,0.07571428571428562,1,0.15142857142857147,3,0.24582857142857129,5,0.11357142857142866,1,0.07571428571428562,1,0.15142857142857147,3,0.13257142857142856,6,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,-0.05276525163827006,1,0.11357142857142866,1,0.07571428571428562,1,0.031714285714285806,2,0.031714285714285806,2,0.11357142857142866,1,0.07571428571428562,1,0.15142857142857147,3,0.24582857142857129,5,0.11357142857142866,1,0.07571428571428562,1,0.15142857142857147,3,0.13257142857142856,6,0.07264285714285723,0.07264285714285723,0.17969999999999997,0.17969999999999997,0.12307142857142861,0.12307142857142861,1998
2008-07-02,001500,S2a,KOSPI,True,True,-0.13478260869565228,-0.07696767647485159,0.06896984924623116,0.07788944723618095,-0.06909547738693467,2,손절,-0.06909547738693467,2,-0.09798994974874364,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.06909547738693467,2,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.04949748743718596,1,-0.07999999999999996,2,-0.07999999999999996,2,-0.07999999999999996,2,-0.07999999999999996,2,-0.09849246231155762,4,-0.09849246231155762,4,-0.09849246231155762,4,-0.09849246231155762,4,-0.09849246231155762,4,-0.09849246231155762,4,-0.09849246231155762,4,-0.09849246231155762,4,-0.06909547738693467,-0.06909547738693467,-0.06909547738693467,-0.06909547738693467,-0.06909547738693467,-0.06909547738693467,2008
