star,code,name,ap,order,pbr,deep,bounce,imae,fmae,ext,r20,c,buy,stop,resist,vflag,tag
✦,126730,코칩,추세매수,혼조,2.4,0,0,0,0,1.07,34.0,18350,15292,14680,36500,소진,사냥터
✦,240810,원익IPS,추세매수,혼조,8.43,0,0,1,0,1.03,-5.0,107900,100785,86320,187800,소진,사냥터·테마
✦,403870,HPSP,추세매수,혼조,14.17,0,0,0,0,1.07,13.0,44900,37582,36364,92000,증가⚠,사냥터·테마
✦,014910,성문전자,추세매수,혼조,1.29,0,0,0,0,1.02,-3.0,1925,1780,1583,3880,소진,사냥터
✦,039030,이오테크닉스,추세매수,혼조,8.52,0,0,0,0,1.08,23.0,404500,340075,326017,623000,증가⚠,사냥터·테마
✦,060370,LS마린솔루션,추세매수,혼조,2.2,0,0,1,0,1.02,-0.0,30950,30062,25932,36500,소진,사냥터
✦,064400,LG씨엔에스,추세매수,혼조,2.6,0,0,0,0,1.02,2.0,71600,69865,59528,153300,보합,사냥터
✦,067310,하나마이크론,추세매수,혼조,8.3,0,0,0,0,1.02,-3.0,35000,32950,28000,57000,증가⚠,사냥터·테마
✦,078520,에이블씨엔씨,추세매수,혼조,2.86,0,0,0,0,1.02,10.0,11350,11317,9596,13900,소진,사냥터
✦,091440,한울소재과학,추세매수,혼조,2.13,0,0,0,0,1.08,-5.0,3075,2974,2460,3950,증가⚠,사냥터
✦,140860,파크시스템스,추세매수,혼조,7.67,0,0,0,0,1.02,-0.0,259500,260450,216910,339500,소진,사냥터
✦,311320,지오엘리먼트,추세매수,혼조,2.28,0,0,0,0,1.08,3.0,8300,7353,6640,11920,증가⚠,사냥터
✦,084370,유진테크,추세매수,혼조,9.14,0,0,0,0,1.09,5.0,128500,118770,102800,231500,소진,사냥터·테마
✦,090360,로보스타,추세매수,혼조,10.4,0,0,0,0,1.01,16.0,78200,73880,62560,171600,소진,사냥터·테마
✦,180640,한진칼,추세매수,혼조,2.38,0,0,1,0,1.01,12.0,117900,116175,101382,143700,소진,사냥터
✦,214450,파마리서치,추세매수,혼조,6.09,0,0,0,0,1.09,11.0,400500,387500,324517,439000,소진,사냥터
✦,382800,지앤비에스 에코,추세매수,혼조,1.32,0,0,0,0,1.09,20.0,5170,4826,4136,9090,증가⚠,사냥터
✦,298040,효성중공업,추세매수,혼조,13.61,0,0,1,0,1.0,-5.0,2721000,2684550,2238500,4169000,소진,사냥터·테마
✦,440110,파두,추세매수,혼조,223.79,0,0,0,0,1.1,-16.0,61900,61570,49520,127400,증가⚠,사냥터
✦,006400,삼성SDI,추세매수,혼조,1.79,0,0,0,1,1.11,2.0,478000,443125,406035,707000,보합,사냥터·테마
✦,009420,한올바이오파마,추세매수,혼조,19.6,0,0,1,0,1.11,14.0,56500,52535,45200,73000,보합,사냥터
✦,029460,케이씨,추세매수,정배열,0.46,0,0,0,0,1.11,19.0,34200,31365,29807,36800,소진,사냥터
✦,046890,서울반도체,추세매수,혼조,1.01,0,0,0,0,0.99,2.0,9350,9130,7848,16140,소진,사냥터
✦,322000,HD현대에너지솔루션,추세매수,혼조,3.72,0,0,1,1,1.11,-27.0,125400,124840,100320,212500,소진,사냥터
✦,007820,엠엑스로보틱스,추세매수,혼조,1.1,0,0,0,0,0.98,43.0,4340,3570,3472,5450,증가⚠,사냥터
✦,388790,라이콤,추세매수,혼조,6.71,0,0,0,0,0.98,-4.0,3940,3878,3152,9200,소진,사냥터
✦,443060,HD현대마린솔루션,추세매수,혼조,12.2,0,0,1,0,0.98,-8.0,197700,196080,173717,264000,증가⚠,사냥터
✦,033100,제룡전기,추세매수,혼조,3.44,0,0,0,0,0.97,-2.0,46250,45312,39464,68500,소진,사냥터
✦,047040,대우건설,추세매수,혼조,2.31,0,0,0,1,1.14,-3.0,15930,15675,12744,29500,소진,사냥터
✦,417840,저스템,추세매수,혼조,5.98,0,0,0,0,1.14,4.0,11850,10926,9480,22250,보합,사냥터
✦,000500,가온전선,추세매수,혼조,14.37,0,0,0,1,0.96,-27.0,158200,154210,126735,440000,소진,사냥터
✦,054950,제이브이엠,추세매수,혼조,1.04,0,0,0,1,0.96,5.0,23500,23590,21607,25500,소진,사냥터
✦,138080,오이솔루션,추세매수,혼조,4.33,0,0,1,1,0.95,17.0,23400,21250,18720,42400,소진,사냥터
✦,264850,이랜시스,추세매수,혼조,2.5,0,0,0,1,0.95,18.0,5860,5817,4688,7560,소진,사냥터
✦,095340,ISC,추세매수,혼조,6.92,0,0,0,0,0.94,5.0,154300,141605,123440,249000,증가⚠,사냥터
✦,031980,피에스케이홀딩스,추세매수,혼조,6.81,0,0,0,0,1.17,-11.0,107500,102665,86000,173000,보합,사냥터
✦,049430,코메론,추세매수,정배열,0.71,0,0,0,0,1.17,2.0,19910,20114,17445,22250,소진,사냥터
✦,093370,후성,추세매수,혼조,6.43,0,0,0,0,1.17,6.0,11940,10335,9552,23550,증가⚠,사냥터
✦,241770,메카로,추세매수,혼조,2.16,0,0,0,0,1.17,17.0,37300,36372,31487,48000,소진,사냥터
✦,257720,실리콘투,추세매수,혼조,4.54,0,0,0,0,1.17,31.0,47650,39512,38212,48850,증가⚠,사냥터
✦,062040,산일전기,추세매수,혼조,12.38,0,0,1,0,0.93,-10.0,164800,164240,132835,279000,보합,사냥터·테마
✦,278470,에이피알,추세매수,혼조,32.37,0,0,1,0,1.18,4.0,385000,366400,319062,443000,소진,사냥터
✦,082920,비츠로셀,추세매수,혼조,5.51,0,0,0,0,0.92,-5.0,30500,31047,24400,58700,증가⚠,사냥터·테마
✦,129920,대성하이텍,추세매수,혼조,1.17,0,0,0,0,0.92,40.0,5990,5567,4792,8830,증가⚠,사냥터
✦,456010,아이씨티케이,추세매수,혼조,5.73,0,0,0,0,0.92,7.0,16370,15392,13096,39950,소진,사냥터
✦,484120,도우인시스,추세매수,혼조,0.99,0,0,0,0,0.92,15.0,19410,17760,15528,21800,증가⚠,사냥터
✦,006110,삼아알미늄,추세매수,혼조,2.82,0,0,0,0,1.19,32.0,48150,43232,38520,89800,증가⚠,사냥터
✦,041960,코미팜,추세매수,정배열,8.04,0,0,0,0,1.19,31.0,9270,8127,7941,9940,증가⚠,사냥터
✦,062970,한국첨단소재,추세매수,혼조,4.23,0,0,0,0,0.9,102.0,2350,1938,1880,4105,증가⚠,사냥터
✦,131970,두산테스나,추세매수,혼조,5.12,0,0,1,0,0.9,-8.0,76900,71850,61520,183300,소진,사냥터
✦,208710,포톤,추세매수,정배열,0.55,0,0,0,0,1.21,53.0,2865,2510,2292,5660,소진,사냥터
✦,077360,덕산하이메탈,추세매수,혼조,2.39,0,0,0,0,0.89,3.0,9350,9161,7480,18100,보합,사냥터
✦,355150,코스텍시스,추세매수,혼조,8.24,0,0,0,0,0.88,6.0,19310,18642,15448,51400,소진,사냥터
✦,005290,동진쎄미켐,추세매수,혼조,2.76,0,0,0,0,0.87,-9.0,41100,40607,35162,68700,보합,사냥터
✦,065770,CS,추세매수,혼조,0.82,0,0,0,0,1.24,-5.0,1561,1542,1248,2850,소진,사냥터
✦,076610,해성옵틱스,추세매수,혼조,2.79,0,0,0,0,1.24,15.0,1472,1219,1177,2695,증가⚠,사냥터
✦,000990,DB하이텍,추세매수,혼조,2.87,0,0,1,0,0.86,-19.0,89700,90080,71760,230500,소진,사냥터
✦,178320,서진시스템,추세매수,혼조,4.0,0,0,0,0,0.86,-15.0,36250,35820,29000,83300,증가⚠,사냥터
