date,code,name,등급,국면,월,체인,밸류여부,성장군,카드%,ex_how
1999-10-18,005810,풍산홀딩스,정식A,실행,10,비체인,False,,-6.375299520766791,손절
1999-10-18,008270,008270,정식A,실행,10,,False,,-6.82352941176471,트레일
1999-10-19,030210,다올투자증권,정식A,실행,10,비체인,False,,7.16049382716048,목표
1999-10-19,008270,008270,정식A,실행,10,,False,,6.81818181818183,목표
1999-10-26,003545,대신증권우,S2-α,실행,10,비체인,False,,-6.57021276595745,트레일
1999-10-26,003540,대신증권,정식A,실행,10,비체인,False,,-6.1907275310431,손절
1999-10-26,003470,유안타증권,S2-α,실행,10,비체인,False,,7.303370786516861,목표
1999-11-05,009050,009050,정식A,실행,11,,False,,7.3255813953488405,목표
1999-11-08,000270,기아,정식A,실행,11,비체인,False,,-5.59896275842537,손절
1999-11-08,005385,현대차우,S2-α,실행,11,비체인,False,,7.773109243697469,목표
1999-11-08,004390,004390,S2-α,실행,11,,False,,7.35551663747811,목표
1999-11-18,003470,유안타증권,S2-α,실행,11,비체인,False,,-8.54901960784313,트레일
1999-11-18,008670,008670,정식A,실행,11,,False,,-7.001952144649801,손절
1999-11-25,006800,미래에셋증권,정식A,실행,11,비체인,False,,-5.99296293472181,손절
1999-11-25,000150,두산,정식A,실행,11,체인,False,,-5.0,손절
1999-11-26,009410,태영건설,정식A,실행,11,비체인,False,,7.195121951219511,목표
1999-11-26,002550,002550,정식A,실행,11,,False,,-8.26212355598073,손절
1999-11-26,005830,DB손해보험,정식A,실행,11,비체인,False,,7.6470588235294,목표
1999-11-26,016360,삼성증권,정식A,실행,11,비체인,False,,-6.26106194690265,손절
1999-11-26,003450,003450,정식A,실행,11,,False,,7.466918714555749,목표
1999-11-26,011170,롯데케미칼,정식A,실행,11,비체인,False,,7.772020725388599,목표
1999-11-29,012330,현대모비스,정식A,실행,11,비체인,False,,7.88712011577423,목표
1999-11-29,012450,한화에어로스페이스,정식A,실행,11,비체인,False,,8.499475341028349,목표
1999-11-29,000210,DL,정식A,실행,11,비체인,False,,7.49999999999999,목표
1999-11-29,001440,대한전선,S2-α,실행,11,비체인,False,,7.6086956521739,목표
1999-12-02,001370,001370,S2-α,실행,12,,False,,-5.1315789473684195,손절
1999-12-03,008270,008270,정식A,실행,12,,False,,10.05398110661268,목표
1999-12-15,006120,SK디스커버리,S2-α,실행,12,비체인,False,,-7.42196531791907,트레일
1999-12-16,004150,한솔홀딩스,정식A,실행,12,비체인,False,,-4.66666666666667,트레일
1999-12-16,006120,SK디스커버리,S2-α,실행,12,비체인,False,,-7.72256097560976,손절
1999-12-17,033880,033880,정식A,실행,12,,False,,-5.0,손절
1999-12-17,006120,SK디스커버리,S2-α,실행,12,비체인,False,,6.9078947368421,목표
1999-12-20,033880,033880,정식A,실행,12,,False,,7.14285714285714,목표
1999-12-21,003545,대신증권우,정식A,실행,12,비체인,False,,-5.0,손절
1999-12-21,001830,001830,정식A,실행,12,,False,,-5.57083985283048,손절
1999-12-21,012330,현대모비스,정식A,실행,12,비체인,False,,-8.81892024583848,손절
1999-12-21,005945,NH투자증권우,정식A,실행,12,비체인,False,,-5.61919642857142,손절
1999-12-21,001370,001370,S2-α,실행,12,,False,,-6.8571428571428505,트레일
1999-12-22,012330,현대모비스,정식A,실행,12,비체인,False,,11.023622047244091,목표
1999-12-22,001830,001830,정식A,실행,12,,False,,-8.67924528301885,트레일
1999-12-22,001980,001980,S2-α,실행,12,,False,,9.18367346938775,목표
1999-12-22,001370,001370,S2-α,실행,12,,False,,-5.63888397072711,손절
1999-12-23,001370,001370,S2-α,실행,12,,False,,-8.6412213740458,트레일
2000-01-05,000880,한화,정식A,실행,1,비체인,False,,-7.83582089552238,손절
2000-01-05,004130,004130,S2-α,실행,1,,False,,-5.0,손절
2000-01-06,001440,대한전선,S2-α,실행,1,비체인,False,,7.53968253968253,목표
2000-01-06,000880,한화,정식A,실행,1,비체인,False,,8.15831987075927,목표
2000-01-06,004130,004130,S2-α,실행,1,,False,,-5.47029702970297,손절
2000-01-06,018360,018360,정식A,실행,1,,False,,10.40145985401459,목표
2000-01-06,000660,SK하이닉스,정식A,실행,1,체인,False,,8.78995433789955,목표
2000-01-06,033880,033880,정식A,실행,1,,False,,-8.65384615384615,손절
2000-01-07,007630,007630,S2-α,실행,1,,False,,6.99999999999998,목표
2000-01-07,033880,033880,정식A,실행,1,,False,,7.26405090137858,목표
2000-01-13,032930,032930,S2-α,실행,1,,False,,-7.5655864197530995,손절
2000-01-13,009720,009720,정식A,실행,1,,False,,8.170731707317081,목표
2000-01-14,025770,한국정보통신,S2-α,실행,1,비체인,False,,11.96660482374767,목표
2000-01-14,032930,032930,S2-α,실행,1,,False,,10.13289036544851,목표
2000-01-19,002615,002615,정식A,실행,1,,False,,-7.310810810810819,손절
