code,fiscal_year,op_income,depr,amort,cfo,capex,st_debt,lt_debt,bond,cash,EBITDA,net_debt,FCF
035420,2021,14996377524381.0,,,1379905728836.0,753942606877.0,529251392248.0,1598040294214.0,9403866052933.0,3845667763547.0,14996377524381.0,7685489975848.0,625963121959.0
035420,2022,1304664410543.0,,,1453390444990.0,700733545914.0,1381399298786.0,328034313380.0,1704518276546.0,2781395543827.0,1304664410543.0,632556344885.0,752656899076.0
035420,2023,1488820269608.0,,,2002233273518.0,640623697250.0,333041315118.0,993600442662.0,1655718953449.0,3576456533329.0,1488820269608.0,-594095822100.0,1361609576268.0
035420,2024,1979263438827.0,,,2589874337746.0,553997155009.0,135389909719.0,863059968000.0,2007288715797.0,4195524637851.0,1979263438827.0,-1189786044335.0,2035877182737.0
035420,2025,2208138388720.0,,,3095806604677.0,1234693161100.0,132159574017.0,874112668001.0,1597174210005.0,5984018799741.0,2208138388720.0,-3380572347718.0,1861113443577.0
010120,2020,133713579421.0,62315814407.0,17472419910.0,288900985879.0,74193500453.0,95223174428.0,459037447221.0,,683234939608.0,213501813738.0,-128974317959.0,214707485426.0
010120,2021,155131916609.0,61786436577.0,20143742842.0,101544478367.0,55835899971.0,73898648826.0,443529391060.0,,701596943478.0,237062096028.0,-184168903592.0,45708578396.0
010120,2022,187524016869.0,62570803472.0,22212157347.0,-145446470458.0,114877661307.0,324894883025.0,350253780311.0,,701596943478.0,272306977688.0,-26448280142.0,-260324131765.0
010120,2023,324877723039.0,67304537486.0,23432545034.0,214646330873.0,112891744498.0,522647856341.0,514243485708.0,,583925062424.0,415614805559.0,452966279625.0,101754586375.0
010120,2024,389717122317.0,77024987253.0,11923304566.0,230146922129.0,145243521908.0,515049436447.0,569352169191.0,,660104319206.0,478665414136.0,424297286432.0,84903400221.0
010120,2025,426407143017.0,89679900834.0,26718810029.0,299948385888.0,200850433496.0,483171772528.0,773010797653.0,,762716704001.0,542805853880.0,493465866180.0,99097952392.0
267260,2020,72699092216.0,,,,56811145006.0,380871072156.0,92000000000.0,175000000000.0,524256768315.0,72699092216.0,123614303841.0,
267260,2021,9736360055.0,,,,27704772766.0,272967666041.0,92000000000.0,145000000000.0,524256768315.0,9736360055.0,-14289102274.0,
267260,2022,133040987326.0,,,,33264790773.0,298137017647.0,54240000000.0,30000000000.0,354808620188.0,133040987326.0,27568397459.0,
267260,2023,315218290721.0,,,-22438778035.0,75377519040.0,473572233244.0,80240000000.0,194000000000.0,176097890089.0,315218290721.0,571714343155.0,-97816297075.0
267260,2024,668970713547.0,,,1033722426199.0,121640871886.0,,,,569771637520.0,668970713547.0,,912081554313.0
267260,2025,995313437790.0,,,959572657325.0,233500152700.0,,,,950781542257.0,995313437790.0,,726072504625.0
000810,2023,2357283417485.0,,,-562090731359.0,54266413675.0,,,,859034311218.0,2357283417485.0,,-616357145034.0
000810,2024,2649596688033.0,,,3127018161730.0,59807154184.0,,,,1543023515165.0,2649596688033.0,,3067211007546.0
000810,2025,2659143002144.0,,,3413166155628.0,46175024427.0,,,,2019803576966.0,2659143002144.0,,3366991131201.0
066570,2020,3194987000000.0,,,4628576000000.0,2281865000000.0,,,,5896309000000.0,3194987000000.0,,2346711000000.0
066570,2021,3863774000000.0,,,2677382000000.0,2648065000000.0,1895600000000.0,8035953000000.0,,6051516000000.0,3863774000000.0,3880037000000.0,29317000000.0
066570,2022,3550972000000.0,,,3107839000000.0,3116817000000.0,2287518000000.0,8757669000000.0,,6322360000000.0,3550972000000.0,4722827000000.0,-8978000000.0
066570,2023,3549074000000.0,,,5913596000000.0,3269884000000.0,,,,8487563000000.0,3549074000000.0,,2643712000000.0
066570,2024,3419675000000.0,,,3842661000000.0,2356437000000.0,,,,8487563000000.0,3419675000000.0,,1486224000000.0
066570,2025,2478392000000.0,,,4280500000000.0,2615348000000.0,,,,8769841000000.0,2478392000000.0,,1665152000000.0
042660,2020,153437091215.0,,,-458467494666.0,,1011890605838.0,985996415260.0,320714301987.0,2012238821503.0,153437091215.0,306362501582.0,-458467494666.0
042660,2021,-1754651375507.0,,,485786909235.0,,1137945729669.0,1091052601325.0,238442634884.0,1778939684909.0,-1754651375507.0,688501280969.0,485786909235.0
042660,2022,-1613564533698.0,,,-1065432625974.0,,1283430939908.0,1182144225010.0,185279094600.0,1778939684909.0,-1613564533698.0,871914574609.0,-1065432625974.0
042660,2023,,,,-1939155311922.0,130660673631.0,1414070034213.0,1664742451152.0,61836121800.0,1799307748627.0,,1341340858538.0,-2069815985553.0
042660,2024,237876379317.0,,,-2904574465563.0,373640224794.0,2530475445001.0,2028126039778.0,3237744026040.0,1799307748627.0,237876379317.0,5997037762192.0,-3278214690357.0
042660,2025,1167590137928.0,,,1314671582302.0,709619704392.0,1270000000000.0,2346290396312.0,3300054551450.0,778471159631.0,1167590137928.0,6137873788131.0,605051877910.0
009540,2020,74367134000.0,,,,378436876000.0,,,,3703409917000.0,74367134000.0,,
009540,2021,-1384815777000.0,,,,382988973000.0,,,,4567468098000.0,-1384815777000.0,,
009540,2022,-355560593000.0,,,,666891005000.0,,,,4567468098000.0,-355560593000.0,,
009540,2023,282260719000.0,,,,821953097000.0,,,,3018390965000.0,282260719000.0,,
009540,2024,1434090492000.0,,,,890989039000.0,,,,3717318959000.0,1434090492000.0,,
009540,2025,3904489578000.0,,,,946834728000.0,,,,3742015549000.0,3904489578000.0,,
298040,2020,44074735485.0,,,386562290399.0,89184797290.0,4920526054336.0,575801483802.0,64200000000.0,52293891327.0,44074735485.0,5508233646811.0,297377493109.0
298040,2021,120066031213.0,,,110584865944.0,41086736239.0,2957197339708.0,631281238867.0,-130000000000.0,81009178762.0,120066031213.0,3377469399813.0,69498129705.0
298040,2022,143248629974.0,,,-67110735046.0,94059062066.0,4841244061266.0,659765182735.0,-125000000000.0,212739996074.0,143248629974.0,5163269247927.0,-161169797112.0
298040,2023,257836947601.0,,,454662926622.0,32277364388.0,3554159313537.0,903104096251.0,0.0,277804610275.0,257836947601.0,4179458799513.0,422385562234.0
298040,2024,362479487133.0,,,412091967128.0,83956108784.0,6480214893115.0,563140401002.0,128000000000.0,277804611436.0,362479487133.0,6893550682681.0,328135858344.0
298040,2025,746968417289.0,,,493009624019.0,162909245075.0,5972391714394.0,464450013386.0,70246248493.0,249076858015.0,746968417289.0,6258011118258.0,330100378944.0
005490,2020,2403035192908.0,3156181416807.0,465558192131.0,8685737215643.0,3154412400623.0,8677529327377.0,11820077693464.0,4410386844166.0,4754643963053.0,6024774801846.0,20153349901954.0,5531324815020.0
005490,2021,9238089232877.0,3135345873790.0,444099897543.0,6259365289022.0,3068590965937.0,8830066912208.0,12911148863378.0,4358955273475.0,4775166458482.0,12817535004210.0,21325004590579.0,3190774323085.0
005490,2022,4850053015766.0,3204744166100.0,488834630340.0,6186764805543.0,4927586254768.0,11915993975888.0,12389668141243.0,4553746150046.0,8053107795977.0,8543631812206.0,20806300471200.0,1259178550775.0
005490,2023,3531422506439.0,3346460153078.0,498192527542.0,6167694886590.0,6733288526505.0,-2524077286746.0,15011162372070.0,7817216770954.0,8053281932295.0,7376075187059.0,12251019923983.0,-565593639915.0
005490,2024,2173573272904.0,3530770321270.0,453689338306.0,6663654759669.0,7669699522275.0,217759093586.0,14881619840290.0,7532911133938.0,6767897520450.0,6158032932480.0,15864392547364.0,-1006044762606.0
005490,2025,1827063210829.0,3693287446560.0,465934606199.0,4571910292218.0,5665150778832.0,-2158540750879.0,16374578210992.0,5393339657237.0,7049800440769.0,5986285263588.0,12559576676581.0,-1093240486614.0
015760,2020,4086275000000.0,11377553000000.0,170466000000.0,13208473000000.0,13281294000000.0,345338000000.0,10170107000000.0,10170107000000.0,2029584000000.0,15634294000000.0,18655968000000.0,-72821000000.0
015760,2021,-5860143000000.0,11772111000000.0,166161000000.0,4473186000000.0,12668534000000.0,1621440000000.0,17392311000000.0,17392311000000.0,2635238000000.0,6078129000000.0,33770824000000.0,-8195348000000.0
015760,2022,-32655153000000.0,12305252000000.0,156160000000.0,-23477500000000.0,12346878000000.0,5852426000000.0,43594078000000.0,43594078000000.0,3234780000000.0,-20193741000000.0,89805802000000.0,-35824378000000.0
015760,2023,-4541648000000.0,12869089000000.0,163174000000.0,1522162000000.0,13908373000000.0,1946992000000.0,21714092000000.0,21714092000000.0,4342887000000.0,8490615000000.0,41032289000000.0,-12386211000000.0
015760,2024,8364710000000.0,13833788000000.0,163567000000.0,15876116000000.0,14216037000000.0,-1536401000000.0,24687409000000.0,2795823000000.0,4342887000000.0,22362065000000.0,21603944000000.0,1660079000000.0
015760,2025,13490557000000.0,13630181000000.0,158610000000.0,20880154000000.0,15834139000000.0,948196000000.0,1769770000000.0,26541349000000.0,2382979000000.0,27279348000000.0,26876336000000.0,5046015000000.0
316140,2023,3499029000000.0,993176000000.0,,,164696000000.0,,,41239245000000.0,34219148000000.0,4492205000000.0,7020097000000.0,
316140,2024,4255190000000.0,1163799000000.0,,,221856000000.0,,,48207103000000.0,30556618000000.0,5418989000000.0,17650485000000.0,
316140,2025,3674808000000.0,1250606000000.0,,13642391000000.0,325952000000.0,,,55583392000000.0,38499679000000.0,4925414000000.0,17083713000000.0,13316439000000.0
010130,2020,897387769203.0,,,456522986973.0,662144567510.0,115420078569.0,4719649600.0,,689518057370.0,897387769203.0,-569378329201.0,-205621580537.0
010130,2021,1096146343693.0,,,606883888565.0,463828370657.0,295537449491.0,126084743272.0,7475460087.0,466465326011.0,1096146343693.0,-37367673161.0,143055517908.0
010130,2022,919171130822.0,,,784694563029.0,372971049177.0,791579162799.0,205532274287.0,9077543496.0,780981792302.0,919171130822.0,225207188280.0,411723513852.0
010130,2023,659935424598.0,,,820863992249.0,418611480986.0,619182196821.0,165138015834.0,9804184531.0,780981792302.0,659935424598.0,13142604884.0,402252511263.0
010130,2024,723472208523.0,,,515812554313.0,1113256029679.0,3319850915303.0,1442168148369.0,996799310427.0,893806431755.0,723472208523.0,4865011942344.0,-597443475366.0
010130,2025,1231926775791.0,,,-628210721953.0,889578561811.0,3822368394859.0,3988658854245.0,1600000000000.0,3451069963536.0,1231926775791.0,5959957285568.0,-1517789283764.0
