last,to50,to20,dd20,ddhi,near_low,bw_rank,volr,a200,up200,cat,sub,prep,near_high,breakout,vsurge,vstrong,flags,code,name
197000,-5.6395911368273826,0.2927325951380899,-6.635071090047395,-38.72472783825817,15.746180963572275,30,0.517943086787571,False,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,005385,현대차우
196100,-6.308527309559297,-0.764131369869947,-7.93427230046948,-39.38176197836167,15.285126396237514,39,0.8165840574973297,False,True,⚪ 기타,신호 없음,,False,False,False,False,,005387,현대차2우B
11400,-12.982413287738147,-2.941552083776766,-7.9903147699757815,-39.2,5.555555555555558,5,0.486863687129817,False,True,⚪ 기타,신호 없음,,False,False,False,False,,005440,현대지에프홀딩스
310000,-4.394757131842719,-2.1001105321332703,-7.738095238095233,-42.056074766355145,12.72727272727272,32,0.8143560158757571,False,True,⚪ 기타,신호 없음,,False,False,False,False,,005490,POSCO홀딩스
177800,14.251198416676303,7.402820985230596,-5.17333333333333,-13.479318734793189,40.110323089046496,48,1.4657363281106368,True,True,🟢 추세위,MA50 위 추세유지,눌림,False,False,False,False,,005830,DB손해보험
52400,-9.503825363107266,-4.809482719469549,-14.935064935064934,-31.233595800524938,9.738219895287958,55,0.9492953528451435,False,True,⚪ 기타,신호 없음,,False,False,False,False,,005850,에스엘
281500,-0.1702248386410421,14.303116434879716,0.0,-22.344827586206893,48.78435517970401,67,0.9174617297674186,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,005930,삼성전자
207000,7.407484278034904,15.920927367418948,0.0,-11.91489361702127,48.280802292263616,76,2.488045345040277,True,True,🔵 주도주,규칙 유니버스,,False,False,True,False,⚡,005935,삼성전자우
26100,-11.26372692346922,-5.94594594594594,-10.769230769230765,-33.41836734693877,4.819277108433728,18,0.6156499937793941,False,True,🟣 상승준비,바닥,바닥,False,False,False,False,,005940,NH투자증권
37750,9.51234370920484,3.531025025711343,-0.6578947368421018,-24.5,26.46566164154105,36,0.9038283667983414,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,006040,동원산업
293500,-11.649608669476219,-3.5332785538208733,-14.556040756914124,-46.9258589511754,32.2072072072072,60,1.4952560684568945,False,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,006260,LS
122100,-0.9764484526049388,-1.0615023093752507,-8.264462809917351,-32.27953410981698,15.297450424929181,70,0.804181491860575,False,False,⚪ 기타,신호 없음,,False,False,False,False,,006280,녹십자
13250,7.216261267822177,-4.559533242094648,-17.34248284466625,-26.55210643015521,55.152224824355976,32,0.23172355717058904,True,True,🟢 추세위,MA50 위 추세유지,눌림,False,False,False,False,,006340,대원전선
33250,13.975251088335106,8.103714541168827,-6.8627450980392135,-22.8538283062645,59.09090909090908,71,0.7501444671375774,True,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,006360,GS건설
478000,3.519220357336228,7.8702397743300345,-7.36434108527132,-32.865168539325836,39.97071742313323,61,0.662554413614239,True,True,🔵 주도주,규칙 유니버스,눌림,False,False,False,False,,006400,삼성SDI
34500,-13.904971052106207,-1.2804921668216562,-9.329829172141924,-58.830548926014316,19.377162629757795,44,0.6545440732086737,False,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,006800,미래에셋증권
11080,-12.071866171475742,-1.7120553534995087,-9.477124183006536,-53.445378151260506,19.268030139935412,48,0.5622735340863828,False,True,⚪ 기타,신호 없음,,False,False,False,False,,00680K,미래에셋증권2우B
25800,2.6988297110102755,-1.2723620013393333,-9.154929577464788,-12.393887945670624,22.565320665083142,52,1.0031749191065997,True,True,🟢 추세위,MA50 위 추세유지,눌림,False,False,False,False,,007070,GS리테일
323000,1.1873061620876646,-0.8822401227464471,-5.417276720351394,-25.404157043879906,11.187607573149737,37,0.5292661150026233,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,007310,오뚜기
44200,6.173432620706221,-3.1392099928778783,-29.617834394904463,-29.617834394904463,37.267080745341616,100,1.4128482584626576,True,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,007340,DN오토모티브
23750,-3.608100978124107,3.984238178633981,-1.65631469979296,-31.259044862518092,16.136919315403418,3,0.9421498678927378,True,True,🟣 상승준비,압축,압축,False,False,False,False,,007390,네이처셀
99300,0.5284577537508328,15.465116279069768,-5.428571428571427,-38.47583643122676,71.20689655172414,84,0.6921482109431151,False,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,007660,이수페타시스
54600,-29.5420231504781,-0.9119368449707399,-17.771084337349397,-61.52219873150106,45.21276595744681,72,1.1037428518254808,False,True,⚪ 기타,신호 없음,,False,False,False,False,,007810,코리아써키트
42300,-11.617216882574176,-3.1704246308801642,-11.13445378151261,-39.04899135446686,5.617977528089879,17,0.7029273025555353,False,False,⚪ 기타,신호 없음,,False,False,False,False,,008770,호텔신라
44950,28.792871264433685,10.185071699963233,-2.705627705627711,-11.34122287968442,75.5859375,81,0.8145715066725534,True,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,008930,한미사이언스
1316000,-16.433832867665732,3.1792700615469016,-15.532734274711169,-42.02643171806167,51.43843498273879,66,0.7809782514165345,True,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,009150,삼성전기
461000,-17.86484223279349,2.8042593521770742,-16.787003610108307,-51.67714884696017,45.88607594936709,53,0.6236751702911156,True,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,009155,삼성전기우
56500,4.482580072490561,7.547349386123536,-9.7444089456869,-20.08486562942009,48.09960681520315,62,1.0510777848431372,True,True,🟢 추세위,MA50 위 추세유지,눌림,False,False,False,False,,009420,한올바이오파마
348500,-6.160805643814959,-7.338473810156875,-13.737623762376238,-27.32012513034411,10.987261146496818,72,0.7558622683094266,False,False,⚪ 기타,신호 없음,,False,False,False,False,,009540,HD한국조선해양
32050,-0.7248172469334624,4.47396300220031,-12.311901504787958,-45.21367521367521,45.68181818181818,78,0.5174651873388861,False,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,009830,한화솔루션
166600,-10.34720278967648,-13.238204353713156,-19.32203389830508,-33.36,6.25,100,0.46679689410813224,False,True,⚪ 기타,신호 없음,,False,False,False,False,,009970,영원무역홀딩스
265000,14.141483753144279,9.54260794080566,-8.62068965517241,-31.70103092783505,62.477007970570206,54,0.6188857761151465,True,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,010060,OCI홀딩스
187000,-10.933719445979161,-4.426045180415006,-12.616822429906538,-78.89390519187359,26.35135135135136,46,1.1735894679883851,False,False,⚪ 기타,신호 없음,,False,False,False,False,,010120,LS일렉트릭
1237000,11.982184241019688,10.738104829685335,-0.08077544426494665,-41.513002364066196,41.04903078677309,72,1.5090865100274207,False,True,🟢 추세위,MA50 신규회복,,False,False,True,False,⚡,010130,고려아연
20200,-12.040060962333987,-5.991855730075624,-11.790393013100442,-41.279069767441854,9.544468546637752,48,0.6159647174165321,False,False,⚪ 기타,신호 없음,,False,False,False,False,,010140,삼성중공업
12120,-3.318442884492656,8.58269127396525,-13.675213675213671,-58.35051546391752,75.39797395079594,25,0.22649846503023655,True,True,🟣 상승준비,압축,압축,False,False,False,False,,010170,대한광통신
141100,11.467484042217023,3.260272970105027,-8.138020833333337,-8.138020833333337,56.08407079646018,51,0.5565775237990358,True,True,🔵 주도주,규칙 유니버스,눌림,False,False,False,False,,010950,S-Oil
550000,-27.84046182104435,-2.135231316725983,-15.902140672782872,-64.05228758169935,31.421744324970135,52,0.8172886752219907,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,011070,LG이노텍
54300,-13.639544500286283,-4.94529540481401,-11.12929623567921,-53.983050847457626,3.4285714285714253,5,0.8088975927223686,False,False,⚪ 기타,신호 없음,,False,False,False,False,,011170,롯데케미칼
21600,6.167548119458144,1.8147537119962198,-4.635761589403975,-11.836734693877549,20.603015075376874,57,0.9085651591100808,True,True,🟢 추세위,MA50 위 추세유지,눌림,False,False,False,False,,011200,HMM
59400,-6.453746574695263,-1.9963702359346636,-12.389380530973447,-41.36229022704837,18.562874251497007,52,0.8958359930844482,False,True,⚪ 기타,신호 없음,,False,False,False,False,,011210,현대위아
117200,-2.6497217376858506,-3.348177469899394,-10.260336906584989,-23.59843546284224,9.635173058933578,73,0.8817378124953463,False,True,⚪ 기타,신호 없음,,False,False,False,False,,011780,금호석유
83400,-12.6994096219068,3.834661354581681,-7.126948775055675,-52.09649626651349,36.497545008183295,44,0.5865654065572472,False,False,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,011790,SKC
496000,-3.037885600344059,1.09039029858351,-9.323583180987205,-35.416666666666664,17.954815695600466,42,0.7533887521045862,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,012330,현대모비스
1085000,4.411255244620649,4.578313253012056,-8.43881856540084,-29.40793754066363,38.569604086845466,95,0.8549746230945273,False,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,012450,한화에어로
21150,0.8074125620811667,-1.566099643962493,-8.043478260869563,-29.850746268656714,22.2543352601156,71,0.40992428583330637,False,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,012630,HDC
360000,-10.552339304792902,-7.252350895272441,-16.955017301038065,-51.54777927321669,7.14285714285714,58,1.3704733992824476,False,False,⚪ 기타,신호 없음,,False,False,False,False,,0126Z0,삼성에피스홀딩스
76800,4.062220536028827,2.797483603265971,-1.6645326504481472,-18.384697130712013,14.970059880239518,4,0.7512270105513257,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,012750,에스원
201000,-17.873369725100517,-6.352645188342998,-13.918629550321205,-40.53254437869822,14.857142857142858,57,0.7510387586296658,False,True,⚪ 기타,신호 없음,,False,False,False,False,,014680,한솔케미칼
31750,-11.270715144062827,-6.980150882589909,-12.29281767955801,-53.240058910162006,4.4407894736842035,28,0.5209464399335724,False,False,⚪ 기타,신호 없음,,False,False,False,False,,015760,한국전력
92000,-11.94824087898626,-1.8404907975460127,-9.270216962524657,-38.46153846153846,11.245465538089473,21,1.638180597212856,False,True,⚪ 기타,신호 없음,,False,False,True,False,⚡,016360,삼성증권
102200,12.396621502727424,12.834667402704936,0.0,-18.370607028753994,34.47368421052632,61,1.033336816782739,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,017670,SK텔레콤
72200,0.534699788347992,2.1288634273993967,-2.826379542395696,-35.36257833482542,16.828478964401295,65,0.9639458084350007,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,017800,현대엘리베이터
22550,-10.92167427749775,-1.2026550417314708,-10.33797216699801,-56.80076628352491,21.694549379384775,49,0.6501321157692258,False,False,⚪ 기타,신호 없음,,False,False,False,False,,017960,한국카본
228000,8.071213241567609,2.9043395843206365,-6.365503080082135,-37.01657458563537,25.274725274725274,30,0.6241931152681806,True,True,🟢 추세위,MA50 위 추세유지,눌림+압축,False,False,False,False,,018260,삼성에스디에스
233500,4.58189635866888,1.7650904336456774,-8.610567514677104,-19.482758620689655,19.07190209077001,71,0.8348090689147731,False,False,🟢 추세위,MA50 신규회복,,False,False,False,False,,018670,SK가스
3400,-10.259455749993396,-3.7849310222851096,-12.031047865459254,-40.66317626527051,14.28571428571428,35,0.5614194312887417,False,True,⚪ 기타,신호 없음,,False,False,False,False,,018880,한온시스템
29450,-20.1767225023039,-2.765167148163439,-15.007215007215002,-62.48407643312102,30.309734513274343,38,0.8245212256144774,False,True,⚪ 기타,신호 없음,,False,False,False,False,,020150,롯데에너지머티리얼즈
6990,-2.878897348969045,-0.5477697944084814,-5.412719891745599,-27.86377708978328,7.538461538461538,24,0.6909344669700141,False,False,⚪ 기타,신호 없음,,False,False,False,False,,020560,아시아나항공
95900,3.7991124580582403,1.9345238095238138,-2.3421588594704668,-11.85661764705882,15.403128760529473,13,0.6811342224892128,True,False,🟢 추세위,MA50 위 추세유지,압축,False,False,False,False,,021240,코웨이
19510,-8.402035718980628,-2.4085236225395823,-10.504587155963307,-54.469078179696616,18.170805572380377,49,0.5647758433222344,False,False,⚪ 기타,신호 없음,,False,False,False,False,,022100,포스코DX
96700,-32.82483049905524,-11.333211076471672,-25.15479876160991,-52.48157248157248,2.9818956336528313,64,0.5422412969415106,False,True,⚪ 기타,신호 없음,,False,False,False,False,,023530,롯데쇼핑
38900,4.242034461505484,1.8724630090349637,-5.0061050061050105,-36.74796747967479,20.43343653250773,52,0.8984526469339144,False,True,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,023590,다우기술
20000,-3.731372020485968,-1.9727974512927293,-6.323185011709597,-29.947460595446586,3.626943005181338,11,0.6774489996052497,False,True,⚪ 기타,신호 없음,,False,False,False,False,,024110,기업은행
25700,1.3926697439539115,-0.9061114324272257,-3.383458646616544,-15.181518151815176,14.988814317673382,1,0.5825297364656049,False,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,026960,동서
45150,-2.5679758308157052,-3.7518652739288005,-9.337349397590366,-29.891304347826086,17.885117493472592,27,0.7895396501298408,True,True,🔵 주도주,규칙 유니버스,압축,False,False,False,False,,028050,삼성E&A
395500,0.5465870090250347,15.6263704136822,0.0,-26.074766355140188,50.95419847328244,33,1.248495224647194,True,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,028260,삼성물산
38650,-5.401767139045943,5.694947699459907,-10.4287369640788,-43.32844574780058,60.04140786749483,82,0.6166071413973616,False,False,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,028300,HLB
5850,11.265382201342788,4.651162790697683,-3.14569536423841,-5.645161290322576,32.95454545454546,51,0.7252170340263188,True,True,🟢 추세위,MA50 위 추세유지,눌림,True,False,False,False,🆕신고가,028670,팬오션
