date,open,high,low,close,adjclose,volume
2013-01-30,30.98,31.49,30.879999,31.24,30.96805,87682100
2013-01-31,29.15,31.469999,28.74,30.98,30.71032,190744900
2013-02-01,31.01,31.02,29.629999,29.73,29.471195,85856700
2013-02-04,29.059999,29.200001,28.01,28.110001,27.865301,92362200
2013-02-05,28.26,28.959999,28.040001,28.639999,28.390682,47948200
2013-02-06,28.74,29.290001,28.66,29.049999,28.797115,38375900
2013-02-07,29.110001,29.15,28.27,28.65,28.400597,34540100
2013-02-08,28.889999,29.17,28.51,28.549999,28.30147,37708800
2013-02-11,28.610001,28.68,28.040001,28.26,28.01399,37361800
2013-02-12,27.67,28.16,27.1,27.370001,27.131741,93498700
2013-02-13,27.360001,28.32,27.309999,27.91,27.667042,50164000
2013-02-14,28.02,28.629999,28.01,28.5,28.251904,35615800
2013-02-15,28.52,28.75,28.09,28.32,28.073473,33109300
2013-02-19,28.23,29.08,28.120001,28.93,28.678164,49396400
2013-02-20,28.92,29.049999,28.33,28.459999,28.212252,42098200
2013-02-21,28.280001,28.549999,27.15,27.280001,27.042526,49642300
2013-02-22,27.620001,27.629999,26.82,27.129999,26.893827,36350200
2013-02-25,27.16,27.639999,27.15,27.27,27.032612,34652000
2013-02-26,27.360001,27.459999,26.700001,27.389999,27.151567,31611700
2013-02-27,27.34,27.34,26.629999,26.870001,26.636099,44319700
2013-02-28,26.84,27.299999,26.34,27.25,27.012783,83027800
2013-03-01,27.049999,28.120001,26.809999,27.780001,27.53817,54064800
2013-03-04,27.76,28.059999,27.440001,27.719999,27.478695,32400700
2013-03-05,27.879999,28.18,27.209999,27.52,27.280432,40622200
2013-03-06,28.1,28.129999,27.35,27.450001,27.211042,33532600
2013-03-07,27.57,28.68,27.469999,28.58,28.331209,74540200
2013-03-08,28.43,28.469999,27.73,27.959999,27.716606,44198900
2013-03-11,28.01,28.639999,27.83,28.139999,27.895035,35642100
2013-03-12,28.1,28.32,27.6,27.83,27.587736,27569600
2013-03-13,27.620001,27.65,26.92,27.08,26.844263,39619500
2013-03-14,27.1,27.43,26.83,27.040001,26.804617,27646400
2013-03-15,27.030001,27.059999,26.559999,26.65,26.418009,31597400
2013-03-18,26.370001,26.790001,25.780001,26.49,26.259401,26653700
2013-03-19,26.530001,26.9,26.209999,26.549999,26.318882,25254200
2013-03-20,26.68,26.690001,25.780001,25.860001,25.634886,44006500
2013-03-21,25.66,26.110001,25.559999,25.74,25.51593,24336100
2013-03-22,25.799999,26.01,25.629999,25.73,25.506016,18456300
2013-03-25,25.75,25.799999,25.08,25.129999,24.911242,39199000
2013-03-26,25.08,25.48,25.030001,25.209999,24.990545,26957200
2013-03-27,25,26.280001,24.719999,26.09,25.862883,52297400
2013-03-28,26.09,26.17,25.52,25.58,25.357323,28585700
2013-04-01,25.629999,25.889999,25.280001,25.530001,25.307762,22249300
2013-04-02,25.77,26.120001,25.299999,25.42,25.198713,35153300
2013-04-03,25.83,26.389999,25.700001,26.25,26.02149,48195200
2013-04-04,26.620001,27.23,26.110001,27.07,26.834352,82016800
2013-04-05,26.860001,27.799999,26.610001,27.389999,27.151567,64566600
2013-04-08,27.190001,27.200001,26.629999,26.85,26.616268,27256000
2013-04-09,26.58,26.889999,26.42,26.59,26.358532,21311100
2013-04-10,27.01,27.84,26.9,27.57,27.330002,45949400
2013-04-11,27.48,28.1,27.25,28.02,27.776085,33368500
2013-04-12,28,28,27.24,27.4,27.16148,28697400
2013-04-15,27.16,27.48,26.360001,26.52,26.289139,30275400
2013-04-16,26.809999,27.110001,26.4,26.92,26.685658,27365900
2013-04-17,26.65,27.200001,26.389999,26.629999,26.398182,26440600
2013-04-18,26.82,26.82,25.15,25.690001,25.466364,39059000
2013-04-19,25.620001,25.959999,25.33,25.73,25.506016,20380900
2013-04-22,25.809999,26.360001,25.700001,25.969999,25.743927,25687600
2013-04-23,26.219999,26.33,25.77,25.98,25.753841,25191500
2013-04-24,25.93,26.4,25.799999,26.110001,25.88271,19729900
2013-04-25,26.07,26.4,26,26.139999,25.912449,17150000
2013-04-26,26.6,27.620001,26.6,26.85,26.616268,33018000
2013-04-29,27.16,27.41,26.860001,26.98,26.745136,29201100
2013-04-30,27.129999,27.85,27.01,27.77,27.528259,36245700
2013-05-01,27.85,27.92,27.309999,27.43,27.191217,64567600
2013-05-02,28.01,29.02,27.98,28.969999,28.717812,104257000
2013-05-03,29.040001,29.07,28.15,28.309999,28.063555,58506400
2013-05-06,28.33,28.459999,27.48,27.57,27.330002,43939400
2013-05-07,27.549999,27.85,26.85,26.889999,26.655922,41259100
2013-05-08,26.879999,27.299999,26.65,27.120001,26.883921,34654900
2013-05-09,27.08,27.549999,26.85,27.040001,26.804617,33457200
2013-05-10,27.139999,27.299999,26.57,26.68,26.447746,30847100
2013-05-13,26.6,27.33,26.530001,26.82,26.586525,29068800
2013-05-14,26.889999,27.280001,26.82,27.07,26.834352,24930300
2013-05-15,26.92,26.99,26.4,26.6,26.368446,30299800
2013-05-16,26.48,26.549999,25.9,26.129999,25.902534,35499100
2013-05-17,26.4,26.6,26.200001,26.25,26.02149,29462700
2013-05-20,26.18,26.190001,25.690001,25.76,25.535757,42402900
2013-05-21,25.870001,26.08,25.59,25.66,25.436626,26261300
2013-05-22,25.65,25.85,24.92,25.16,24.940979,45314500
2013-05-23,24.799999,25.530001,24.77,25.059999,24.841846,37663100
2013-05-24,24.969999,24.969999,24.08,24.309999,24.098379,58727900
2013-05-28,24.540001,24.540001,23.92,24.1,23.890207,50079700
2013-05-29,23.790001,23.809999,23.26,23.32,23.116995,64237800
2013-05-30,24.129999,24.780001,23.93,24.549999,24.336288,60733200
2013-05-31,24.629999,24.950001,24.27,24.35,24.138029,35925000
2013-06-03,24.27,24.32,23.709999,23.85,23.642384,35733800
2013-06-04,23.889999,23.93,23.32,23.52,23.315258,34760800
2013-06-05,23.35,23.709999,22.790001,22.9,22.700651,53819700
2013-06-06,22.99,23.09,22.67,22.969999,22.770044,31260700
2013-06-07,23.030001,23.4,22.860001,23.290001,23.087259,38699200
2013-06-10,24.059999,24.6,23.99,24.33,24.1182,58393000
2013-06-11,24.030001,24.35,24,24.030001,23.820818,29885900
2013-06-12,24.16,24.26,23.58,23.77,23.56308,26445800
2013-06-13,23.719999,23.83,23.27,23.73,23.523428,31189300
2013-06-14,23.559999,23.889999,23.26,23.629999,23.424297,30677100
2013-06-17,23.91,24.25,23.75,24.02,23.810904,33664500
2013-06-18,24.09,24.690001,24.08,24.209999,23.999249,36709100
2013-06-19,24.200001,25.190001,24.1,24.309999,24.098379,31790600
2013-06-20,24.280001,24.75,23.65,23.9,23.691948,42765600
2013-06-21,24.59,24.700001,24.049999,24.530001,24.316463,45833900
2013-06-24,23.950001,24.110001,23.379999,23.940001,23.7316,40626000
2013-06-25,24.139999,24.43,24.040001,24.25,24.038904,24713200
2013-06-26,24.51,24.65,23.99,24.16,23.949686,29890300
2013-06-27,24.24,24.84,24.209999,24.66,24.445332,34694100
2013-06-28,24.68,24.98,24.42,24.879999,24.663414,96778900
2013-07-01,24.969999,25.059999,24.620001,24.809999,24.594025,20582200
2013-07-02,24.700001,24.77,24.299999,24.41,24.197506,18394100
2013-07-03,24.219999,24.709999,24.15,24.52,24.306553,10404400
2013-07-05,24.65,24.66,24.200001,24.370001,24.157858,20229500
2013-07-08,24.469999,25.040001,24.42,24.709999,24.494898,27064600
2013-07-09,25.07,25.49,25.030001,25.48,25.258194,30387900
2013-07-10,25.58,25.83,25.469999,25.799999,25.575403,26721800
2013-07-11,25.959999,26,25.450001,25.809999,25.58532,26777400
2013-07-12,25.74,25.93,25.549999,25.91,25.684448,16537900
2013-07-15,25.93,26.43,25.65,26.280001,26.051231,24234000
2013-07-16,26.389999,26.75,26.01,26.32,26.090879,30817600
2013-07-17,26.370001,26.780001,26.299999,26.65,26.418009,21518500
2013-07-18,26.75,26.77,26.120001,26.18,25.952101,24806900
2013-07-19,25.82,26.110001,25.6,25.879999,25.654713,46539700
2013-07-22,25.99,26.129999,25.719999,26.049999,25.823231,27526300
2013-07-23,26.1,26.299999,25.969999,26.129999,25.902534,28221600
2013-07-24,26.32,26.530001,26.049999,26.51,26.27923,82635600
2013-07-25,33.540001,34.880001,32.75,34.360001,34.060894,365457900
2013-07-26,33.77,34.73,33.560001,34.009998,33.713932,136028900
2013-07-29,34.07,35.630001,34.009998,35.43,35.121578,124718800
2013-07-30,35.650002,37.959999,35.32,37.630001,37.302433,173582800
2013-07-31,37.959999,38.310001,36.330002,36.799999,36.479652,154828700
2013-08-01,37.299999,38.290001,36.919998,37.490002,37.163647,106066500
2013-08-02,37.66,38.490002,37.5,38.049999,37.718761,73058500
2013-08-05,38.43,39.32,38.25,39.189999,38.848843,79994800
2013-08-06,39.110001,39.25,37.939999,38.549999,38.214417,63950800
2013-08-07,38.610001,38.939999,37.700001,38.869999,38.531628,68854800
2013-08-08,39.130001,39.189999,38.43,38.540001,38.204506,41301000
2013-08-09,38.59,38.740002,38.009998,38.5,38.164852,43532300
2013-08-12,38.200001,38.5,38.099998,38.220001,37.887295,31161000
2013-08-13,38.240002,38.32,36.77,37.02,36.697731,65379200
2013-08-14,36.830002,37.549999,36.619999,36.650002,36.330959,48423900
2013-08-15,36.360001,37.07,36.02,36.560001,36.241741,56521100
2013-08-16,36.970001,37.490002,36.900002,37.080002,36.757221,45840800
2013-08-19,37.43,38.279999,37.139999,37.810001,37.480862,57609600
2013-08-20,38.349998,38.580002,37.689999,38.41,38.075638,57995200
2013-08-21,38.380001,38.849998,38.150002,38.32,37.986416,46116900
2013-08-22,38.369999,38.75,38.34,38.549999,38.214417,21931200
2013-08-23,39,40.630001,38.93,40.549999,40.197002,86442300
2013-08-26,40.900002,41.939999,40.619999,41.34,40.980129,94162400
2013-08-27,40.68,41.200001,39.419998,39.639999,39.29493,72695100
2013-08-28,39.959999,40.849998,39.880001,40.549999,40.197002,57918200
2013-08-29,40.889999,41.779999,40.799999,41.279999,40.920647,58303400
2013-08-30,42.02,42.259998,41.060001,41.290001,40.930569,67735100
2013-09-03,41.84,42.16,41.509998,41.869999,41.505516,48774900
2013-09-04,42.009998,42.169998,41.439999,41.779999,41.416298,42581900
2013-09-05,41.790001,42.77,41.77,42.66,42.288639,50035400
2013-09-06,43.09,44.610001,42.400002,43.950001,43.567413,117535700
2013-09-09,44.360001,44.790001,43.700001,44.040001,43.656624,75794700
2013-09-10,44.240002,44.259998,43.23,43.599998,43.220455,54540300
2013-09-11,43.389999,45.09,43.110001,45.040001,44.647926,72328300
2013-09-12,45.529999,45.619999,44.650002,44.75,44.360447,68072300
2013-09-13,45.040001,45.080002,43.93,44.310001,43.924282,52765300
2013-09-16,44.849998,44.939999,42.43,42.509998,42.139942,70424200
2013-09-17,42.5,45.439999,42.43,45.07,44.677658,91934600
2013-09-18,44.84,45.470001,44.400002,45.23,44.836266,79317000
2013-09-19,45.509998,46.049999,45.23,45.98,45.579735,63972400
2013-09-20,46.32,47.599998,45.740002,47.490002,47.076599,115508400
2013-09-23,47.279999,47.549999,46.290001,47.189999,46.779202,75177000
2013-09-24,48.509998,49.66,48.16,48.450001,48.028236,136716100
2013-09-25,49.23,49.540001,48.459999,49.459999,49.029442,87879700
2013-09-26,50.009998,50.599998,49.5,50.389999,49.951347,98220100
2013-09-27,50.290001,51.279999,49.860001,51.240002,50.793949,81410500
2013-09-30,50.139999,51.599998,49.799999,50.23,49.792744,100095000
2013-10-01,49.970001,51.029999,49.450001,50.419998,49.981091,98114000
2013-10-02,50.130001,51.099998,49.950001,50.279999,49.842308,62834000
2013-10-03,50.470001,50.720001,49.060001,49.18,48.751884,82045000
2013-10-04,49.77,51.16,49.57,51.040001,50.595688,74447000
2013-10-07,50.73,51.290001,50.400002,50.52,50.080219,57204000
2013-10-08,50.599998,50.599998,47.080002,47.139999,46.729637,136081000
2013-10-09,47.380001,47.84,45.259998,46.77,46.362858,147297000
2013-10-10,47.869999,49.68,47.830002,49.049999,48.623013,99774000
2013-10-11,49.18,49.869999,48.790001,49.110001,48.682495,58428000
2013-10-14,48.310001,49.630001,47.91,49.509998,49.07901,68781000
2013-10-15,49.990002,51,49.18,49.5,49.069099,81167000
2013-10-16,50.040001,51.240002,49.900002,51.139999,50.694817,64678000
2013-10-17,51.119999,52.220001,50.950001,52.209999,51.755508,71522000
2013-10-18,54.18,54.830002,53.599998,54.220001,53.748009,88260000
2013-10-21,54.68,54.810001,53.509998,53.849998,53.381222,58235000
2013-10-22,54.330002,54.759998,52.200001,52.68,52.221416,83204000
2013-10-23,51.75,52.25,51.130001,51.900002,51.4482,57207000
2013-10-24,52.380001,52.84,51.59,52.450001,51.99342,46775000
2013-10-25,53.18,53.240002,51.880001,51.950001,51.497768,45085000
2013-10-28,51.540001,51.700001,49.610001,50.23,49.792744,73472000
2013-10-29,50.73,50.790001,49.25,49.400002,48.969971,102143000
2013-10-30,50,50.209999,48.75,49.009998,48.583363,127073000
2013-10-31,47.16,52,46.5,50.209999,49.772915,248809000
2013-11-01,50.849998,52.09,49.720001,49.75,49.316917,95033000
2013-11-04,49.369999,49.75,48.02,48.220001,47.800243,80371000
2013-11-05,47.790001,50.18,47.509998,50.110001,49.673786,76835000
2013-11-06,50.259998,50.450001,48.709999,49.119999,48.692402,67889000
2013-11-07,49.240002,49.869999,47.299999,47.560001,47.145992,97128000
2013-11-08,47.810001,48.650002,47.25,47.529999,47.116245,70731000
2013-11-11,47.040001,47.529999,45.73,46.200001,45.797825,80910000
2013-11-12,46,47.369999,45.830002,46.610001,46.204258,68196000
2013-11-13,46.23,48.740002,46.060001,48.709999,48.285973,79245000
2013-11-14,48.700001,49.57,48.029999,48.990002,48.563538,75117000
2013-11-15,49.110001,49.48,48.709999,49.009998,48.583363,42453000
